molid,scaffid
11502866,7
11959377,61
56603966,147
5329860,60
5329861,60
5329868,60
44589696,97
6539385,58
6539382,58
9917474,146
6539364,58
6539361,58
11751266,50
6539369,57
6539099,80
25218571,103
6539093,80
25218573,37
6539097,80
10469531,116
44418545,112
44418546,112
44418547,112
44418540,112
11247002,50
44571453,123
44418555,112
9827373,75
57396352,66
57396353,17
44396990,13
57398149,19
57398148,70
53239978,91
57398145,90
57398144,144
57398147,95
57398146,10
44397032,82
9822610,144
11392350,60
25263110,9
44397453,82
25263114,9
25263115,9
25263116,9
25263117,9
25263118,9
25263119,9
11284937,89
6539598,62
6539599,62
44410704,7
57395317,114
6539592,71
6539593,62
44587530,14
57395310,144
453216,150
6539502,124
11617559,99
9885504,76
10193482,64
6539466,124
10236195,13
53239988,68
53239985,108
53239984,108
9944269,67
9604948,17
56604000,72
10173796,35
56604006,86
56604005,13
6539600,62
9604940,17
9604943,17
6539603,62
6539607,62
44571414,123
44386338,83
9858084,25
22464120,134
9947709,72
6539046,80
6539047,80
11569498,104
6539049,88
53239967,0
56667992,101
56667993,113
18536627,108
11959683,102
11959682,102
44397147,13
44536036,140
44329036,134
25023715,13
21951965,114
57394599,66
6539440,100
25263092,9
25263099,30
44397710,13
25263078,9
25218584,149
448008,124
44578425,120
6539422,47
6539424,100
24856364,129
44581222,109
16664858,59
56603995,31
56603997,108
10171618,8
5329855,60
5329854,60
5329857,60
5329850,60
5329853,60
56604049,34
6539390,58
56604044,130
6539397,27
11281930,79
25263274,94
10272700,72
18536613,108
6539075,80
11957417,9
9951300,84
44578253,42
10286242,69
44578255,53
44578254,51
6539086,28
6539087,23
6539085,126
6539081,80
9922527,3
6539089,80
6539107,0
44418556,112
44571449,138
6539108,41
22464113,134
11307581,94
766948,6
766949,137
44397201,39
16048415,115
6603857,70
11453116,50
24180608,119
9858662,80
57391091,4
5034,145
11627264,7
57391875,13
57391094,114
17892742,108
25263103,5
10200651,132
57398861,49
44532204,38
57398867,127
10133732,24
25190924,92
11626927,9
9604970,17
9800117,76
10475737,134
6539451,124
6539453,124
11605761,7
5329802,110
5329801,69
9604958,17
15872388,108
56604034,18
10215776,58
56604030,66
25211574,37
9857146,72
9927432,139
16048194,115
16051023,107
11290221,3
57399803,33
57399802,134
57399801,85
57399800,81
57399805,113
57399804,33
57398866,40
24949545,144
5329489,139
22727427,55
22609796,114
57401573,93
57401572,66
579429,6
53239955,145
57401575,123
57401574,55
57399799,66
57399798,22
16099859,133
56681565,152
11273032,94
11269477,77
6539418,47
6539414,47
6539417,100
6539411,100
6539413,100
6539412,100
10294883,12
23646938,140
57391092,46
56603980,105
56603987,72
57391095,146
57391096,117
57391097,34
11473228,3
23646936,140
5329849,60
57392873,19
9604912,17
9604911,17
9604915,17
6539482,124
10113568,140
6539487,124
10308522,58
6539567,62
16048303,115
5329831,26
11717091,25
6518526,17
44581765,87
9926067,16
9873849,114
11669455,7
11680113,13
15872409,108
15872408,108
15872407,108
15872406,108
15872404,108
15872403,52
15872400,151
9901964,25
57403319,81
57403318,84
57396350,122
57396351,66
57403317,56
57403316,19
44578401,51
25218600,15
25218601,15
44578563,125
6539521,1
6539522,1
5793317,80
44397010,13
25210972,11
11244488,60
56603973,29
56603975,81
11163861,58
5329875,43
9890357,108
9604922,17
6539620,60
9604926,17
56604020,130
56604024,108
5329404,60
449054,3
15872391,108
44581245,15
25263123,142
11233873,50
57403320,150
44418533,112
44418532,112
44418539,112
11656050,7
6539597,62
11640889,7
44431824,137
57390087,78
44532523,114
57398152,114
57398153,114
57398150,136
57398151,114
57398154,73
44571435,123
57393604,60
10193464,141
6539409,47
42618163,54
57400545,49
57400544,96
57400541,48
57400542,74
25218621,15
21701565,139
25093474,32
6539584,105
16219401,118
9910722,108
6539574,62
6539478,124
44433173,119
44433171,119
10295475,106
10125875,143
6539751,65
5329829,26
56604013,111
25190926,115
16236469,44
6539611,71
6539617,60
25210971,11
599038,13
25190921,128
57391093,114
11604319,36
44578672,148
9901444,80
24896610,45
11328632,63
6539056,80
70682205,131
57394602,114
10160775,66
57394600,135
57394601,114
25263083,9
25263087,9
5482344,98
25263120,9
25263088,9
25263124,142
44397250,2
10321190,108
9826308,9
44418572,112
44593640,21
42618164,54
25218593,15
10158653,106
11155941,20
25218614,15
6539430,100
6539439,47
11231939,60
56657596,113
70696859,121
