molid,pknb,bglf4,rop18
CID070683337,0.0,0.0,0.01
CID053466951,0.0,0.0,0.03
CID044529279,0.0,0.0,0.39
CID002787267,0.0,0.0,0.03
CID000000007,0.0,0.0,0.05
CID044532438,0.0,0.011,0.11
CID025190912,0.0,0.105,0.08
CID011715767,0.0,0.056,0.63
CID009826528,0.0,0.0,0.0
CID009926791,0.0,0.01,0.02
CID006918454,0.0,0.0,0.0
CID025033539,0.0,0.0,0.02
CID005330286,0.058,0.0,0.02
CID011626560,0.0,0.0,0.0
CID017754438,0.0,0.0,0.0
CID022049997,0.0,0.0,0.0
CID006450551,0.056,0.0,0.02
CID010452739,0.0,0.0,0.04
CID023133388,0.0,0.0,0.09
CID044305910,0.0,0.042,0.03
CID010173796,0.42,0.073,0.19
CID000599038,0.046,0.0,0.01
CID000156414,0.008,0.012,0.04
CID044526070,0.0,0.0,0.1
CID044578566,0.0,0.031,0.07
CID044529220,0.0,0.0,0.91
CID009836050,0.0,0.042,0.09
CID056673516,0.083,0.0,0.06
CID044526073,0.0,0.0,0.06
CID051354036,0.0,0.0,0.02
CID019879232,0.0,0.0,0.12
CID045269578,0.0,0.0,0.09
CID044525926,0.0,0.028,0.06
CID066561010,0.0,0.05,0.13
CID010287409,0.017,0.0,0.08
CID006539606,0.0,0.0,0.07
CID053322416,0.0,0.0,0.03
CID006539572,0.0,0.0,0.03
CID060150509,0.0,0.0,0.06
CID051355190,0.0,0.0,0.1
CID010086873,0.049,0.011,0.06
CID044578630,0.038,0.025,0.07
CID044525940,0.008,0.043,0.07
CID025121268,0.0,0.0,0.05
CID006539455,0.0,0.021,0.05
CID011427162,0.051,0.0,0.02
CID010161259,0.0,0.0,0.02
CID046215816,0.0,0.018,0.05
CID044526071,0.0,0.0,0.05
CID057394915,0.0,0.0,0.07
CID044525924,0.001,0.0,0.08
CID023648890,0.003,0.09,0.12
CID057396626,0.0,0.0,0.06
CID010639924,0.0,0.0,0.06
CID006539571,0.0,0.05,0.01
CID024802961,0.0,0.12,0.01
CID044527361,0.0,0.009,0.05
CID051356852,0.0,0.068,0.11
CID009865518,0.0,0.0,0.06
CID044525957,0.0,0.0,0.11
CID044525958,0.0,0.018,0.22
CID044525921,0.0,0.0,0.05
CID022112846,0.0,0.0,0.03
CID044578709,0.0,0.0,0.04
CID006539398,0.0,0.0,0.06
CID006539501,0.0,0.0,0.06
CID053469449,0.0,0.0,0.06
CID024804781,0.0,0.12,0.05
CID044527657,0.023,0.049,0.06
CID006539467,0.0,0.0,0.02
CID045272980,0.0,0.0,0.08
CID044526099,0.076,0.133,0.08
CID044532720,0.0,0.611,0.43
CID006539613,0.051,0.035,0.07
CID009958299,0.0,0.0,0.03
CID044525953,0.0,0.0,0.02
CID044532478,0.0,0.0,0.02
CID044525486,0.0,0.0,0.07
CID009945516,0.0,0.0,0.31
CID011133737,0.0,0.0,0.05
CID006539498,0.0,0.0,0.05
CID006539465,0.0,0.015,0.02
CID044525974,0.0,0.0,0.06
CID056670156,0.0,0.0,0.08
CID025263108,0.0,0.07,0.02
CID053317178,0.0,0.014,0.05
CID066561090,0.0,0.0,0.09
CID011529890,0.0,0.0,0.19
CID006539426,0.052,0.0,0.63
CID051356855,0.007,0.002,0.03
CID044529278,0.0,0.026,0.25
CID051354327,0.044,0.0,0.01
CID024804298,0.0,0.094,0.06
CID044532690,0.007,0.046,0.09
CID044525951,0.0,0.0,0.09
CID044529262,0.002,0.03,0.3
CID005329826,0.0,0.0,0.15
CID051357138,0.0,0.007,0.04
CID011224168,0.0,0.027,0.04
CID044279444,0.0,0.0,0.03
CID044525965,0.0,0.009,0.05
CID006539512,0.024,0.022,0.01
CID044525922,0.0,0.0,0.05
CID046927672,0.0,0.0,0.04
CID006539475,0.0,0.0,0.02
CID006539458,0.007,0.037,0.04
CID044525942,0.0,0.006,0.04
CID044532477,0.031,0.072,0.19
