molid,pknb,bglf4
CID070683337,0.0000,0.0000
CID053466951,0.0000,0.0000
CID044529279,0.0000,0.0000
CID002787267,0.0000,0.0000
CID000000007,0.0000,0.0000
CID044532438,0.0000,0.0110
CID025190912,0.0000,0.1050
CID011715767,0.0000,0.0560
CID009826528,0.0000,0.0000
CID009926791,0.0000,0.0100
CID006918454,0.0000,0.0000
CID025033539,0.0000,0.0000
CID005330286,0.0580,0.0000
CID011626560,0.0000,0.0000
CID017754438,0.0000,0.0000
CID022049997,0.0000,0.0000
CID006450551,0.0560,0.0000
CID010452739,0.0000,0.0000
CID023133388,0.0000,0.0000
CID044305910,0.0000,0.0420
CID010173796,0.4200,0.0730
CID000599038,0.0460,0.0000
CID000156414,0.0080,0.0120
CID044526070,0.0000,0.0000
CID044578566,0.0000,0.0310
CID044529220,0.0000,0.0000
CID009836050,0.0000,0.0420
CID056673516,0.0830,0.0000
CID044526073,0.0000,0.0000
CID051354036,0.0000,0.0000
CID019879232,0.0000,0.0000
CID045269578,0.0000,0.0000
CID044525926,0.0000,0.0280
CID066561010,0.0000,0.0500
CID010287409,0.0170,0.0000
CID006539606,0.0000,0.0000
CID053322416,0.0000,0.0000
CID006539572,0.0000,0.0000
CID060150509,0.0000,0.0000
CID051355190,0.0000,0.0000
CID010086873,0.0490,0.0110
CID044578630,0.0380,0.0250
CID044525940,0.0080,0.0430
CID025121268,0.0000,0.0000
CID006539455,0.0000,0.0210
CID011427162,0.0510,0.0000
CID010161259,0.0000,0.0000
CID046215816,0.0000,0.0180
CID044526071,0.0000,0.0000
CID057394915,0.0000,0.0000
CID044525924,0.0010,0.0000
CID023648890,0.0030,0.0900
CID057396626,0.0000,0.0000
CID010639924,0.0000,0.0000
CID006539571,0.0000,0.0500
CID024802961,0.0000,0.1200
CID044527361,0.0000,0.0090
CID051356852,0.0000,0.0680
CID009865518,0.0000,0.0000
CID044525957,0.0000,0.0000
CID044525958,0.0000,0.0180
CID044525921,0.0000,0.0000
CID022112846,0.0000,0.0000
CID044578709,0.0000,0.0000
CID006539398,0.0000,0.0000
CID006539501,0.0000,0.0000
CID053469449,0.0000,0.0000
CID024804781,0.0000,0.1200
CID044527657,0.0230,0.0490
CID006539467,0.0000,0.0000
CID045272980,0.0000,0.0000
CID044526099,0.0760,0.1330
CID044532720,0.0000,0.6110
CID006539613,0.0510,0.0350
CID009958299,0.0000,0.0000
CID044525953,0.0000,0.0000
CID044532478,0.0000,0.0000
CID044525486,0.0000,0.0000
CID009945516,0.0000,0.0000
CID011133737,0.0000,0.0000
CID006539498,0.0000,0.0000
CID006539465,0.0000,0.0150
CID044525974,0.0000,0.0000
CID056670156,0.0000,0.0000
CID025263108,0.0000,0.0700
CID053317178,0.0000,0.0140
CID066561090,0.0000,0.0000
CID011529890,0.0000,0.0000
CID006539426,0.0520,0.0000
CID051356855,0.0070,0.0020
CID044529278,0.0000,0.0260
CID051354327,0.0440,0.0000
CID024804298,0.0000,0.0940
CID044532690,0.0070,0.0460
CID044525951,0.0000,0.0000
CID044529262,0.0020,0.0300
CID005329826,0.0000,0.0000
CID051357138,0.0000,0.0070
CID011224168,0.0000,0.0270
CID044279444,0.0000,0.0000
CID044525965,0.0000,0.0090
CID006539512,0.0240,0.0220
CID044525922,0.0000,0.0000
CID046927672,0.0000,0.0000
CID006539475,0.0000,0.0000
CID006539458,0.0070,0.0370
CID044525942,0.0000,0.0060
CID044532477,0.0310,0.0720
CID044397393,0.0000,0.0000
CID044532737,0.0000,0.0000
CID009901062,0.0000,0.0000
CID044525967,0.0250,0.0000
CID044525964,0.0080,0.1510
CID044571415,0.0000,0.0000
CID051356856,0.0000,0.0000
CID044525935,0.0000,0.0040
CID044525954,0.0910,0.0460
CID044532446,0.0230,0.0610
CID071451677,0.0000,0.0000
CID044591845,0.0000,0.0000
CID044532526,0.0000,0.0000
CID044525930,0.0000,0.0000
CID044525949,0.0080,0.0000
CID044525920,0.0000,0.0000
CID044525941,0.0220,0.0000
CID044397687,0.0000,0.0000
CID005329477,0.0000,0.0300
CID009879605,0.0390,0.0580
CID009903786,0.1510,0.4970
CID053466728,0.0510,0.0000
CID009935852,0.0000,0.0000
CID006539477,0.0000,0.0000
CID009880709,0.0050,0.0490
CID000069689,0.0000,0.0000
CID044525962,0.0000,0.0000
CID009836405,0.0000,0.0000
CID010358578,0.0000,0.0110
CID025263079,0.0000,0.0000
CID044525963,0.0000,0.0000
CID015407403,0.0000,0.0000
CID044525936,0.0250,0.0430
CID044525952,0.0000,0.0720
CID006539519,0.0000,0.0000
CID006539416,0.0000,0.0320
CID006539591,0.0000,0.0000
CID046927597,0.0000,0.0000
CID051354901,0.0000,0.0000
CID006539566,0.0000,0.0000
CID011514099,0.0000,0.0000
CID044525932,0.0000,0.0000
CID051354328,0.0110,0.0380
CID000099545,0.0000,0.0190
CID006539507,0.0000,0.0000
CID044526068,0.0000,0.0000
CID044525931,0.0000,0.0000
CID025263105,0.0000,0.0380
CID044532683,0.0000,0.0450
CID044525948,0.0100,0.0140
CID056673950,0.0550,0.0780
CID044525956,0.0000,0.0000
CID044525923,0.0000,0.0000
CID044525961,0.0000,0.0000
CID000005228,0.0340,0.0330
CID044525934,0.0100,0.0370
CID053469448,0.0000,0.0000
CID053245731,0.0170,0.0990
CID057401865,0.0180,0.0500
CID006539452,0.0000,0.0230
CID009861063,0.0000,0.0000
CID024949702,0.0010,0.0000
CID053467392,0.0000,0.0000
CID044328970,0.0000,0.0000
CID044528968,0.0000,0.0000
CID045270417,0.0000,0.0000
CID024803957,0.0000,0.0520
CID044525945,0.0370,0.0300
CID070685440,0.0290,0.0000
CID045272982,0.0890,0.1000
CID045481463,nan,nan
CID044525955,0.0000,0.0000
CID011595752,0.0000,0.0100
CID006263849,0.0000,0.0000
CID006539550,0.0210,0.0640
CID044532432,0.0000,0.0000
CID070683338,0.0000,0.0000
CID006539376,0.0210,0.0490
CID006539427,0.0000,0.0070
CID044525972,0.0000,0.0000
CID017917696,0.0160,0.0330
CID057403579,0.0000,0.0140
CID024803301,0.0000,0.1110
CID010239038,0.0640,0.0000
CID006539582,0.0000,0.0000
CID044525966,0.0000,0.0000
CID044526076,0.0060,0.0000
CID057398392,0.0250,0.0000
CID000227502,0.0000,0.0000
CID056680318,0.0070,0.0000
CID022185475,0.0000,0.1390
CID011057468,0.0000,0.0070
CID006538884,0.0000,0.0000
CID044525968,0.0000,0.0000
CID006539525,0.0000,0.0000
CID044269265,0.0090,0.0220
CID046215644,0.0000,0.0540
CID044532102,0.0000,0.0000
CID006539509,0.0030,0.0270
CID044525929,0.0000,0.0000
CID044532450,0.0000,0.0070
CID018536646,0.0000,0.0000
CID017755746,0.0000,0.0000
CID006539394,0.0000,0.0000
CID011682470,0.0000,0.0050
CID018536633,0.0520,0.0570
CID044526075,0.0000,0.0000
CID044479934,0.0000,0.0000
CID011682680,0.0000,0.0000
CID057403576,0.0000,0.0000
CID044527603,0.0000,0.0000
CID044525933,0.0000,0.0000
CID045271247,0.0140,0.0000
CID044525925,0.0000,0.0000
CID009925372,0.0490,0.0000
CID006539523,0.0000,0.0000
CID011594774,0.0320,0.0130
CID010286382,0.0070,0.0330
CID009925594,0.0350,0.0000
CID021027446,0.0000,0.0000
CID009914412,0.0000,0.0000
CID006539480,0.0000,0.0160
CID044525927,0.0000,0.0000
CID053469453,0.0000,0.0000
CID006539516,0.0530,0.0070
CID044536075,0.0000,0.0000
CID044328896,0.0250,0.0090
CID006539578,0.0030,0.0570
CID025263084,0.0000,0.0110
CID044526069,0.0000,0.0000
CID006539565,0.0000,0.0000
CID044592364,0.0000,0.0390
CID006539486,0.0000,0.0000
CID044578252,0.0000,0.0000
CID044532639,0.0000,0.0000
CID009929101,0.0000,0.0000
CID006539472,0.0000,0.0340
CID024804780,0.0000,0.0560
CID017755233,0.0000,0.0000
CID044525939,0.0000,0.0000
CID010278843,0.0000,0.0000
CID044525959,0.0000,0.0000
CID025093464,0.0000,0.0000
CID006539506,0.0120,0.0440
CID044529229,0.0580,0.0790
CID006539461,0.0000,0.0000
CID000447966,0.0000,0.0000
CID044532445,0.0000,0.0000
CID044433573,0.0000,0.0000
CID006539602,0.0000,0.0070
CID006539513,0.0000,0.0440
CID001489204,0.0000,0.0100
CID053467178,0.0190,0.0000
CID044529385,0.0000,0.0310
CID006539473,0.0000,0.0000
CID006539605,0.0000,0.0000
CID044305812,0.0000,0.0000
CID009923028,0.0000,0.0000
CID044525960,0.0000,0.0000
CID044525485,0.0040,0.0000
CID011231979,0.0000,0.0390
CID044525970,0.0430,0.0110
CID044525937,0.0000,0.0000
CID044529831,0.0650,0.0680
CID024803300,0.0000,0.0060
CID009836051,0.0000,0.0000
CID006539610,0.0000,0.0000
CID044529101,0.0000,0.0000
CID011524582,0.0000,0.0280
CID010595057,0.0000,0.0190
CID009814925,0.0000,0.0020
CID044532297,0.0000,0.0000
CID051356854,0.0000,0.1200
CID044528946,0.0000,0.0000
CID006539587,0.0000,0.0000
CID010267580,0.0000,0.0717
CID044525928,0.0000,0.0000
CID044525946,0.0110,0.0000
CID057401867,0.0000,0.0140
CID010186182,0.0000,0.0000
CID044525973,0.0000,0.0000
CID044527001,0.0000,0.0000
CID006539496,0.0480,0.0290
CID011373846,0.0000,0.0000
CID044306199,0.0260,0.0370
CID044529112,0.0460,0.0000
CID057396627,0.0000,0.0000
CID046214650,0.0000,0.0000
CID006539504,0.0000,0.0070
CID044525944,0.0000,0.0000
CID049862644,0.0000,0.0000
CID049798353,0.0000,0.0000
CID011712734,0.0790,0.0010
CID002409198,0.0460,0.0300
CID000156422,0.0000,0.0000
CID057398391,0.0000,0.0330
CID044336137,0.0000,0.0240
CID006539428,0.0000,0.0000
CID044526072,0.0000,0.0270
CID005329481,0.0000,0.0000
CID044532978,0.0000,0.0000
CID000253268,0.0460,0.0360
CID044525971,0.0000,0.0000
CID006539615,0.0000,0.0000
CID044305551,0.0000,0.0000
CID053469824,0.0000,0.0000
CID044305879,0.0000,0.0000
CID025190914,0.0030,0.0530
CID006539481,0.0000,0.0000
CID051356853,0.0000,0.1620
CID044525938,0.0000,0.0210
CID010186009,0.0000,0.0170
CID015872399,0.0000,0.0000
CID044532997,0.0000,0.0000
CID051356289,0.0000,0.1910
CID011793277,0.0000,0.0030
CID006539579,0.0440,0.0530
CID010028480,0.0000,0.0000
CID044526074,0.0000,0.0000
CID044305647,0.0000,0.0410
CID044525947,0.0000,0.0000
CID006539569,0.0040,0.0320
CID044535870,0.0180,0.0000
CID044397192,0.0220,0.1330
CID044525950,0.0000,0.0000
CID044526078,0.0010,0.0000
CID044526685,0.0000,0.0000
CID006539492,0.0000,0.0650
CID021078798,0.0000,0.0230
CID046215814,0.0000,0.3540
CID006539524,0.0000,0.0080
CID044397011,0.0000,0.0000
CID044305594,0.0000,0.0070
CID006539529,0.0540,0.0960
CID044592502,0.0000,0.2840
CID010310395,0.0060,0.0000
CID057345685,0.0000,0.0000
CID049862783,0.0000,0.0000
CID070685442,0.0000,0.0000
CID000667570,0.0080,0.0000
CID006539609,0.0000,0.0000
CID009888013,0.0000,0.0000
CID010158539,0.0000,0.0000
CID044525943,0.0000,0.0000
CID010621826,0.0000,0.0000
CID015521230,0.0340,0.0000
CID044591552,0.0000,0.0480
CID044532480,0.0000,0.0170
CID011197671,0.0000,0.0000
CID000838889,0.0000,0.0000
CID045480848,nan,nan
CID044529114,0.0000,0.0000
CID010183216,0.0200,0.0770
CID070691776,0.0000,0.0000
CID024804299,0.0000,0.0220
CID009945696,0.0130,0.0000
CID057396625,0.0000,0.0000
CID044532433,0.0000,0.0000
CID015838857,0.0000,0.0000
CID044526077,0.0000,0.0000
CID011495551,0.0060,0.0110
CID011558948,0.0000,0.0000
CID025263100,0.0000,0.0100
CID023648887,0.0320,0.0910
CID010151417,0.0000,0.0200
CID006539588,0.0000,0.0010
CID006539470,0.0000,0.0000
CID044526922,0.0000,0.0000
CID044532712,0.0000,0.0000
CID005311382,0.0180,0.0000
CID046886665,0.4030,0.0190
CID023648920,0.0090,0.0000
CID042618144,0.0000,0.0000
CID006539463,0.0000,0.0000
CID024803787,0.0000,0.0850
CID006539528,0.1980,0.0080
CID024803786,0.0620,0.0890
CID011633551,0.0000,0.0200
CID044397230,0.0000,0.0000
CID010135552,0.0150,0.0000
CID045271244,0.0000,0.0000
CID045271243,0.0000,0.0000
CID056683489,0.0000,0.0820
CID010757558,nan,nan
CID044532531,0.0000,0.0180
CID000129723,0.0000,0.0000
CID005329841,0.0000,0.0000
CID051357954,0.0000,0.0000
CID066561013,0.0000,0.0000
CID025263085,0.0000,0.0920
CID044525969,0.0000,0.0000
CID044336144,0.0000,0.0000
CID053467617,0.0000,0.0000
CID025263102,0.0000,0.0000
CID022609863,0.0000,0.0080
CID011716589,0.0000,0.0285
CID053469634,0.0000,0.0000
CID011220119,0.0000,0.0000
CID001491157,0.0000,0.0000
CID024802788,0.0000,0.0340
CID000003134,0.0000,0.0140
CID051357696,0.0000,0.0000
CID057400063,0.0450,0.0070
CID057391365,0.0000,0.0000
CID000221158,0.0000,0.0000
CID000309461,0.0000,0.0330
CID011959683,0.3470,0.0210
