Compound,CID,mol_idx,Regno,Chemotype,Smiles,smiles_nosalt
UNC10225469A,70683337,0,GSK2358994,morpholino-triazolo-pyrimidinones,Clc1cccc(Cn2c(nn3c2nc(cc3=O)N2CCOCC2)C2CC2)c1Cl,O=c1cc(N2CCOCC2)nc2n(Cc3cccc(Cl)c3Cl)c(C3CC3)nn12
UNC10225012A,53466951,1,GSK2593074,4-amino-3-aryl-thienopyridine and analogues,Cn1cc(cn1)-c1cnc(N)c2c(csc12)-c1ccc2N(CCc2c1)C(=O)Cc1ccccc1,Cn1cc(-c2cnc(N)c3c(-c4ccc5c(c4)CCN5C(=O)Cc4ccccc4)csc23)cn1
UNC10225159A,44529239,2,GSK350559,4-pyrimidinyl_ortho-aryl_azoles,CS(=O)(=O)Cc1ccc(Nc2nccc(n2)-c2c(nn3ncccc23)-c2cccc(NC(=O)C3CCCCC3)c2)cc1,CS(=O)(=O)Cc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)C5CCCCC5)c4)nn4ncccc34)n2)cc1
UNC10225310A,44529279,3,GSK361065,4-pyrimidinyl_ortho-aryl_azoles,COc1cccc(OC)c1C(=O)Nc1cccc(c1)-c1nn2ccccc2c1-c1ccnc(Nc2cccc(F)c2)n1,COc1cccc(OC)c1C(=O)Nc1cccc(-c2nn3ccccc3c2-c2ccnc(Nc3cccc(F)c3)n2)c1
UNC10225187A,2787267,4,GSK955403,diarylurea,Cc1ccc(NC(=O)Nc2cccc(c2)C(F)(F)F)cc1,Cc1ccc(NC(=O)Nc2cccc(C(F)(F)F)c2)cc1
UNC10225062A,7,5,GW345098,6-aminopurines and related,CCn1cnc2c(N)ncnc12,CCn1cnc2c(N)ncnc21
UNC10225296A,44532438,6,GW557777,4-anilinoquinoline,Cc1ccc(O)cc1Nc1ccnc2cc(ccc12)-c1ccc(CN2CCCCC2)o1,Cc1ccc(O)cc1Nc1ccnc2cc(-c3ccc(CN4CCCCC4)o3)ccc12
UNC10225430A,25023825,7,GW630823,4-anilinoquinoline,Cc1ccc(O)cc1Nc1cc(nc2ccc(cc12)-c1ccncc1)C(F)(F)F,Cc1ccc(O)cc1Nc1cc(C(F)(F)F)nc2ccc(-c3ccncc3)cc12
UNC10225266A,9998128,8,GW857175,2-aryl-4-anilino(pyridin-4-yl)-quinazoline and analogues,Cc1cccc(n1)-c1nc(Nc2ccc3[nH]ncc3c2)c2ccccc2n1,Cc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)n1
UNC10225324A,25190912,9,GW869979,benzimidazole_N-thiophenes,COc1cc2ncn(-c3cc(OCc4ccc(cc4)S(C)(=O)=O)c(s3)C(N)=O)c2cc1OC,COc1cc2ncn(-c3cc(OCc4ccc(S(C)(=O)=O)cc4)c(C(N)=O)s3)c2cc1OC
