molid,rop18
CID000000007,0.05
CID000003134,0.02
CID000005228,0.27
CID000069689,0.07
CID000099545,0.03
CID000129723,0.01
CID000156414,0.04
CID000156422,0.03
CID000221158,0.07
CID000227502,0.01
CID000253268,0.08
CID000309461,0.01
CID000447966,0.35
CID000599038,0.01
CID000667570,0.33
CID000838889,0.04
CID001489204,0.03
CID001491157,0.05
CID002409198,0.03
CID002787267,0.03
CID005311382,0.03
CID005329477,0.07
CID005329481,0.03
CID005329826,0.15
CID005329841,0.11
CID005330286,0.02
CID006263849,0.07
CID006450551,0.02
CID006538884,0.03
CID006539376,0.03
CID006539394,0.01
CID006539398,0.06
CID006539416,0.02
CID006539426,0.63
CID006539427,0.03
CID006539428,0.76
CID006539452,0.07
CID006539455,0.05
CID006539458,0.04
CID006539461,0.11
CID006539463,0.1
CID006539465,0.02
CID006539467,0.02
CID006539470,0.01
CID006539472,0.13
CID006539473,0.02
CID006539475,0.02
CID006539477,0.0
CID006539480,0.01
CID006539481,0.06
CID006539486,0.01
CID006539492,0.04
CID006539496,0.06
CID006539498,0.05
CID006539501,0.06
CID006539504,0.03
CID006539506,0.02
CID006539507,0.01
CID006539509,0.15
CID006539512,0.01
CID006539513,0.01
CID006539516,0.02
CID006539519,0.06
CID006539523,0.03
CID006539524,0.02
CID006539525,0.14
CID006539528,0.08
CID006539529,0.05
CID006539550,0.05
CID006539565,0.07
CID006539566,0.07
CID006539569,0.02
CID006539571,0.01
CID006539572,0.03
CID006539578,0.01
CID006539579,0.05
CID006539582,0.04
CID006539587,0.02
CID006539588,0.05
CID006539591,0.05
CID006539602,0.04
CID006539605,0.05
CID006539606,0.07
CID006539609,0.04
CID006539610,0.06
CID006539613,0.07
CID006539615,0.03
CID006918454,0.0
CID009814925,0.5
CID009826528,0.0
CID009836050,0.09
CID009836051,0.15
CID009836405,0.45
CID009861063,0.36
CID009865518,0.06
CID009879605,0.39
CID009880709,0.25
CID009888013,0.25
CID009901062,0.04
CID009903786,0.05
CID009914412,0.01
CID009923028,0.06
CID009925372,0.31
CID009925594,0.08
CID009926791,0.02
CID009929101,0.17
CID009935852,0.06
CID009945516,0.31
CID009945696,0.05
CID009958299,0.03
CID010028480,0.02
CID010086873,0.06
CID010135552,0.06
CID010151417,0.04
CID010158539,0.06
CID010161259,0.02
CID010173796,0.19
CID010183216,0.05
CID010186009,0.07
CID010186182,0.06
CID010239038,0.11
CID010267580,0.04
CID010278843,0.01
CID010286382,0.08
CID010287409,0.08
CID010310395,0.06
CID010358578,0.04
CID010452739,0.04
CID010595057,0.02
CID010621826,0.06
CID010639924,0.06
CID010757558,0.08
CID011057468,0.05
CID011133737,0.05
CID011197671,0.02
CID011220119,0.07
CID011224168,0.04
CID011231979,0.06
CID011373846,0.03
CID011427162,0.02
CID011495551,0.03
CID011514099,0.02
CID011524582,0.04
CID011529890,0.19
CID011558948,0.34
CID011594774,0.12
CID011595752,0.11
