target,active_fraction
AAK1,0.06987951807228916
ABL1.nonphosphorylated,0.0891566265060241
ABL1.phosphorylated,0.07228915662650602
ABL2,0.07710843373493977
ACVR1,0.06506024096385542
ACVR1B,0.08674698795180723
ACVR2A,0.043373493975903614
ACVR2B,0.05783132530120482
ACVRL1,0.05060240963855422
ADCK3,0.04819277108433735
ADCK4,0.06746987951807229
AKT1,0.04819277108433735
AKT2,0.03614457831325301
AKT3,0.06987951807228916
ALK,0.03132530120481928
AMPK.alpha1,0.05060240963855422
AMPK.alpha2,0.05060240963855422
ANKK1,0.04096385542168675
ARK5,0.05301204819277108
ASK1,0.04096385542168675
ASK2,0.03614457831325301
AURKA,0.0891566265060241
AURKB,0.0891566265060241
AURKC,0.06746987951807229
AXL,0.09879518072289156
BIKE,0.08433734939759036
BLK,0.0891566265060241
BMPR1A,0.03855421686746988
BMPR1B,0.06746987951807229
BMPR2,0.05060240963855422
BMX,0.05060240963855422
BRAF,0.0746987951807229
BRK,0.0819277108433735
BRSK1,0.05542168674698795
BRSK2,0.05783132530120482
BTK,0.06987951807228916
BUB1,0.05783132530120482
CAMK1,0.043373493975903614
CAMK1B,0.04578313253012048
CAMK1D,0.033734939759036145
CAMK1G,0.04096385542168675
CAMK2A,0.03614457831325301
CAMK2B,0.02891566265060241
CAMK2D,0.03855421686746988
CAMK2G,0.021686746987951807
CAMK4,0.05060240963855422
CAMKK1,0.043373493975903614
CAMKK2,0.04578313253012048
CASK,0.03614457831325301
CDC2L1,0.03132530120481928
CDC2L2,0.04096385542168675
CDC2L5,0.05060240963855422
CDK11,0.06746987951807229
CDK2,0.05301204819277108
CDK3,0.05783132530120482
CDK4,0.043373493975903614
CDK4.cyclinD1,0.060240963855421686
CDK4.cyclinD3,0.05060240963855422
CDK5,0.02891566265060241
CDK7,0.06987951807228916
CDK8,0.05301204819277108
CDK9,0.04819277108433735
CDKL1,0.05542168674698795
CDKL2,0.07951807228915662
CDKL3,0.05301204819277108
CDKL5,0.043373493975903614
CHEK1,0.03855421686746988
CHEK2,0.06506024096385542
CIT,0.0819277108433735
CLK1,0.0746987951807229
CLK2,0.09397590361445783
CLK3,0.06987951807228916
CLK4,0.06987951807228916
CSF1R,0.11325301204819277
CSF1R.autoinhibited,0.060240963855421686
CSK,0.06746987951807229
CSNK1A1,0.09879518072289156
CSNK1A1L,0.05542168674698795
CSNK1D,0.10843373493975904
CSNK1E,0.0963855421686747
CSNK1G1,0.03855421686746988
CSNK1G2,0.04578313253012048
CSNK1G3,0.04819277108433735
CSNK2A1,0.06506024096385542
CSNK2A2,0.0819277108433735
CTK,0.05060240963855422
DAPK1,0.05542168674698795
DAPK2,0.05301204819277108
DAPK3,0.06265060240963856
DCAMKL1,0.04096385542168675
DCAMKL2,0.03132530120481928
DCAMKL3,0.060240963855421686
DDR1,0.0
DDR2,0.06746987951807229
DLK,0.05060240963855422
DMPK,0.05301204819277108
DMPK2,0.0963855421686747
DRAK1,0.09397590361445783
DRAK2,0.03855421686746988
DYRK1A,0.06265060240963856
DYRK1B,0.07228915662650602
DYRK2,0.08433734939759036
EGFR,0.09156626506024096
EIF2AK1,0.05301204819277108
EPHA1,0.06987951807228916
EPHA2,0.04578313253012048
EPHA3,0.04819277108433735
EPHA4,0.04096385542168675
EPHA5,0.02891566265060241
EPHA6,0.05060240963855422
EPHA7,0.03855421686746988
EPHA8,0.05783132530120482
EPHB1,0.033734939759036145
EPHB2,0.043373493975903614
EPHB3,0.03132530120481928
EPHB4,0.05783132530120482
EPHB6,0.0963855421686747
ERBB2,0.0746987951807229
ERBB3,0.06746987951807229
ERBB4,0.06746987951807229
ERK1,0.03132530120481928
ERK2,0.02891566265060241
ERK3,0.033734939759036145
ERK4,0.03855421686746988
ERK5,0.043373493975903614
ERK8,0.06987951807228916
ERN1,0.05783132530120482
FAK,0.043373493975903614
FER,0.03855421686746988
FES,0.03855421686746988
FGFR1,0.05060240963855422
FGFR2,0.060240963855421686
FGFR3,0.033734939759036145
FGFR4,0.04819277108433735
FGR,0.07228915662650602
FLT1,0.0891566265060241
FLT3,0.0963855421686747
FLT3.autoinhibited,0.04578313253012048
FLT4,0.07951807228915662
FRK,0.08433734939759036
FYN,0.060240963855421686
GAK,0.08433734939759036
GCN2_KinDom2_S808G,0.060240963855421686
GRK1,0.05060240963855422
GRK2,0.05060240963855422
GRK3,0.060240963855421686
GRK4,0.06265060240963856
GRK7,0.04819277108433735
GSK3A,0.0819277108433735
GSK3B,0.05301204819277108
HASPIN,0.0819277108433735
HCK,0.08674698795180723
HIPK1,0.06265060240963856
HIPK2,0.06987951807228916
HIPK3,0.07710843373493977
HIPK4,0.09397590361445783
HPK1,0.03614457831325301
HUNK,0.05542168674698795
ICK,0.06506024096385542
IGF1R,0.03614457831325301
IKK.alpha,0.05783132530120482
IKK.beta,0.060240963855421686
IKK.epsilon,0.04819277108433735
INSR,0.043373493975903614
INSRR,0.03855421686746988
IRAK1,0.06746987951807229
IRAK3,0.07710843373493977
IRAK4,0.06265060240963856
ITK,0.03614457831325301
JAK1_JH1domain.catalytic,0.05060240963855422
JAK1_JH2domain.pseudokinase,0.07710843373493977
JAK2_JH1domain.catalytic,0.09879518072289156
JAK3_JH1domain.catalytic,0.10120481927710843
JNK1,0.060240963855421686
JNK2,0.0746987951807229
JNK3,0.08674698795180723
KIT,0.0
KIT.autoinhibited,0.04819277108433735
LATS1,0.05783132530120482
LATS2,0.07228915662650602
LCK,0.0963855421686747
LIMK1,0.04578313253012048
LIMK2,0.05301204819277108
LKB1,0.06265060240963856
LOK,0.10843373493975904
LRRK2,0.06265060240963856
LTK,0.06987951807228916
LYN,0.0891566265060241
LZK,0.05301204819277108
MAK,0.05060240963855422
MAP3K1,0.04096385542168675
MAP3K15,0.043373493975903614
MAP3K2,0.06746987951807229
MAP3K3,0.07710843373493977
MAP3K4,0.04578313253012048
MAP4K2,0.06506024096385542
MAP4K3,0.06987951807228916
MAP4K4,0.06506024096385542
MAP4K5,0.0891566265060241
MAPKAPK2,0.02891566265060241
MAPKAPK5,0.043373493975903614
MARK1,0.03855421686746988
MARK2,0.04819277108433735
MARK3,0.05783132530120482
MARK4,0.043373493975903614
MAST1,0.05542168674698795
MEK1,0.05301204819277108
MEK2,0.05301204819277108
MEK3,0.05301204819277108
MEK4,0.04819277108433735
MEK5,0.0
MEK6,0.05301204819277108
MELK,0.06987951807228916
MERTK,0.06987951807228916
MET,0.06746987951807229
MINK,0.06265060240963856
MKK7,0.04578313253012048
MKNK1,0.05060240963855422
MKNK2,0.08674698795180723
MLCK,0.06987951807228916
MLK1,0.05301204819277108
MLK2,0.05060240963855422
MLK3,0.05783132530120482
MRCKA,0.05301204819277108
MRCKB,0.0819277108433735
MST1,0.06265060240963856
MST1R,0.03614457831325301
MST2,0.05783132530120482
MST3,0.03855421686746988
MST4,0.05542168674698795
MTOR,0.043373493975903614
MUSK,0.04578313253012048
MYLK,0.04096385542168675
MYLK2,0.07710843373493977
MYLK4,0.0819277108433735
MYO3A,0.043373493975903614
MYO3B,0.060240963855421686
NDR1,0.04096385542168675
NDR2,0.05301204819277108
NEK1,0.06265060240963856
NEK10,0.05783132530120482
NEK11,0.043373493975903614
NEK2,0.05783132530120482
NEK3,0.04096385542168675
NEK4,0.05301204819277108
NEK5,0.06746987951807229
NEK6,0.03614457831325301
NEK7,0.043373493975903614
NEK9,0.05783132530120482
NIK,0.04578313253012048
NIM1,0.03855421686746988
NLK,0.07951807228915662
OSR1,0.033734939759036145
PAK1,0.033734939759036145
PAK2,0.05542168674698795
PAK3,0.06506024096385542
PAK4,0.043373493975903614
PAK6,0.060240963855421686
PAK7,0.05542168674698795
PCTK1,0.05060240963855422
PCTK2,0.04819277108433735
PCTK3,0.043373493975903614
PDGFRA,0.09879518072289156
PDGFRB,0.0
PDPK1,0.06506024096385542
PFTAIRE2,0.02891566265060241
PFTK1,0.03132530120481928
PHKG1,0.04819277108433735
PHKG2,0.033734939759036145
PIK3C2B,0.060240963855421686
PIK3C2G,0.05542168674698795
PIK3CA,0.02891566265060241
PIK3CB,0.06987951807228916
PIK3CD,0.05301204819277108
PIK3CG,0.05060240963855422
PIK4CB,0.060240963855421686
PIKFYVE,0.06265060240963856
PIM1,0.03614457831325301
PIM2,0.02650602409638554
PIM3,0.05060240963855422
PIP5K1A,0.04096385542168675
PIP5K1C,0.03614457831325301
PIP5K2B,0.05301204819277108
PIP5K2C,0.06987951807228916
PKAC.alpha,0.06506024096385542
PKAC.beta,0.06987951807228916
PKMYT1,0.02891566265060241
PKN1,0.043373493975903614
PKN2,0.04578313253012048
PLK1,0.05060240963855422
PLK2,0.05301204819277108
PLK3,0.05060240963855422
PLK4,0.060240963855421686
PRKCD,0.06265060240963856
PRKCE,0.06506024096385542
PRKCH,0.06506024096385542
PRKCI,0.02650602409638554
PRKCQ,0.060240963855421686
PRKD1,0.08433734939759036
PRKD2,0.07951807228915662
PRKD3,0.09156626506024096
PRKG1,0.05060240963855422
PRKG2,0.0891566265060241
PRKR,0.043373493975903614
PRKX,0.06506024096385542
PRP4,0.04578313253012048
PYK2,0.043373493975903614
QSK,0.03855421686746988
RAF1,0.09879518072289156
RET,0.0891566265060241
RIOK1,0.0746987951807229
RIOK2,0.07228915662650602
RIOK3,0.08433734939759036
RIPK1,0.05783132530120482
RIPK2,0.08433734939759036
RIPK4,0.05060240963855422
RIPK5,0.06265060240963856
ROCK1,0.0819277108433735
ROCK2,0.0819277108433735
ROS1,0.05542168674698795
RPS6KA4_KinDom1.N.terminal,0.04578313253012048
RPS6KA4_KinDom2.C.terminal,0.060240963855421686
RPS6KA5_KinDom1.N.terminal,0.04819277108433735
