PubChem CID,pknb,bglf4,rop18,b_cw,b_bw,RS,CS,AS
10173796,0.42,0.07,0.19,,informer,,informer,informer
10308522,0.00,0.05,1.22,,informer,,informer,
11163861,0.11,0.15,0.05,,informer,,informer,
11281930,0.00,0.39,0.09,,,informer,,
11328632,0.00,0.00,0.00,,,informer,,
11626927,0.00,0.08,0.00,,,informer,informer,
11751266,0.00,0.02,0.03,,,informer,,
16048303,0.03,0.00,0.03,informer,,,,
23646938,0.01,0.07,0.00,,,,informer,informer
25023715,0.00,0.02,0.00,,,informer,,informer
25211574,0.00,0.29,0.03,,,informer,,informer
25218584,0.02,0.00,0.00,,,informer,,
25218593,0.00,0.00,0.01,,,informer,,
25218600,0.00,0.63,0.43,,informer,,informer,informer
25218601,0.00,0.00,0.18,,informer,,informer,informer
25218614,0.00,0.70,0.07,informer,informer,,informer,
44397010,0.00,0.00,0.05,informer,,informer,,
44397250,0.04,0.00,0.06,,,informer,,
44397453,0.06,0.05,0.02,,,informer,,
44418539,0.01,0.00,0.01,informer,,,,
44532204,0.00,0.01,0.18,informer,,,,informer
44532523,0.01,0.00,0.03,informer,,,,
44536036,0.01,0.00,0.04,,informer,,informer,
44581245,0.00,0.00,0.00,,,,,informer
448008,0.00,0.00,0.01,informer,,,,
53239967,0.00,0.46,0.85,,informer,,informer,informer
5329829,0.00,0.00,0.02,,informer,informer,,informer
5329854,0.00,0.09,0.50,informer,,,,
5482344,0.00,0.73,0.01,,informer,,informer,
56604013,0.41,0.00,0.03,,,,,informer
56604034,0.27,0.00,0.02,,informer,,informer,informer
57391096,0.01,0.00,0.00,,informer,informer,informer,informer
57396353,0.04,0.11,0.00,,informer,,,
57399798,0.01,0.02,0.04,informer,,,,
6539047,0.00,0.00,0.15,informer,,,,
6539056,0.00,0.00,1.00,,,informer,,
6539081,0.07,0.33,1.01,,,informer,informer,informer
6539107,0.00,0.46,0.85,,informer,,informer,
6539108,0.03,0.46,0.10,,informer,,informer,
6539361,0.00,0.03,0.02,informer,,,,
6539593,0.00,0.00,0.03,informer,,,,
766949,0.03,0.02,0.00,informer,,,,
9604911,0.00,0.00,0.05,,,,,informer
9822610,0.00,0.00,0.01,,informer,,,
9826308,0.03,0.00,0.03,informer,,,,
9901964,0.00,0.00,0.61,informer,,,,
9910722,0.00,0.00,0.07,informer,,,,
9927432,0.00,0.06,0.12,,,informer,,informer
