molid,pknb,bglf4
6539592,0.0,0.0
6539600,0.0,0.0
6539599,0.029,0.0
6539597,0.0,0.0
6539620,0.043,0.0
6539617,0.048,0.065
11959377,0.014,0.0573
11959682,0.0,0.025
11959683,0.347,0.021
15872400,0.0,0.0
15872391,0.001,0.0
15872404,0.039,0.05
9885504,0.0,0.0
16219401,0.071,0.095
6539453,0.014,0.0
6539521,0.054,0.051
448008,0.0,0.0
6539482,0.005,0.0
6539478,0.0,0.0
6539502,0.042,0.0
6539466,0.0,0.0
44386338,0.0,0.124
5329853,0.009,0.0
9827373,0.0,0.002
53239985,0.0,0.0
53239984,0.0,0.0
15872408,0.0,0.0
6518526,0.047,0.05
56604006,0.0,0.0
53239978,0.048,0.279
5329860,0.0,0.0
56667992,0.0,0.0
53239955,0.0,0.057
56681565,0.0,0.179
53239967,0.0,0.455
9944269,0.0,0.045
9926067,0.0,0.089
9858662,0.0,0.077
9901444,0.0,0.069
11244488,0.022,0.051
11392350,0.0,0.006
11231939,0.0,0.0
56604005,0.0,0.0
56603995,0.479,0.0
56604013,0.415,0.0
25263120,0.0,0.0
25263123,0.029,0.013
25263124,0.004,0.031
16051023,0.051,0.024
56667993,0.0,0.0
56657596,0.0,0.0
24949545,0.0,0.001
5329857,0.027,0.005
5329861,0.0,0.0
9922527,0.0,0.0
6539751,0.01,0.008
6539382,0.0,0.0
449054,0.0,0.0
44397010,0.0,0.0
6539418,0.0,0.0
44397250,0.035,0.0
6539411,0.0,0.0
6539361,0.0,0.026
44397201,0.006,0.058
11680113,0.031,0.021
5034,0.0,0.0
10215776,0.057,0.033
44396990,0.0,0.0
6539439,0.0,0.0
6539414,0.0,0.0
44397453,0.062,0.054
5329829,0.0,0.0
6539390,0.026,0.0
10133732,0.0,0.0
6539417,0.0,0.0
6539413,0.0,0.0
22464120,0.0,0.008
6539424,0.0,0.0
44397032,0.0,0.0
5329831,0.0,0.0
6539397,0.017,0.0
6539440,0.012,0.039
53239988,0.0,0.0
57400544,0.0,0.0
16236469,,
57400541,0.0,0.0
57400545,0.026,0.088
57398861,0.016,0.033
56603980,0.04,0.015
56604034,0.269,0.0
57391875,0.273,0.0
57393604,0.0,0.135
57400542,0.0,0.0
57398867,0.0,0.0
57398866,0.083,0.039
57390087,0.0,0.0
57395317,0.0,0.0
21701565,0.005,0.197
57395310,0.0,0.0
57398144,0.043,0.0
57398145,0.015,0.003
57391091,0.015,0.0
57403316,0.0,0.0
57398146,0.059,0.045
57394599,0.033,0.0
56604030,0.0,0.007
57399798,0.01,0.017
57398147,0.0,0.007
57396350,0.025,0.0
57401572,0.032,0.0
57396351,0.0,0.0
57396352,0.0,0.026
57391092,0.007,0.0
57399799,0.009,0.014
57403317,0.031,0.0
56603966,0.537,0.05
57401573,0.0,0.0
57394600,0.0,0.0
57403318,0.052,0.033
57401574,0.0,0.0
57398148,0.02,0.01
57392873,0.0,0.001
57398149,0.041,0.038
57396353,0.042,0.109
57398150,0.0,0.0
57398151,0.0,0.004
