molid,bglf4_c_s_1,bglf4_c_l_1,bglf4_c_w_1,bglf4_p_s_1,bglf4_p_l_1,bglf4_p_w_1,pknb_c_s_1,pknb_c_l_1,pknb_c_w_1,pknb_p_s_1,pknb_p_l_1,pknb_p_w_1
10113568,0.8691588785050001,206,-0.11615250076024194,0.8691588785050001,208,-0.44083284614011997,nan,nan,-0.020031593718254005,0.8425925925929999,109,-0.14438883215272363
10125875,0.910891089109,323,-0.09367209028745604,0.885714285714,315,-0.449039996246107,nan,nan,-0.011797403938910003,0.56338028169,20,-0.28310629708859997
10133732,0.8365384615379999,103,-0.13460031719250004,0.836363636364,256,-0.4856046476196661,nan,nan,-0.013829337679722997,0.7978723404260001,78,-0.14060650834853294
10158653,0.854368932039,158,-0.13132748287065002,0.816901408451,114,-0.5239488350134169,nan,nan,-0.020609444812168004,0.859813084112,181,-0.11113700347045902
10160775,0.8691588785050001,207,-0.12323606032308695,0.824324324324,150,-0.5457204509511719,nan,nan,-0.021379957805883996,0.8425925925929999,111,-0.12641487906737003
10171618,0.881188118812,249,-0.10758808614520902,0.8571428571430001,285,-0.47845404458890506,nan,nan,-0.011728053089436998,0.670886075949,48,-0.217116218063404
10173796,0.833333333333,91,-0.15136519294277906,informer,informer,informer,nan,nan,-0.013453885162790998,informer,informer,informer
10193464,0.875,226,-0.11130009823004601,0.875,331,-0.42419215747238204,nan,nan,-0.008943536143594,0.6375,38,-0.21988916764128605
10193482,0.8962264150939999,283,-0.10470020336306306,0.872727272727,297,-0.46773264028221806,nan,nan,-0.010512629213268995,0.527027027027,10,-0.2957489193144
10200651,0.8971962616820001,289,-0.10068865164966796,0.8938053097349999,299,-0.391359917726377,nan,nan,-0.020831865580748,0.8807339449539999,265,-0.10589323526058503
10215776,0.885714285714,258,-0.114717593225628,0.872727272727,261,-0.526862593229137,nan,nan,-0.011883398051064996,0.486111111111,6,-0.32578817609058003
10236195,0.849462365591,141,-0.12409889832030005,0.8367346938779999,272,-0.426119091463699,nan,nan,-0.014336091161605996,0.62962962963,23,-0.183647628999372
10272700,0.7961165048540001,28,-0.16489146126962695,0.7961165048540001,110,-0.575445462038271,nan,nan,-0.019089832062805998,0.828282828283,136,-0.14707020429342393
10286242,0.8989898989899999,294,-0.10264278878869805,0.888888888889,309,-0.45329984046849814,nan,nan,-0.013156571477697998,0.492537313433,8,-0.321599063212319
10294883,0.916666666667,334,-0.08300408228370099,0.873563218391,239,-0.4160980996928911,nan,nan,-0.013686113363859997,0.8279569892470001,134,-0.13277667295206694
10295475,0.894230769231,274,-0.09766928720513102,0.87037037037,312,-0.403676301782693,nan,nan,-0.019697419589835997,0.877358490566,253,-0.09183301464598498
10308522,0.894230769231,275,-0.11319019763351904,informer,informer,informer,nan,nan,-0.012932284503063994,informer,informer,informer
10321190,0.841121495327,118,-0.13150820705649002,0.81981981982,194,-0.46812337569579815,nan,nan,-0.013391862470206,0.851485148515,218,-0.122995207880251
10469531,0.8571428571430001,167,-0.12318228858050395,0.8217821782179999,206,-0.51017137257508,nan,nan,-0.018267527475524997,0.8571428571430001,240,-0.11712030044758996
10475737,0.826530612245,81,-0.140437256644647,0.826530612245,241,-0.477803774682523,nan,nan,-0.013758534302671994,0.8241758241760001,124,-0.13218315181848797
11155941,0.8235294117649999,73,-0.17791743003997507,0.8235294117649999,198,-0.5599168165381879,nan,nan,-0.015641406744466003,0.8210526315790001,116,-0.15829378699345695
11163861,0.835051546392,101,-0.16613407140415404,informer,informer,informer,nan,nan,-0.013812533976119,informer,informer,informer
11231939,0.804597701149,44,-0.20752859549449604,0.804597701149,145,-0.5049514508048482,nan,nan,-0.014836243938797995,0.8705882352940001,292,-0.11777852863396297
11233873,0.808080808081,48,-0.15655718303210003,0.762376237624,50,-0.6474173992363911,nan,nan,-0.018114935264407998,0.8421052631579999,182,-0.12537238838664802
11244488,0.797752808989,29,-0.222026009652112,0.797752808989,115,-0.5554034158817209,nan,nan,-0.016895591901735,0.821428571429,118,-0.14312575213259798
11247002,0.8666666666670001,195,-0.11394096020406695,0.833333333333,106,-0.5506369336535859,nan,nan,-0.015932915628708997,0.8556701030930001,238,-0.11194334712291698
11269477,0.87037037037,215,-0.11583929421998201,0.837837837838,125,-0.5572151264290199,nan,nan,-0.018288596681085997,0.8484848484849999,212,-0.12288649432847101
11273032,0.814516129032,57,-0.15439893891504602,0.814516129032,175,-0.5396232031107071,nan,nan,-0.020346177137047,0.847328244275,125,-0.130854600304037
11281930,0.906542056075,313,-0.08779628612524396,0.79012345679,58,-0.507289745791116,nan,nan,-0.016425465178090997,0.87962962963,257,-0.108873313527477
11284937,0.8217054263570001,68,-0.146192589863635,0.8217054263570001,205,-0.505133148207509,nan,nan,-0.019012502073829998,0.848,147,-0.1287616634403
11290221,0.86170212766,182,-0.11911745318483202,0.810810810811,81,-0.46590400765376605,nan,nan,-0.017238396833915,0.862068965517,260,-0.118108833710632
11307581,0.825396825397,79,-0.14473921752301502,0.825396825397,160,-0.540995435741608,nan,nan,-0.019952970813288,0.8484848484849999,135,-0.12971117295518197
11328632,0.813725490196,56,-0.17946753574800597,0.813725490196,169,-0.5573839623436491,nan,nan,-0.016371626288719,0.7717391304350001,60,-0.18023656614894695
11392350,0.908163265306,318,-0.124012779259644,0.9,304,-0.36120961102180094,nan,nan,-0.014580983755606994,0.8352941176469999,154,-0.12469882047325404
11453116,0.861111111111,179,-0.11784053377356699,0.839285714286,161,-0.5411593388658031,nan,nan,-0.018309398131099004,0.826530612245,128,-0.13104852000325798
11473228,0.910891089109,324,-0.08771095011020802,0.833333333333,123,-0.388709943439816,nan,nan,-0.015488375004595994,0.85393258427,226,-0.11982335696596201
11502866,0.859813084112,175,-0.12621379907748803,0.859813084112,311,-0.4298383133549219,nan,nan,-0.017738985688941,0.86,209,-0.12242029468868802
11569498,0.839285714286,109,-0.13511878464407204,0.808695652174,89,-0.580189564360272,nan,nan,-0.018522979995498,0.826923076923,130,-0.13467553398953097
11604319,0.8971962616820001,290,-0.09773955512959497,0.883928571429,303,-0.42281462170470385,nan,nan,-0.013120656322612001,0.829787234043,138,-0.13168082195762398
11605761,0.824561403509,74,-0.15031160042926003,0.824561403509,223,-0.5075770679742481,nan,nan,-0.020022731364338,0.85,139,-0.12708659220693105
11617559,0.8404255319149999,115,-0.1394835898967351,0.8095238095239999,78,-0.5142838714074821,nan,nan,-0.016342277120914,0.87,231,-0.109574384823061
11626927,0.862385321101,184,-0.12330284582351203,0.860869565217,227,-0.47832251158555905,nan,nan,-0.026258729890321,0.8571428571430001,169,-0.10520327766036097
11627264,0.824561403509,75,-0.150339250460299,0.824561403509,229,-0.4895287473376941,nan,nan,-0.020064642935644993,0.830508474576,89,-0.142260187772139
11640889,0.849557522124,143,-0.13088255084774397,0.849557522124,283,-0.4512334398998939,nan,nan,-0.017646350661835,0.838095238095,157,-0.13742935361489203
11656050,0.821428571429,66,-0.15396268001367097,0.821428571429,193,-0.49552981009748687,nan,nan,-0.021034145862272993,0.847457627119,129,-0.13234907969840495
11669455,0.8532110091740001,154,-0.12802350572503496,0.8532110091740001,274,-0.445389235732222,nan,nan,-0.018018980488334998,0.8584070796459999,173,-0.12234268742697303
11680113,0.9157894736839999,331,-0.07894225957867809,0.894736842105,327,-0.341200303712665,nan,nan,-0.012818623942101993,0.7558139534880001,43,-0.15385699298979597
11717091,0.8842105263160001,256,-0.10842357364606897,0.87012987013,233,-0.426083242986527,nan,nan,-0.014879749275383998,0.860465116279,252,-0.12195691993162297
11751266,0.8532110091740001,155,-0.12273060932045997,0.8421052631579999,173,-0.5066208225820719,nan,nan,-0.016822357313844,0.83,142,-0.13124334563047202
