molid,RS
CID044525934,1.7
CID009826528,1.87143
CID044578630,1.9857099999999999
CID044525921,2.22857
CID044526077,2.27143
CID044525966,2.28571
CID044525959,2.52857
CID006918454,2.74286
CID044525938,2.78571
CID011220119,2.9
CID044525933,3.02857
CID006539427,3.02857
CID006539513,3.07143
CID066561010,3.07143
CID044525943,3.11429
CID057398391,3.12857
CID044525948,3.3
CID044397687,3.38571
CID000227502,3.4
CID044397393,3.61429
CID044525971,3.62857
CID044525960,3.65714
CID006539475,3.6714300000000004
CID044525968,3.81429
CID011594774,3.8285699999999996
CID019879232,3.8285699999999996
CID010086873,3.88571
CID044525944,3.9142900000000003
CID045481463,3.9142900000000003
CID017754438,3.9285699999999997
CID044525942,3.9285699999999997
CID045271247,3.9285699999999997
CID045269578,4.01429
CID057400063,4.01429
CID044525924,4.07143
CID009861063,4.1142900000000004
CID025033539,4.12857
CID044525937,4.2285699999999995
CID044525972,4.28571
CID001491157,4.3
CID025263100,4.31429
CID044525930,4.471430000000001
CID044528946,4.5
CID044578566,4.5
CID017755746,4.524290000000001
CID044525928,4.59
CID009929101,4.62857
CID044529112,4.71429
CID044328896,4.7285699999999995
CID044525965,4.74286
CID056680318,4.75714
CID044532438,4.78571
CID011793277,4.78571
CID049798353,4.81429
CID011529890,4.82857
CID011716589,4.85714
CID044526073,4.8857099999999996
CID044525929,4.8857099999999996
CID051356855,4.9
CID051356856,4.94286
CID011633551,4.95714
CID006539578,4.971430000000001
CID006539525,4.9842900000000006
CID018536633,5.028569999999999
CID057396626,5.04286
CID025093464,5.07143
CID001489204,5.1142900000000004
CID025263108,5.14286
CID011595752,5.17143
CID011712734,5.21429
CID009945516,5.25714
CID010286382,5.28143
CID044525951,5.3
CID046214650,5.33
CID044525970,5.3857099999999996
CID044525967,5.44286
CID044525957,5.528569999999999
CID044526071,5.528569999999999
CID024949702,5.54286
CID002787267,5.57143
CID053467617,5.57857
CID044525964,5.62857
CID044279444,5.67143
CID011524582,5.7
CID044525946,5.7
CID057396625,5.7
CID044525969,5.7285699999999995
CID044527657,5.73
CID044525932,5.75714
CID057403576,5.7714300000000005
CID044532102,5.7714300000000005
CID017755233,5.80857
CID006539498,5.84286
CID044532480,5.91429
CID006539416,5.94286
CID006539519,5.94286
CID011682680,5.94286
CID070683337,5.971430000000001
CID044532432,5.971430000000001
CID006539550,5.98571
CID044397011,5.98571
CID044525955,6.028569999999999
CID044525926,6.08571
CID051357138,6.08571
CID044433573,6.17143
CID044525935,6.18571
CID057401867,6.18571
CID051354901,6.27
CID053322416,6.28571
CID010135552,6.29714
CID044532737,6.31429
CID044525485,6.35714
CID044532297,6.35714
CID044532477,6.398569999999999
CID005329477,6.4
CID044526070,6.4
CID044532478,6.4
CID006539496,6.42857
CID044526074,6.471430000000001
CID044525947,6.5
CID044525954,6.528569999999999
CID006539613,6.528569999999999
CID021078798,6.54286
CID044525927,6.5571399999999995
CID044529831,6.61429
CID022049997,6.63714
CID010267580,6.642860000000001
CID044525931,6.657139999999999
CID053466951,6.68571
CID006539523,6.7
CID000129723,6.714289999999999
CID025190914,6.714289999999999
CID044526685,6.74286
CID010186009,6.8
CID044526068,6.8
CID044525923,6.857139999999999
CID045270417,6.88571
CID044525963,6.9
CID005330286,6.9428600000000005
CID005329481,6.957139999999999
CID006539512,6.957139999999999
CID060150509,6.962860000000001
CID044525958,6.971430000000001
CID044526069,7.028569999999999
CID010158539,7.07143
CID044532531,7.2
CID070685440,7.2
CID044525949,7.24286
CID051357696,7.25714
CID057396627,7.32857
CID044525945,7.38571
CID045480848,7.38571
CID006539465,7.414289999999999
CID044525973,7.4428600000000005
CID044532450,7.537139999999999
CID053466728,7.542860000000001
CID053467178,7.542860000000001
CID000005228,7.585710000000001
CID053469453,7.6
CID006539602,7.61429
CID044525940,7.714289999999999
CID009865518,7.81429
CID000069689,7.817139999999999
CID015521230,7.82857
CID000667570,7.857139999999999
CID018536646,7.87143
CID010161259,7.87143
CID057403579,7.914289999999999
CID044529385,7.9428600000000005
CID044529229,8.02857
CID070685442,8.037139999999999
CID000447966,8.18571
CID009901062,8.212860000000001
CID044536075,8.22857
CID044305879,8.27143
CID022112846,8.27143
CID006539506,8.3
CID066561013,8.32857
CID053469449,8.34286
CID044305647,8.35857
CID010639924,8.385710000000001
CID011133737,8.385710000000001
CID009914412,8.41429
CID044525962,8.42857
CID000253268,8.442860000000001
CID002409198,8.457139999999999
CID011558948,8.457139999999999
CID010595057,8.5
CID045271244,8.557139999999999
CID021027446,8.557139999999999
CID045271243,8.58571
CID044525925,8.6
CID044525922,8.6
CID009836405,8.614289999999999
CID044526072,8.65714
CID044525953,8.68571
CID057401865,8.72857
CID044578709,8.74571
CID023133388,8.77143
CID009926791,8.782860000000001
CID010757558,8.81429
CID025263085,8.84286
CID006539605,8.84286
CID044525941,8.88
CID009923028,8.957139999999999
CID044305594,8.957139999999999
CID057345685,8.957139999999999
CID044525936,8.985710000000001
CID044525952,8.985710000000001
CID044571415,9.042860000000001
CID057394915,9.057139999999999
CID025263079,9.07143
CID006539452,9.1
CID044526075,9.1
CID006539398,9.17143
CID044532433,9.17143
CID066561090,9.17143
CID044397230,9.21857
CID000156422,9.22857
CID009879605,9.28571
CID044529262,9.457139999999999
CID006539528,9.485710000000001
CID044532683,9.514289999999999
CID009925372,9.56
CID045272980,9.57143
CID025263084,9.6
CID044532446,9.614289999999999
CID057391365,9.62857
CID006539509,9.7
CID015838857,9.78571
CID044525939,9.87143
CID044528968,9.885710000000001
CID010028480,9.9
CID044525950,9.942860000000001
CID044525961,9.94571
CID010183216,9.985710000000001
CID000221158,10.0071
CID044336137,10.0714
CID044525920,10.0714
CID006539524,10.0857
CID006539480,10.1
CID009945696,10.1
CID006539486,10.1386
CID044532997,10.1857
CID070691776,10.2857
CID000003134,10.3429
CID025121268,10.3714
CID011057468,10.3714
CID006539481,10.4143
CID044532526,10.4186
CID006539463,10.4243
CID011197671,10.4571
CID006263849,10.4714
CID044527603,10.5
CID051354328,10.5043
CID000838889,10.6143
CID044526078,10.6429
CID009814925,10.6714
CID057398392,10.8143
CID044305551,10.8286
CID006539458,10.8286
CID051354036,10.9857
CID006539588,11.0286
CID025190912,11.0429
CID000000007,11.0714
CID009836050,11.1143
CID053469448,11.1429
CID009958299,11.1857
CID044532445,11.2
CID010621826,11.3143
CID053469634,11.3429
CID006539572,11.3571
CID006539455,11.3571
CID006539504,11.4571
CID051355190,11.4857
CID044527001,11.4957
CID006539579,11.5571
CID044529101,11.5714
CID044328970,11.5714
CID044532690,11.6214
CID009836051,11.6943
CID010186182,11.7714
CID046927672,11.8714
CID044526076,11.9
CID011231979,12.3286
CID022609863,12.3429
CID044336144,12.4286
CID044529279,12.4314
CID000156414,12.4443
CID009880709,12.5714
CID011682470,12.5714
CID000099545,12.5857
CID006539571,12.6571
CID044525956,12.7
CID010452739,12.8143
CID015407403,12.8286
CID044527361,12.8857
CID044269265,12.9143
CID006539606,12.9857
CID044525974,13.0257
CID006538884,13.0343
CID006539591,13.0429
CID044529278,13.0714
CID044532978,13.0786
CID056683489,13.1143
CID051354327,13.1714
CID051356852,13.2486
CID044305910,13.4143
CID006539615,13.6143
CID044305812,13.7
CID006539565,14.0857
CID010287409,14.1
CID009935852,14.2014
CID006539461,14.2843
CID046215816,14.5229
CID010278843,14.6243
CID006539492,14.7914
CID046927597,14.8929
CID011373846,15.0043
CID010151417,15.2171
CID000309461,15.3857
CID071451677,15.6143
CID053317178,15.6971
CID006539507,15.7
CID025263102,15.75
CID044532712,15.7571
CID044525486,16.1
CID006539426,16.7
CID044526922,16.7286
CID044578252,16.7571
CID006539609,16.7714
CID006539473,16.87
CID006539587,17.2714
CID053469824,17.3943
CID006539610,17.7429
CID011224168,18.1729
CID006539470,18.2129
CID044479934,18.6429
CID049862783,18.7186
CID070683338,18.81
CID006539472,19.0714
CID006539516,19.1871
CID044535870,19.2871
CID044306199,19.4714
CID051357954,19.6929
CID006539477,19.7071
CID011626560,19.8357
CID006539467,20.2614
CID015872399,20.6143
CID011427162,20.6229
CID051356854,20.7857
CID051356853,20.9186
CID006539569,21.37
CID000599038,21.5
CID053245731,22.4457
CID011514099,23.0143
CID010358578,23.1429
CID017917696,23.5286
CID009888013,23.7271
CID046215644,23.8043
CID042618144,23.9029
CID045272982,23.9786
CID023648920,24.2614
CID046886665,24.8186
CID022185475,25.935
CID044532639,26.9171
CID049862644,28.0214
CID006539376,28.1586
CID056673950,28.2943
CID009925594,28.6814
CID009903786,28.7343
CID011959683,30.9686
CID006539529,31.3914
CID006539566,31.5386
CID005329841,31.6443
CID006539501,31.9114
CID046215814,33.9243
CID044397192,34.4229
CID044526099,35.0586
CID024803787,40.4286
CID051356289,40.75
CID011495551,40.7714
CID044532720,42.7829
CID024803300,46.9429
CID024802961,50.17
CID044591845,50.3971
CID044591552,51.6571
CID011715767,51.8129
CID010239038,52.1486
CID024804298,52.1886
CID023648887,57.2414
CID024804299,59.1943
CID044592364,60.4143
CID010173796,65.9329
CID024802788,73.1371
CID006450551,informer
CID044529220,informer
CID023648890,informer
CID024804781,informer
CID056670156,informer
CID025263105,informer
CID053467392,informer
CID024803301,informer
CID006539582,informer
CID006539394,informer
CID024804780,informer
CID006539428,informer
CID044592502,informer
CID010310395,informer
CID005311382,informer
CID024803786,informer
