molid,RS
CID070683337,-7.7812
CID053466951,-55.0914
CID044529279,-33.4467
CID002787267,-13.6194
CID000000007,-9.18715
CID044532438,-46.3212
CID025190912,-15.6027
CID011715767,-19.4496
CID009826528,-2.91443
CID009926791,-7.81295
CID006918454,-1.94151
CID025033539,-2.3283
CID005330286,-3.37069
CID011626560,-52.1998
CID017754438,-2.47043
CID022049997,-1.73462
CID006450551,informer
CID010452739,-14.3913
CID023133388,-11.9019
CID044305910,-22.4466
CID010173796,-66.5349
CID000599038,-15.35938
CID000156414,-35.389
CID044526070,-25.1183
CID044578566,-5.76575
CID044529220,informer
CID009836050,-21.1362
CID056673516,-8.3
CID044526073,-25.1229
CID051354036,-14.686
CID019879232,-9.38652
CID045269578,-2.9767
CID044525926,-11.3767
CID066561010,-22.7592
CID010287409,-17.1209
CID006539606,-17.483
CID053322416,-11.6876
CID006539572,-11.5086
CID060150509,-10.1332
CID051355190,-14.6082
CID010086873,-9.59633
CID044578630,-10.3896
CID044525940,-19.1982
CID025121268,-19.3541
CID006539455,-9.29654
CID011427162,-29.7225
CID010161259,-52.5913
CID046215816,-13.6726
CID044526071,-27.1821
CID057394915,-25.1742
CID044525924,-11.1909
CID023648890,informer
CID057396626,-9.81469
CID010639924,-23.995
CID006539571,-22.025
CID024802961,-32.5653
CID044527361,-16.8797
CID051356852,-15.8007
CID009865518,-9.70127
CID044525957,-42.0721
CID044525958,-42.2169
CID044525921,-15.1155
CID022112846,-22.623
CID044578709,-27.7038
CID006539398,-17.1136
CID006539501,-27.7099
CID053469449,-53.051
CID024804781,informer
CID044527657,-14.386
CID006539467,-22.6018
CID045272980,-13.4046
CID044526099,-44.023
CID044532720,-31.4984
CID006539613,-19.8919
CID009958299,-66.1049
CID044525953,-37.3761
CID044532478,-39.3639
CID044525486,-37.3042
CID009945516,-19.885
CID011133737,-15.6158
CID006539498,-19.0156
CID006539465,-10.5972
CID044525974,-26.3058
CID056670156,informer
CID025263108,-17.4343
CID053317178,-12.9992
CID066561090,-45.6772
CID011529890,-13.0314
CID006539426,-19.4221
CID051356855,-10.1398
CID044529278,-51.4797
CID051354327,-23.2788
CID024804298,-38.5641
CID044532690,-49.4947
CID044525951,-26.1698
CID044529262,-48.1452
CID005329826,-0.0
CID051357138,-9.3613
CID011224168,-30.789
CID044279444,-17.9439
CID044525965,-12.7306
CID006539512,-9.52265
CID044525922,-23.108
CID046927672,-65.0927
CID006539475,-5.41558
CID006539458,-15.3458
CID044525942,-20.5031
CID044532477,-42.8724
CID044397393,-10.9578
CID044532737,-13.6102
CID009901062,-15.5946
CID044525967,-20.5017
CID044525964,-12.4003
CID044571415,-18.517
CID051356856,-9.25849
CID044525935,-19.6219
CID044525954,-38.0239
CID044532446,-56.6449
CID071451677,-47.9732
CID044591845,-30.1632
CID044532526,-22.1642
CID044525930,-20.0054
CID044525949,-41.6479
CID044525920,-24.9305
CID044525941,-22.8334
CID044397687,-6.65745
CID005329477,-24.1688
CID009879605,-16.8799
CID009903786,-42.9893
CID053466728,-25.695
CID009935852,-67.6008
CID006539477,-31.3511
CID009880709,-18.8831
CID000069689,-11.2424
CID044525962,-49.3744
CID009836405,-17.9562
CID010358578,-21.248
CID025263079,-11.5714
CID044525963,-11.2994
CID015407403,-26.9796
CID044525936,-25.8782
CID044525952,-38.7738
CID006539519,-9.01105
CID006539416,-10.9566
CID006539591,-20.4991
CID046927597,-66.0596
CID051354901,-12.6524
CID006539566,-27.1398
CID011514099,-21.8182
CID044525932,-16.1155
CID051354328,-11.3034
CID000099545,-18.5955
CID006539507,-14.5115
CID044526068,-36.5174
CID044525931,-14.2149
CID025263105,informer
CID044532683,-42.4527
CID044525948,-37.3358
CID056673950,-16.4876
CID044525956,-43.4325
CID044525923,-18.5812
CID044525961,-16.7078
CID000005228,-18.8507
CID044525934,-13.831
CID053469448,-25.1425
CID053245731,-18.956
CID057401865,-16.1093
CID006539452,-11.3973
CID009861063,-15.4525
CID024949702,-53.5445
CID053467392,informer
CID044328970,-21.4799
CID044528968,-50.3349
CID045270417,-14.1196
CID024803957,-0.0
CID044525945,-23.76
CID070685440,-13.5698
CID045272982,-28.4938
CID045481463,
CID044525955,-44.1765
CID011595752,-12.8192
CID006263849,-16.5106
CID006539550,-14.1548
CID044532432,-26.5888
CID070683338,-20.736
CID006539376,-29.1185
CID006539427,-8.15025
CID044525972,-12.0216
CID017917696,-22.5844
CID057403579,-11.0849
CID024803301,informer
CID010239038,-43.1461
CID006539582,informer
CID044525966,-12.691
CID044526076,-27.9893
CID057398392,-18.9426
CID000227502,-21.4508
CID056680318,-25.3691
CID022185475,-51.8342
CID011057468,-23.444
CID006538884,-15.1565
CID044525968,-15.1542
CID006539525,-9.84234
CID044269265,-15.0764
CID046215644,-20.7943
CID044532102,-25.1193
CID006539509,-9.75498
CID044525929,-18.2937
CID044532450,-27.839
CID018536646,-11.4731
CID017755746,-45.5395
CID006539394,informer
CID011682470,-21.0629
CID018536633,-11.2452
CID044526075,-31.0725
CID044479934,-18.8507
CID011682680,-10.565
CID057403576,-9.18452
CID044527603,-57.2526
CID044525933,-19.4683
CID045271247,-6.0743
CID044525925,-24.7291
CID009925372,-19.5436
CID006539523,-8.1452
CID011594774,-14.3448
CID010286382,-20.6523
CID009925594,-21.7915
CID021027446,-19.4694
CID009914412,-38.2418
CID006539480,-12.3176
CID044525927,-22.5885
CID053469453,-47.0603
CID006539516,-12.1356
CID044536075,-28.3005
CID044328896,-11.746
CID006539578,-19.5741
CID025263084,-21.2791
CID044526069,-30.8448
CID006539565,-25.2109
CID044592364,-34.7954
CID006539486,-14.4023
CID044578252,-19.6835
CID044532639,-43.2533
CID009929101,-10.9272
CID006539472,-16.2266
CID024804780,informer
CID017755233,-35.7155
CID044525939,-18.9125
CID010278843,-60.1716
CID044525959,-15.2922
CID025093464,-14.988
CID006539506,-7.45625
CID044529229,-19.4746
CID006539461,-19.2604
CID000447966,-16.8792
CID044532445,-57.069
CID044433573,-21.9098
CID006539602,-14.5903
CID006539513,-13.6601
CID001489204,-17.0264
CID053467178,-54.3129
CID044529385,-14.3334
CID006539473,-22.0051
CID006539605,-16.8085
CID044305812,-14.0517
CID009923028,-26.8319
CID044525960,-16.7414
CID044525485,-14.4726
CID011231979,-22.32
CID044525970,-13.7949
CID044525937,-15.4154
CID044529831,-35.0937
CID024803300,-36.3168
CID009836051,-13.7652
CID006539610,-21.0135
CID044529101,-48.108
CID011524582,-14.2997
CID010595057,-6.86463
CID009814925,-16.0702
CID044532297,-13.4789
CID051356854,-15.0438
CID044528946,-40.2036
CID006539587,-24.1185
CID010267580,-12.4378
CID044525928,-13.8814
CID044525946,-22.4451
CID057401867,-14.3335
CID010186182,-54.1968
CID044525973,-21.3304
CID044527001,-18.01
CID006539496,-11.5909
CID011373846,-14.2395
CID044306199,-17.6568
CID044529112,-34.016
CID057396627,-9.05943
CID046214650,-8.24239
CID006539504,-12.3083
CID044525944,-19.963
CID049862644,-41.9567
CID049798353,-8.86335
CID011712734,-13.1929
CID002409198,-31.9293
CID000156422,-36.0424
CID057398391,-9.8412
CID044336137,-9.63222
CID006539428,informer
CID044526072,-24.6871
CID005329481,-20.692
CID044532978,-31.8352
CID000253268,-11.9597
CID044525971,-12.6105
CID006539615,-11.0299
CID044305551,-16.5245
CID053469824,-48.5115
CID044305879,-7.69337
CID025190914,-22.7323
CID006539481,-12.8989
CID051356853,-18.8515
CID044525938,-18.6141
CID010186009,-19.4293
CID015872399,-17.6257
CID044532997,-7.34041
CID051356289,-36.1541
CID011793277,-10.1558
CID006539579,-19.8175
CID010028480,-25.0237
CID044526074,-26.763
CID044305647,-9.53212
CID044525947,-36.0763
CID006539569,-24.5434
CID044535870,-30.9278
CID044397192,-24.295
CID044525950,-38.3457
CID044526078,-31.3328
CID044526685,-12.6341
CID006539492,-13.359
CID021078798,-7.09441
CID046215814,-21.143
CID006539524,-7.91914
CID044397011,-16.5184
CID044305594,-11.8626
CID006539529,-28.0353
CID044592502,informer
CID010310395,informer
CID057345685,-22.4859
CID049862783,-65.3726
CID070685442,-14.4302
CID000667570,-12.5866
CID006539609,-20.9812
CID009888013,-27.1755
CID010158539,-7.57873
CID044525943,-14.6912
CID010621826,-15.5997
CID015521230,-6.31576
CID044591552,-41.7094
CID044532480,-44.2416
CID011197671,-17.7524
CID000838889,-37.0457
CID045480848,
CID044529114,-0.0
CID010183216,-60.399
CID070691776,-20.1557
CID024804299,-42.2405
CID009945696,-19.9179
CID057396625,-9.98026
CID044532433,-34.0249
CID015838857,-14.515
CID044526077,-24.126
CID011495551,-29.3097
CID011558948,-17.6669
CID025263100,-16.8057
CID023648887,-34.4646
CID010151417,-75.8094
CID006539588,-19.642
CID006539470,-22.0931
CID044526922,-22.3018
CID044532712,-58.9503
CID005311382,informer
CID046886665,-12.9024
CID023648920,-19.7967
CID042618144,-22.1034
CID006539463,-9.45982
CID024803787,-36.3276
CID006539528,-28.6714
CID024803786,informer
CID011633551,-13.1305
CID044397230,-17.8725
CID010135552,-16.5177
CID045271244,-7.96203
CID045271243,-7.309
CID056683489,-53.7275
CID010757558,
CID044532531,-42.2922
CID000129723,-13.9208
CID005329841,-79.9032
CID051357954,-28.8795
CID066561013,-44.1462
CID025263085,-12.2993
CID044525969,-14.3947
CID044336144,-12.9498
CID053467617,-25.2746
CID025263102,-28.3335
CID022609863,-22.2722
CID011716589,-25.5838
CID053469634,-62.7913
CID011220119,-9.58442
CID001491157,-5.3258
CID024802788,-45.4114
CID000003134,-8.34041
CID051357696,-11.1532
CID057400063,-13.8555
CID057391365,-7.38216
CID000221158,-8.10031
CID000309461,-20.5719
CID011959683,-70.97562
