molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
CID000000007,,,-0.006266201980347,0.911392405063,382,-0.054500620259465,-9.18715,0.89375,0.9191489361702132
CID000003134,informer,informer,informer,0.9367088607590001,397,-0.039869618802110984,-8.34041,0.978371501272265,0.9162907268170428
CID000005228,,,-0.008815239078099,0.883720930233,325,-0.06991106643425199,-18.8507,0.8727272727272729,0.897354497354497
CID000069689,,,-0.006300686204637999,0.8933333333329999,344,-0.06143181376747603,-11.2424,0.954054054054054,0.8913580246913579
CID000099545,,,-0.005515174379618,0.9,356,-0.05665476498981798,-18.5955,0.87,0.9518987341772148
CID000129723,,,-0.008264292914426001,0.860465116279,235,-0.07885284742384199,-13.9208,0.977748691099476,0.970769230769231
CID000156414,,,-0.008272048170608998,0.836363636364,153,-0.101159081183957,-35.389,0.907608695652174,0.924
CID000156422,,,-0.008170942982471001,0.8518518518520001,209,-0.09300100964810795,-36.0424,0.973270440251572,0.966272189349112
CID000221158,,,-0.004197312635788,0.9078947368420001,375,-0.05283734229189097,-8.10031,0.978589420654912,0.9714285714285708
CID000227502,,,-0.006175181783378002,0.928571428571,395,-0.04689687071539103,-21.4508,0.962719298245614,0.904273504273504
CID000253268,,,-0.0059566869858929975,0.8974358974359999,351,-0.05960119505131403,-11.9597,0.973846153846154,0.9111111111111108
CID000309461,,,-0.006640174379622001,0.886075949367,332,-0.06556796835817902,-20.5719,0.978643216080402,0.916666666666667
CID000447966,,,-0.006462244320486997,0.8780487804880001,304,-0.07082603865930598,-16.8792,0.9690909090909092,0.9622516556291392
CID000599038,,,-0.006562002375691997,0.855421686747,214,-0.08025535359192698,-15.35938,0.830769230769231,0.8222222222222221
CID000667570,,,-0.008218936259057,0.911392405063,383,-0.053278451087867995,-12.5866,0.9756446991404008,0.968508287292818
CID000838889,,,-0.006399376790674,0.9069767441859999,374,-0.05917174006329101,-37.0457,0.976256983240223,0.913960113960114
CID001489204,,,-0.006246152313292001,0.929292929293,396,-0.04381242959191398,-17.0264,0.969642857142857,0.962622950819672
CID001491157,,,-0.008339826839834,0.9157894736839999,390,-0.05133492130247605,-5.3258,0.9782608695652172,0.9712846347607048
CID002409198,,,-0.006421347031958997,0.8505747126440001,207,-0.08397018194766595,-31.9293,0.973186119873817,0.9661721068249258
CID002787267,,,-0.007143715544612998,0.820512820513,117,-0.094223971516233,-13.6194,0.892405063291139,0.9185714285714291
CID005311382,,,-0.007579120879114996,informer,informer,informer,informer,informer,informer
CID005329477,,,-0.007193325337016,0.824561403509,124,-0.10111035941339203,-24.1688,0.9525139664804472,0.948878923766816
CID005329481,,,-0.006861653116528999,0.8777777777779999,302,-0.07722741665732705,-20.692,0.9736842105263158,0.966763848396501
CID005329826,,,-0.005437996059683002,informer,informer,informer,-0.0,informer,informer
CID005329841,,,-0.006647816609499999,informer,informer,informer,-79.9032,informer,0.915485564304462
CID005330286,,,-0.006085528262782001,0.8252427184469999,126,-0.10022833949493204,-3.37069,0.8988095238095241,0.920833333333333
CID006263849,,,-0.005365693899044001,0.915662650602,389,-0.04983791844756799,-16.5106,0.960829493087558,0.9004830917874399
CID006450551,,,-0.0063726431338739994,0.878787878788,307,-0.07027558125462599,informer,0.9034090909090908,0.921917808219178
CID006538884,,,-0.006489010989006996,0.8987341772149999,353,-0.05630673328189403,-15.1565,0.8790697674418599,0.905349794238683
CID006539376,,,-0.005301883674810997,0.405797101449,0,-0.29443127859584595,-29.1185,0.961363636363636,0.955984555984556
CID006539394,,,-0.004594866139535997,0.513888888889,1,-0.259364863292623,informer,0.964435146443515,0.957620817843866
CID006539398,,,-0.006209615384601999,0.569620253165,3,-0.24118221218455999,-17.1136,0.933070866141732,0.935593220338983
CID006539416,,,-0.006621202327085999,0.5875,4,-0.21220072456731298,-10.9566,0.9554973821989532,0.951072961373391
CID006539426,,,-0.006543593073597999,0.6125,5,-0.20588839395556896,-19.4221,0.941379310344828,0.941538461538462
CID006539427,,,-0.006158081264868996,0.5375,2,-0.23419559069772702,-8.15025,0.961538461538462,0.901408450704225
CID006539428,,,-0.006608985199632997,0.623529411765,6,-0.206108835395207,informer,0.973520249221184,0.966568914956012
CID006539452,,,-0.006032776534519997,0.90243902439,363,-0.06072446903128299,-11.3973,0.8742857142857142,0.898461538461538
CID006539455,,,-0.005996422982334001,0.915662650602,388,-0.052366027501255984,-9.29654,0.922018348623853,0.9300613496932508
CID006539458,,,-0.0072267639077460005,0.8823529411759999,319,-0.06845805432624104,-15.3458,0.860869565217391,0.8358974358974358
CID006539461,,,-0.006468698403964002,0.876404494382,297,-0.07235716460038102,-19.2604,0.9689781021897808,0.962126245847176
CID006539463,,,-0.007391544117658,0.8928571428569999,343,-0.06173647478926603,-9.45982,0.9772727272727272,0.9152
CID006539465,,,-0.007744794780499002,0.879518072289,314,-0.06834806173465298,-10.5972,0.9392857142857142,0.94
CID006539467,,,-0.007278225035827,0.863636363636,249,-0.08057643208752599,-22.6018,0.934615384615385,0.936666666666667
CID006539470,,,-0.007278225035827,0.863636363636,251,-0.07964733933012298,-22.0931,0.9769647696476972,0.969920844327177
CID006539472,informer,informer,informer,0.883720930233,326,-0.06745229905030399,-16.2266,0.881632653061225,0.908148148148148
CID006539473,,,-0.008167997523177999,0.862068965517,242,-0.08153162219394401,-22.0051,0.8,0.846666666666667
CID006539475,,,-0.007153477896515002,0.9176470588240001,391,-0.05278908387737696,-5.41558,0.946540880503145,0.9446601941747572
CID006539477,,,-0.0064924192485160005,0.8681318681319999,261,-0.07786610127099002,-31.3511,0.9535519125683058,0.949557522123894
CID006539480,,,-0.0068862605953290005,0.896551724138,350,-0.060313573654551006,-12.3176,0.966666666666667,0.959717314487633
CID006539481,,,-0.007046655281420002,0.9069767441859999,373,-0.05455681450594303,-12.8989,0.974242424242424,0.9671469740634008
CID006539486,,,-0.007319534050173998,0.891304347826,340,-0.066669154774877,-14.4023,0.96780303030303,0.9609589041095892
CID006539492,,,-0.00800664689894,0.863636363636,250,-0.07769378544833298,-13.359,0.8852459016393441,0.912912912912913
CID006539496,,,-0.008088391680773997,0.875,292,-0.070548227261716,-11.5909,0.972491909385113,0.9655589123867072
CID006539498,,,-0.007232391304359003,0.872093023256,273,-0.07228216153529199,-19.0156,0.9388489208633092,0.93968253968254
CID006539501,,,-0.007410201846341001,0.8602150537630001,230,-0.08236533243448996,-27.7099,0.85,informer
CID006539504,,,-0.0061793088513339995,0.872093023256,274,-0.076879330215216,-12.3083,0.9728434504792328,0.9108910891089108
CID006539506,,,-0.0070244196379559976,0.862068965517,241,-0.07842007512730802,-7.45625,0.882,0.908424908424908
CID006539507,,,-0.0063574824774330005,0.865168539326,254,-0.08022442047422199,-14.5115,0.9570707070707072,0.952100840336134
CID006539509,,,-0.005820271682354002,0.8953488372089999,347,-0.06367220067222704,-9.75498,0.963675213675214,0.956981132075472
CID006539512,,,-0.005294140135863998,0.939759036145,398,-0.03973789340922,-9.52265,0.94551282051282,0.9441176470588242
CID006539513,,,-0.006198376611183002,0.922222222222,392,-0.04997442103806299,-13.6601,0.9695340501792108,0.909219858156028
CID006539516,,,-0.008167881116407,0.873563218391,282,-0.07110533821480497,-12.1356,0.966926070038911,0.96
CID006539519,,,-0.008890665403413999,0.865168539326,253,-0.07231125423274999,-9.01105,0.9552631578947371,0.9508620689655172
CID006539523,,,-0.006181969919792,0.855263157895,213,-0.08281370620083002,-8.1452,0.965863453815261,0.9591397849462372
CID006539524,,,-0.007533176330698997,0.8352941176469999,151,-0.09257959773400004,-7.91914,0.9752906976744192,0.968067226890756
CID006539525,,,-0.007438422566321002,0.869047619048,265,-0.07558961498016101,-9.84234,0.879545454545455,0.8431372549019609
CID006539528,,,-0.006958427165088999,0.871794871795,272,-0.07152771887963899,-28.6714,0.9773936170212768,0.9703125
CID006539529,,,-0.0073255596158539995,0.886075949367,331,-0.06513711641739803,-28.0353,0.9754335260115607,0.9682451253481892
CID006539550,,,-0.008742310528826997,0.833333333333,144,-0.097240906974454,-14.1548,0.961009174311927,0.955642023346304
CID006539565,,,-0.006373748473745999,0.873563218391,283,-0.072665107880594,-25.2109,0.9675572519083968,0.960689655172414
CID006539566,,,-0.007493972693966998,0.887640449438,334,-0.065453905621979,-27.1398,0.9561855670103092,0.951489361702128
