molid,ABL1,ABL1_E255K,ABL1_H396P,ABL1_M351T,ABL1_Q252H,ABL1_T315I,ABL1_Y253F,AKT1,AKT2,AKT3,ALK,AMPKA1_A1B1G1,AMPKA2_A2B1G1,ARG,ARK5,Aurora.A,Aurora.B,Aurora.C,AXL,BLK,BMX,BRAF,BRAF_V599E,BRK,BRSK1,BRSK2,BTK,CAMK1D,CAMK2A,CAMK2D,CAMK4,CDK1_cyclinB,CDK2_cyclinA,CDK2_cyclinE,CDK3_cyclinE,CDK4_cyclinD,CDK5_p35,CDK6_cyclinD3,CHEK1,CHEK2,CK1a,CK1.g1,CK1.g2,CK1.g3,CK2,CLK2,CLK3,CRAF,CSK,DAPK1,DCAMKL2,DDR2,DYRK1A,DYRK1B,DYRK2,EGFR,EGFR_L858R,EGFR_L861Q,EGFR_T790M,EGFR_T790M.L858R,EPHA2,EPHA3,EPHA4,EPHB2,EPHB3,EPHB4,ERBB2,ERBB4,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FLT3_D835Y,FLT4,FMS,FYN,GRK6,GRK7,GSK3A,GSK3B,HCK,HIPK1,HIPK4,IGF1R,IKKA,IKKB,IKKE,INSR,IRAK4,IRR,ITK,JAK1,JAK2,JAK3,JNK2,KDR,KIT,KIT_D816V,KIT_T6701,KIT_V560G,LCK,LOK,LRRK2,LRRK2_G2019S,LTK,LYNA,LYNB,MAP4K2,MAP4K4,MAPK1,MAPK3,MAPKAPK2,MAPKAPK3,MARK1,MARK3,MARK4,MEK1,MELK,MER,MET,MINK,MKNK1,MNK2,MRCKA,MRCKB,MSK1,MSK2,MSSK1,MST1,MST2,MST4,MUSK,NEK1,NEK2,NEK6,NEK7,NEK9,P38alpha,P38beta,P38delta,P38gamma,p70s6K1,PAK1,PAK2,PAK3,PAK5,PAK6,PAR.1Balpha,PASK,PDGFRA,PDGFRA_D842V,PDGFRA_T674I,PDGFRA_V561D,PDGFRB,PDK1,PHKG1,PHKG2,PI3K.alpha,PI3K.delta,PI4K.beta,PIM1,PIM2,PIM3,PKA,PKC.alpha,PKC.beta1,PKC.beta2,PKC.eta,PKC.gamma,PKC.iota,PKC.theta,PLK1,PRAK,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PRKX,PTK5,PYK2,RET,RET_V804L,RET_Y791F,ROCK1,ROCK2,RON,ROS,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3,SNF1LK2_QIK,SNF1LK_SIK,SPHK1,SPHK2,SRC,SRMS,SRPK1,SYK,TBK1,TEC,TIE2,TNK1,TNK2,TRKA,TRKB,TRKC,TSSK1,TSSK2,TTK,TXK,TYK2,TYRO3,YES,ZAP70
10113568,223,223,223,223,223,74,223,,,,206,206,,223,206,285,261,285,206,223,298,,,298,136,136,223,206,206,206,206,261,120,120,121,261,121,121,206,206,272,206,271,272,272,271,261,,223,206,,27,271,271,271,185,185,185,206,206,298,223,298,298,223,298,121,240,272,272,223,,,223,223,223,284,284,223,261,223,,,221,221,298,271,271,272,261,23,,272,,206,,,261,261,272,223,164,223,285,284,223,136,206,,286,298,298,261,,,,,218,206,206,206,261,272,,,,,,,,,,,128,128,,,,,,,136,218,,,,,,,,206,,206,,,239,,223,,,206,206,,,,206,,,,261,,,,,,,182,,272,308,272,272,,,223,272,223,,223,,206,,272,206,206,206,206,,,,,236,,,276,223,,272,,223,223,206,206,,,64,206,206,206,223,261,,223,
10125875,255,255,255,255,255,329,255,,,,323,323,,255,323,22,11,22,323,255,322,,,322,313,313,255,323,323,323,323,11,23,23,22,11,22,22,323,323,23,323,22,23,23,22,11,,255,323,,302,22,22,22,306,306,306,323,323,322,255,322,322,255,322,258,323,23,23,255,,,255,255,255,23,23,255,11,255,,,22,22,322,22,22,23,11,331,,23,,323,,,11,11,23,255,33,255,22,23,255,313,323,,309,322,322,11,,,,,122,323,323,323,11,23,,,,,,,,,,,182,182,,,,,,,313,122,,,,,,,,323,,323,,,306,,255,,,323,323,,,,323,,,,11,,,,,,,330,,23,32,23,23,,,255,23,255,,255,,323,,23,323,323,323,323,,,,,290,,,287,255,,23,,255,255,323,323,,,97,323,323,323,255,11,,255,
10133732,224,224,224,224,224,75,224,,,,103,103,,224,103,116,71,116,103,224,300,,,300,311,311,224,103,103,103,103,71,141,141,140,71,140,140,103,103,125,103,124,125,125,124,71,,224,103,,278,124,124,124,288,288,288,103,103,300,224,300,300,224,300,329,220,125,125,224,,,224,224,224,117,117,224,71,224,,,130,130,300,124,124,125,71,78,,125,,103,,,71,71,125,224,174,224,116,117,224,311,103,,178,300,300,71,,,,,24,103,103,103,71,125,,,,,,,,,,,342,342,,,,,,,311,24,,,,,,,,103,,103,,,290,,224,,,103,103,,,,103,,,,71,,,,,,,143,,125,152,125,125,,,224,125,224,,224,,103,,125,103,103,103,103,,,,,334,,,278,224,,125,,224,224,103,103,,,302,103,103,103,224,71,,224,
10158653,98,98,98,98,98,196,98,,,,158,158,,98,158,171,140,171,158,98,65,,,65,115,115,98,158,158,158,158,140,245,245,244,140,244,244,158,158,215,158,216,215,215,216,140,,98,158,,172,216,216,216,158,158,158,158,158,65,98,65,65,98,65,109,212,215,215,98,,,98,98,98,170,170,98,140,98,,,232,232,65,216,216,215,140,52,,215,,158,,,140,140,215,98,247,98,171,170,98,115,158,,171,65,65,140,,,,,204,158,158,158,140,215,,,,,,,,,,,207,207,,,,,,,115,204,,,,,,,,158,,158,,,174,,98,,,158,158,,,,158,,,,140,,,,,,,156,,215,82,215,215,,,98,215,98,,98,,158,,215,158,158,158,158,,,,,34,,,152,98,,215,,98,98,158,158,,,184,158,158,158,98,140,,98,
10160775,266,266,266,266,266,76,266,,,,207,207,,266,207,142,88,142,207,266,175,,,175,170,170,266,207,207,207,207,88,175,175,174,88,174,174,207,207,155,207,154,155,155,154,88,,266,207,,21,154,154,154,129,129,129,207,207,175,266,175,175,266,175,78,177,155,155,266,,,266,266,266,143,143,266,88,266,,,160,160,175,154,154,155,88,205,,155,,207,,,88,88,155,266,213,266,142,143,266,170,207,,288,175,175,88,,,,,177,207,207,207,88,155,,,,,,,,,,,228,228,,,,,,,170,177,,,,,,,,207,,207,,,269,,266,,,207,207,,,,207,,,,88,,,,,,,226,,155,173,155,155,,,266,155,266,,266,,207,,155,207,207,207,207,,,,,100,,,267,266,,155,,266,266,207,207,,,136,207,207,207,266,88,,266,
10171618,162,162,162,162,162,116,162,,,,249,249,,162,249,46,23,46,249,162,240,,,240,261,261,162,249,249,249,249,23,47,47,46,23,46,46,249,249,47,249,46,47,47,46,23,,162,249,,234,46,46,46,234,234,234,249,249,240,162,240,240,162,240,335,275,47,47,162,,,162,162,162,47,47,162,23,162,,,46,46,240,46,46,47,23,299,,47,,249,,,23,23,47,162,69,162,46,47,162,261,249,,241,240,240,23,,,,,58,249,249,249,23,47,,,,,,,,,,,331,331,,,,,,,261,58,,,,,,,,249,,249,,,248,,162,,,249,249,,,,249,,,,23,,,,,,,285,,47,59,47,47,,,162,47,162,,162,,249,,47,249,249,249,249,,,,,298,,,230,162,,47,,162,162,249,249,,,347,249,249,249,162,23,,162,
10173796,202,202,202,202,202,238,202,,,,91,91,,202,91,12,6,12,91,202,284,,,284,122,122,202,91,91,91,91,6,13,13,12,6,12,12,91,91,13,91,12,13,13,12,6,,202,91,,217,12,12,12,268,268,268,91,91,284,202,284,284,202,284,221,196,13,13,202,,,202,202,202,13,13,202,6,202,,,12,12,284,12,12,13,6,303,,13,,91,,,6,6,13,202,18,202,12,13,202,122,91,,158,284,284,6,,,,,95,91,91,91,6,13,,,,,,,,,,,217,217,,,,,,,122,95,,,,,,,,91,,91,,,221,,202,,,91,91,,,,91,,,,6,,,,,,,127,,13,20,13,13,,,202,13,202,,202,,91,,13,91,91,91,91,,,,,214,,,215,202,,13,,202,202,91,91,,,224,91,91,91,202,6,,202,
10193464,247,247,247,247,247,187,247,,,,226,226,,247,226,48,24,48,226,247,312,,,312,336,336,247,226,226,226,226,24,49,49,48,24,48,48,226,226,49,226,48,49,49,48,24,,247,226,,294,48,48,48,298,298,298,226,226,312,247,312,312,247,312,348,311,49,49,247,,,247,247,247,49,49,247,24,247,,,48,48,312,48,48,49,24,315,,49,,226,,,24,24,49,247,72,247,48,49,247,336,226,,300,312,312,24,,,,,65,226,226,226,24,49,,,,,,,,,,,330,330,,,,,,,336,65,,,,,,,,226,,226,,,300,,247,,,226,226,,,,226,,,,24,,,,,,,271,,49,62,49,49,,,247,49,247,,247,,226,,49,226,226,226,226,,,,,329,,,294,247,,49,,247,247,226,226,,,287,226,226,226,247,24,,247,
10193482,191,191,191,191,191,320,191,,,,283,283,,191,283,24,12,24,283,191,270,,,270,325,325,191,283,283,283,283,12,25,25,24,12,24,24,283,283,25,283,24,25,25,24,12,,191,283,,258,24,24,24,262,262,262,283,283,270,191,270,270,191,270,291,290,25,25,191,,,191,191,191,25,25,191,12,191,,,24,24,270,24,24,25,12,339,,25,,283,,,12,12,25,191,36,191,24,25,191,325,283,,267,270,270,12,,,,,91,283,283,283,12,25,,,,,,,,,,,332,332,,,,,,,325,91,,,,,,,,283,,283,,,276,,191,,,283,283,,,,283,,,,12,,,,,,,311,,25,35,25,25,,,191,25,191,,191,,283,,25,283,283,283,283,,,,,273,,,249,191,,25,,191,191,283,283,,,288,283,283,283,191,12,,191,
10200651,63,63,63,63,63,96,63,,,,289,289,,63,289,199,202,199,289,63,25,,,25,279,279,63,289,289,289,289,202,286,286,287,202,287,287,289,289,259,289,260,259,259,260,202,,63,289,,107,260,260,260,104,104,104,289,289,25,63,25,25,63,25,185,143,259,259,63,,,63,63,63,200,200,63,202,63,,,169,169,25,260,260,259,202,32,,259,,289,,,202,202,259,63,268,63,199,200,63,279,289,,113,25,25,202,,,,,309,289,289,289,202,259,,,,,,,,,,,272,272,,,,,,,279,309,,,,,,,,289,,289,,,118,,63,,,289,289,,,,289,,,,202,,,,,,,306,,259,259,259,259,,,63,259,63,,63,,289,,259,289,289,289,289,,,,,13,,,106,63,,259,,63,63,289,289,,,185,289,289,289,63,202,,63,
