38,43,35,6,35,6,43,71,8,8,67,9,8,6,6,79,43,35,43,9,6,6,8,2,43,61,2,67,45,6,8,59,9,55,22,43,6,4,45,43,19,8,9,79,79,43,8,8,35,6,22,71,45,43,9,9,19,43,8,7,43,45,9,43,59,6,43,6,6,8,43,52,9,6,19,22,2,43,9,8,22,19,71,35,8,35,9,45,35,6,9,6,43,22,9,35,43,35,43,55,45,9,6,61,43,43,22,9,8,43,8,43,43,8,43,61,59,67,43,9,22,22,35,3,43,9,43,9,43,45,9,2,35,72,55,43,43,9,35,6,22,43,43,6,59,6,43,9,2,8,9,9,9,6,2,43,43,6,43,9,45,9,8,43,45,43,8,29,35,8,55,32,8,32,8,61,6,45,9,9,43,35,43,14,35,9,9,2,45,7,43,43,43,43,6,9,3,19,9,45,43,43,45,22,19,43,43,45,6,2,43,43,43,43,43,8,7,9,43,8,43,45,9,55
43,71,38,45,61,45,71,72,9,9,71,35,45,9,71,82,67,45,61,45,45,45,9,35,71,71,43,71,55,45,9,70,45,71,43,52,45,9,71,61,35,9,19,90,90,61,9,9,38,52,35,93,61,67,45,35,22,48,9,43,59,71,35,61,71,71,55,32,33,9,61,67,45,29,22,35,55,59,45,9,35,43,72,45,9,52,45,49,71,67,35,28,61,35,45,45,71,79,55,80,55,45,44,71,71,61,43,45,9,71,9,61,71,9,61,79,61,71,82,45,35,35,66,9,71,45,61,45,71,71,45,19,38,187,59,71,61,45,45,45,35,55,49,45,79,45,55,45,22,9,35,45,45,71,79,45,59,45,71,45,47,45,9,49,49,59,9,43,72,9,59,43,9,44,9,72,45,47,45,35,59,43,49,43,38,45,45,35,72,9,55,61,61,61,45,35,43,35,45,79,59,61,79,43,22,71,44,109,45,19,61,55,53,61,61,9,9,35,61,22,71,72,45,71
67,104,67,71,109,47,72,79,43,45,79,45,49,44,93,116,71,72,71,59,61,79,35,71,95,72,59,79,59,47,35,71,52,79,71,71,47,45,106,71,45,35,36,116,93,71,44,45,43,67,43,104,67,71,59,45,43,72,35,61,61,72,44,71,79,79,59,45,43,43,71,137,79,52,35,45,66,61,71,35,38,71,98,61,35,55,70,71,79,137,43,72,71,43,61,59,72,83,59,95,71,71,45,137,72,71,110,61,35,104,44,71,98,19,71,102,71,72,137,49,43,45,71,35,72,52,67,110,86,79,59,52,67,198,61,104,71,71,71,61,43,188,71,79,116,71,66,61,37,43,44,61,71,83,104,55,61,47,104,59,71,67,45,52,71,71,45,71,79,44,80,61,35,45,35,125,67,49,59,43,61,61,61,71,45,71,67,193,79,19,59,71,71,71,61,45,61,72,74,90,61,71,83,61,35,95,45,161,79,22,71,59,71,71,67,45,35,43,71,35,98,93,59,79
71,109,70,72,137,67,98,90,44,90,116,59,90,45,109,125,72,197,72,67,67,90,43,93,110,93,61,82,90,67,45,72,59,93,161,106,71,55,161,107,71,38,38,137,116,72,45,59,71,80,71,109,71,72,71,67,71,93,44,71,71,79,45,100,82,90,61,79,71,44,104,140,90,116,43,49,71,71,72,45,79,72,117,63,45,84,72,79,90,140,61,79,72,49,63,71,100,116,61,101,79,79,52,191,104,206,192,67,45,107,45,72,100,22,110,116,74,93,161,59,61,49,104,45,104,79,71,117,188,90,67,74,70,201,71,137,106,72,72,71,71,189,82,90,125,72,72,71,43,45,45,71,72,93,187,71,71,67,137,61,79,71,79,61,79,104,55,82,84,45,93,191,45,82,45,137,71,59,79,44,71,67,71,75,61,117,71,201,90,35,61,72,72,72,71,55,82,79,79,93,71,90,90,71,43,104,61,197,90,43,100,71,72,90,71,90,44,45,82,45,100,104,67,116
72,187,72,79,192,70,100,100,45,161,161,67,153,71,197,161,93,198,98,71,70,91,45,158,189,109,71,116,117,71,90,98,71,116,192,110,79,71,201,137,100,45,45,191,117,98,90,90,117,189,72,187,79,104,79,71,191,117,45,79,137,90,90,117,116,95,71,90,82,45,137,151,137,140,50,71,80,78,79,90,116,201,124,67,71,100,79,90,95,191,71,83,110,71,71,79,137,140,71,102,90,90,71,203,137,220,201,71,90,137,72,93,104,35,189,137,93,104,216,71,71,71,189,71,109,154,104,187,190,137,71,89,72,216,77,154,110,90,79,79,78,197,124,91,197,79,110,79,71,90,71,79,74,110,189,79,137,71,151,67,82,124,83,71,90,137,59,93,116,67,101,216,90,90,47,187,79,79,90,45,74,71,86,82,67,137,137,203,100,44,71,79,137,82,79,71,109,83,84,117,72,190,109,161,67,137,79,201,93,71,117,72,90,110,86,117,45,59,137,72,104,132,71,124
137,197,95,90,197,71,104,116,90,216,175,71,161,79,216,189,104,201,124,93,71,191,78,189,190,137,187,137,137,79,110,99,109,117,201,117,90,137,206,188,137,79,71,197,197,100,137,216,193,191,90,206,116,197,197,191,197,193,59,103,197,117,161,124,137,116,93,91,137,90,206,191,161,191,71,79,137,137,90,110,117,204,137,79,79,117,90,137,110,192,72,100,187,90,79,80,198,216,106,103,106,91,79,206,191,268,220,79,198,192,79,201,137,45,192,161,110,109,220,79,124,79,198,77,137,206,154,189,192,191,79,137,95,220,93,188,188,191,90,80,201,201,216,137,216,90,197,137,110,158,124,90,79,201,190,90,191,79,191,70,90,137,90,137,161,197,90,104,117,79,102,220,201,125,161,191,90,90,117,79,137,79,106,93,79,188,191,216,117,45,157,90,203,161,90,117,206,84,91,161,137,198,110,201,71,140,90,206,109,72,137,137,98,117,93,137,71,61,191,90,137,161,79,137
191,206,98,100,206,79,137,122,117,220,190,79,180,90,220,190,109,225,137,191,72,206,90,201,192,157,206,191,180,90,158,100,205,204,216,201,93,191,216,197,203,90,101,198,201,124,161,220,201,215,110,220,161,203,227,197,213,201,61,140,206,137,189,137,197,137,106,191,189,137,210,206,192,197,83,90,197,197,93,117,124,216,198,90,90,137,98,161,201,206,79,116,201,195,90,90,201,226,137,124,117,109,90,215,197,283,255,90,205,197,90,204,206,90,201,197,197,206,255,86,137,86,201,79,203,211,191,201,206,197,109,187,98,255,110,189,201,197,151,90,204,206,225,197,225,91,198,191,117,161,137,93,90,204,192,117,197,90,192,71,117,191,198,216,197,206,192,181,124,90,124,225,216,187,191,206,91,117,161,90,191,86,110,110,90,191,197,249,137,55,192,161,206,197,91,137,283,116,106,201,197,206,137,216,84,187,116,216,137,198,201,162,104,158,201,189,72,71,206,93,186,189,154,198
192,269,105,137,211,90,198,125,137,242,192,109,198,116,269,192,197,259,198,197,79,216,93,204,201,197,216,197,189,140,201,137,268,207,255,233,110,197,225,205,206,140,137,213,204,137,225,225,206,258,201,269,191,206,248,220,216,283,67,191,213,216,196,206,203,216,201,206,198,161,220,255,197,220,188,191,198,203,197,198,205,225,206,95,137,189,100,208,205,291,189,137,206,210,91,92,206,250,158,140,137,197,91,220,206,286,259,154,216,206,100,216,283,124,215,203,201,220,259,161,198,90,225,90,206,220,206,216,227,216,197,188,105,259,201,190,206,213,197,99,216,259,242,206,259,137,201,197,201,201,189,154,93,216,255,197,213,95,197,79,137,197,216,225,201,213,198,188,197,137,161,259,220,206,216,215,93,161,206,116,197,101,201,158,91,197,198,259,191,59,203,201,215,216,203,203,289,117,110,204,206,215,161,225,222,206,161,220,197,213,216,197,137,201,204,201,93,79,220,137,198,204,191,201
197,283,140,161,215,161,201,197,191,255,208,197,204,137,283,204,220,294,201,220,90,248,216,206,215,206,259,220,192,216,216,161,292,233,259,269,161,206,227,206,216,161,191,216,233,201,255,255,259,286,205,283,197,210,258,291,220,288,75,205,220,220,198,283,220,225,206,216,216,201,268,291,201,227,197,195,216,206,201,201,216,259,216,140,201,211,124,216,216,295,197,190,220,216,161,95,211,258,213,183,197,220,137,268,220,291,283,197,225,211,117,220,286,201,227,220,283,269,283,192,216,137,259,110,210,258,220,225,259,220,213,203,111,283,206,192,273,220,201,161,220,283,259,213,289,191,220,205,227,204,191,205,201,220,259,198,220,210,206,90,216,220,278,259,216,220,201,201,201,161,183,283,255,216,220,220,137,216,220,137,213,103,216,201,95,220,213,278,197,71,215,204,228,225,210,259,291,201,201,216,220,220,191,259,265,210,201,225,216,216,225,211,198,216,206,216,191,90,283,201,283,225,197,216
213,291,192,201,220,191,283,201,216,259,227,213,216,216,293,208,269,296,206,269,91,259,225,216,283,213,278,259,197,291,225,198,295,291,265,283,201,220,259,220,258,216,197,220,291,206,259,259,283,288,216,291,215,220,293,295,225,291,79,215,259,225,204,291,268,233,213,259,259,216,283,295,216,288,216,258,240,210,204,216,220,283,225,215,204,216,137,225,220,296,204,197,291,220,191,140,242,259,248,203,216,259,203,283,283,292,292,206,255,213,137,225,291,205,258,291,291,283,292,197,255,191,288,197,220,259,259,259,283,259,220,207,140,292,233,213,291,255,204,216,225,291,283,216,292,216,225,220,269,216,197,215,204,225,283,201,259,216,220,161,286,291,292,278,220,269,203,206,220,197,196,292,259,220,259,283,191,225,268,188,220,140,233,206,101,286,220,283,201,79,227,206,268,242,216,291,292,211,207,225,283,283,216,283,283,283,215,259,291,220,259,269,201,225,283,255,197,92,286,225,291,227,213,225
220,292,215,206,283,216,288,225,291,294,248,293,259,259,310,215,283,305,288,291,216,292,242,259,292,269,283,291,198,295,259,201,296,295,283,291,291,291,283,283,259,222,198,225,292,242,292,292,296,294,220,292,216,283,302,299,259,295,90,242,283,248,277,292,286,291,258,291,283,259,291,296,225,294,225,259,258,220,220,259,259,291,259,248,216,258,197,259,259,301,216,198,292,283,197,190,283,277,259,205,233,293,216,291,291,295,294,220,291,220,201,259,292,216,259,295,292,293,295,213,259,197,293,201,283,291,269,291,291,291,269,213,192,294,283,227,292,291,220,225,283,295,286,291,295,259,282,259,283,225,220,220,207,259,288,216,283,291,283,220,291,295,296,283,225,283,216,233,259,213,210,295,291,283,291,291,216,259,291,197,283,161,283,242,103,291,291,291,216,140,258,215,283,259,220,295,295,216,224,291,291,291,225,293,288,291,220,283,295,225,283,283,206,283,286,259,205,95,291,259,293,259,220,259
288,295,221,216,291,293,291,227,295,296,259,310,291,291,313,227,293,307,292,332,248,295,254,283,313,291,292,295,216,301,292,210,310,310,289,292,295,295,329,289,265,265,291,291,295,292,294,294,299,313,258,295,220,286,328,329,283,299,116,253,292,291,293,295,291,295,283,292,286,291,296,301,242,298,259,293,259,268,259,291,265,295,283,259,222,259,198,291,293,332,220,201,295,292,248,216,286,278,268,210,291,313,291,292,318,296,296,259,294,269,216,283,295,222,283,296,295,296,307,227,283,216,305,220,291,295,283,299,293,299,293,220,224,296,291,259,295,295,259,227,293,307,293,295,296,291,283,291,292,254,291,259,291,283,292,225,293,295,291,259,295,329,307,292,293,291,220,283,291,216,220,296,294,292,292,295,259,291,292,259,291,205,292,291,117,295,295,295,225,197,269,220,291,269,291,310,296,220,291,292,292,292,259,313,291,295,259,292,313,259,292,291,283,292,293,293,220,140,292,292,307,294,259,295
291,296,253,259,292,299,295,259,329,307,283,313,292,295,328,255,313,313,332,337,293,296,293,293,332,313,295,299,259,332,295,283,313,329,293,295,332,313,332,291,291,295,310,324,312,296,299,296,307,324,259,296,259,293,329,332,293,305,196,283,295,295,295,296,295,313,293,295,293,295,332,332,254,301,283,310,269,283,293,292,291,310,292,273,295,292,201,295,313,335,259,208,332,313,259,224,291,293,283,215,295,328,295,295,332,318,299,293,305,283,225,293,296,259,328,329,332,313,310,259,292,259,307,293,296,296,293,305,318,324,310,227,253,305,292,283,301,329,291,259,310,332,313,332,329,295,295,295,295,259,295,263,295,292,296,269,302,296,295,293,299,332,324,295,313,295,254,291,295,220,227,318,299,295,295,329,291,295,295,292,295,242,295,292,140,299,332,305,269,224,283,328,332,283,322,332,313,222,295,295,295,295,292,328,293,318,291,310,324,283,295,295,291,295,328,305,259,190,295,295,313,305,293,307
332,332,273,293,295,313,296,293,332,313,293,328,295,332,335,293,328,324,335,353,328,324,328,299,335,332,313,329,269,335,329,293,332,332,307,332,335,332,335,292,293,299,329,332,332,332,305,305,332,325,283,313,293,328,332,335,310,307,197,288,296,332,305,305,299,332,328,296,328,296,335,335,259,313,292,313,283,292,294,296,292,332,295,288,299,295,259,310,328,337,293,227,335,337,299,258,293,324,293,288,332,329,332,332,335,332,305,324,307,291,291,310,332,265,329,332,335,328,324,293,307,293,313,329,332,332,328,307,328,332,313,258,273,313,332,288,332,332,295,293,313,335,324,335,332,332,299,332,329,293,329,291,310,296,307,332,328,332,332,313,332,335,332,310,328,332,259,295,332,259,278,332,319,296,296,332,295,313,296,295,332,283,310,295,161,332,335,307,295,301,288,329,335,293,332,335,332,259,332,312,302,296,296,335,328,332,332,313,332,293,324,332,293,324,329,307,294,192,332,329,328,307,328,310
335,335,288,324,332,328,332,328,335,332,313,332,332,335,337,307,335,335,337,359,335,332,329,328,343,335,332,332,295,337,332,328,335,335,328,335,337,335,337,296,328,335,332,335,335,335,307,307,335,335,292,332,328,335,335,337,313,332,288,301,332,335,307,332,332,335,329,332,335,332,337,337,292,328,310,328,288,296,328,305,295,343,332,361,332,307,293,313,357,343,299,295,343,343,313,269,328,328,328,296,335,335,335,335,337,335,307,328,332,332,295,328,335,293,332,335,337,335,357,313,332,310,328,337,335,335,335,313,332,335,328,294,296,332,335,293,335,335,332,328,328,343,328,337,335,335,307,335,332,328,332,293,332,332,313,335,335,335,335,328,335,337,335,332,332,335,295,332,343,293,288,335,332,332,359,335,332,332,332,307,335,318,313,332,255,335,337,339,312,329,294,335,337,328,335,343,335,292,337,332,332,332,332,337,335,335,337,332,335,310,332,335,328,332,335,324,329,224,335,332,332,319,335,324
337,359,296,328,335,335,337,329,350,335,332,335,335,343,350,328,337,357,350,365,337,335,362,335,362,337,335,337,357,359,335,335,359,343,335,357,357,343,339,337,332,361,337,337,362,350,313,313,359,357,361,335,335,337,337,359,328,361,359,329,335,343,328,335,343,343,335,335,357,350,343,343,295,357,313,353,332,332,357,332,332,362,339,362,361,319,328,332,362,357,328,296,357,361,357,283,335,335,335,301,343,364,343,343,353,343,332,335,357,337,332,350,362,329,335,343,357,337,359,332,361,328,361,359,337,359,337,319,335,337,335,301,351,357,343,328,362,337,357,337,337,361,335,353,359,343,332,343,335,329,337,328,335,335,332,357,337,337,337,335,343,357,357,350,357,343,296,335,357,328,301,364,335,335,361,343,337,335,335,313,337,329,332,335,259,343,359,357,332,359,301,357,358,335,337,359,359,332,359,335,335,335,335,357,361,343,357,339,364,328,335,343,335,335,362,328,359,324,343,337,335,339,337,335
