19,8,15,43,8,8,6,45,43,8,45,8,45,19,8,38,8,44,8,8,9,8,6,6,43,6,6,6,38,14,43,45,9,9,9,43,43,19,6,19,71,43,9,9,35,43,45,79,45,8,35,9,8,45,8,71,19,43,44,35,8,35,43,6,6,9,72,38,14,35,43,8,79,43,44,9,43,43,6,43,6,45,45,9,19,45,43,35,45,19,45,55,8,35,45,19,19,35,14,8,2,6,19,8,45,6,35,71,49,35,22,61,6,22,43,43,8,43,9,9,43,55,22,35,19,19,8,2,6,6,8,8,3,8,6,35,6,19,15,45,43,43,19,43,9,2,71,71,55,35,6,43,35,71,8,2,6,43,35,19,8,8,6,43,70,8,8,9,8,9,43,44,38,7,35,6,8,52,43,8,8,61,35,39,43,8,35,6,28,43,43,35,45,8,9,45,43,6,6,8,38,19,79,43,19,45,70,8,9,66,2,35,8,43,35,22,61,9,43,8,8,9,35,22
22,9,19,61,35,9,45,59,71,9,67,9,59,22,9,43,9,45,9,9,45,9,44,22,61,45,71,45,49,43,71,72,45,22,45,71,55,22,43,22,74,71,45,45,45,71,71,90,55,9,43,45,9,61,35,79,35,71,45,67,9,43,61,45,51,45,79,45,22,43,52,9,116,61,45,35,67,61,8,71,7,70,47,45,35,79,55,45,55,43,53,79,35,45,79,22,22,71,70,9,43,43,22,9,49,8,72,72,50,43,35,72,45,43,61,71,9,82,45,45,49,59,35,43,45,22,9,22,8,45,9,9,35,9,32,45,43,22,35,71,71,71,35,59,45,6,79,110,59,43,44,71,59,82,9,43,44,67,71,43,9,9,8,61,71,9,35,35,9,59,55,45,55,45,38,44,9,55,61,9,9,71,79,49,47,9,52,43,71,98,49,43,71,9,45,59,61,45,45,9,43,22,93,70,22,79,71,9,45,71,8,43,9,59,45,35,71,45,61,9,22,35,43,45
35,45,28,70,45,35,47,67,72,45,71,22,79,43,45,67,44,61,35,35,52,43,45,45,71,47,72,79,50,71,104,79,55,45,61,137,71,43,71,43,106,93,55,71,124,137,79,100,70,22,61,90,19,71,45,116,43,93,79,84,44,45,71,47,71,52,98,71,38,71,67,35,161,71,79,45,71,71,9,72,45,71,67,55,45,90,61,59,90,61,72,90,45,50,109,43,45,117,71,22,44,71,61,22,72,9,90,90,79,71,43,93,71,59,71,82,35,106,71,59,55,63,43,71,90,43,35,32,9,47,43,44,43,35,45,71,61,35,55,79,110,93,49,61,71,44,90,192,71,71,45,93,79,83,19,59,45,71,82,71,35,35,9,71,72,35,83,82,45,71,72,79,72,82,43,45,45,80,71,44,45,74,83,63,71,35,124,61,83,124,71,93,79,19,55,79,71,47,47,44,61,49,110,71,35,90,100,45,71,117,9,71,44,61,59,49,110,52,71,45,45,45,49,50
79,49,49,71,161,45,67,71,98,90,79,35,90,53,90,71,45,101,45,44,55,44,71,70,72,71,79,82,79,101,110,83,59,49,71,188,124,61,90,49,110,104,59,79,189,188,90,110,71,35,71,137,22,79,93,125,61,110,82,110,45,79,83,52,72,90,99,78,43,188,71,45,197,79,90,67,90,93,28,104,72,72,79,71,71,117,110,79,109,71,79,109,49,70,110,53,49,124,79,35,45,72,71,45,90,34,137,110,116,110,71,122,79,71,72,93,43,109,79,67,71,71,71,86,109,53,90,35,45,67,45,117,59,45,71,79,71,43,79,90,201,109,79,71,117,45,107,197,114,72,71,99,90,90,35,71,61,104,189,72,45,45,44,93,79,44,90,90,90,79,137,117,79,90,55,79,90,90,74,45,90,93,110,71,72,45,137,71,93,137,106,117,104,22,86,90,93,71,71,45,67,79,116,72,45,110,101,55,79,161,19,79,45,67,71,90,117,71,109,72,72,79,71,55
116,90,72,74,197,84,70,116,100,109,90,45,197,83,93,72,90,125,100,45,71,45,72,72,104,79,90,90,116,110,201,90,71,90,79,190,137,71,93,71,158,106,61,90,191,191,95,116,72,43,83,216,35,90,121,137,71,117,90,117,79,90,90,71,79,161,100,79,71,189,104,90,198,86,116,71,100,110,35,137,79,79,90,79,72,137,137,95,197,191,90,116,90,72,137,61,50,137,99,45,72,90,72,82,104,45,161,124,124,137,109,201,90,83,100,101,90,197,90,71,137,93,72,90,117,61,100,43,90,71,72,137,61,90,79,90,137,61,116,93,220,110,109,79,197,90,116,201,137,100,79,104,116,93,45,93,71,187,198,74,90,161,45,204,90,45,110,161,137,137,161,188,100,104,66,82,106,137,78,79,93,95,116,79,100,90,198,100,125,198,137,161,137,35,90,106,122,72,79,72,71,116,117,98,79,117,137,83,137,189,45,90,47,71,79,116,189,72,137,75,124,116,110,79
201,109,79,78,201,117,71,125,117,161,93,49,206,109,161,137,117,187,122,72,117,72,79,79,109,90,116,91,117,117,220,117,79,124,91,192,198,137,104,110,189,110,79,91,196,197,106,137,82,90,93,225,45,109,161,197,72,192,116,161,90,91,106,79,101,180,116,91,137,197,137,161,213,93,124,137,104,117,45,187,90,100,117,90,206,216,153,106,201,206,99,124,117,79,161,71,71,201,106,90,90,100,137,90,161,71,198,137,201,198,110,204,91,144,137,104,198,216,110,79,180,99,90,101,161,71,137,71,137,79,90,161,71,109,90,137,161,71,161,110,225,192,116,162,203,110,137,215,191,137,90,110,137,110,72,110,79,191,206,93,106,189,71,216,98,90,201,189,161,191,197,189,116,137,79,90,132,193,79,83,117,110,161,116,137,98,201,137,161,216,161,197,190,45,93,110,201,79,90,79,72,137,125,100,83,197,190,137,191,201,90,122,72,82,116,161,201,79,197,90,161,161,122,83
216,110,86,93,204,137,79,191,124,188,110,72,216,191,197,191,161,191,125,79,191,137,90,90,206,117,117,191,198,161,283,216,101,205,92,210,216,220,110,197,192,114,83,137,197,206,116,161,100,110,197,242,90,157,189,207,84,201,137,201,116,100,109,90,116,201,117,95,216,201,191,192,216,110,201,191,137,201,72,191,91,117,191,137,216,220,191,110,216,216,124,197,161,83,190,175,79,216,110,101,124,109,191,161,201,90,205,161,216,201,122,206,137,161,198,109,201,225,117,191,192,110,101,201,201,137,198,161,161,90,100,189,109,161,91,197,191,72,197,116,255,201,117,197,206,201,197,227,197,198,95,124,161,189,84,192,90,192,220,104,158,201,79,225,100,122,205,196,216,197,198,190,117,191,140,197,137,198,93,90,201,201,201,161,161,137,216,198,189,225,216,204,192,90,110,161,204,90,137,98,137,197,190,101,90,201,192,161,197,216,116,161,90,191,216,197,206,90,206,137,201,189,161,90
225,201,116,158,216,201,161,197,137,216,197,90,220,259,216,192,201,206,137,90,197,161,100,98,220,137,124,197,201,201,291,220,197,220,137,215,225,259,201,201,201,137,191,188,198,213,201,197,137,201,216,254,137,161,205,233,191,227,158,206,117,161,137,106,137,216,137,137,225,220,192,197,255,161,255,197,161,206,90,192,197,137,216,161,258,237,201,117,220,227,197,198,201,90,197,215,83,259,116,137,201,161,215,216,204,161,216,197,259,216,161,211,191,191,206,110,220,233,197,206,196,137,109,216,216,215,201,198,197,137,137,197,137,201,137,220,216,84,201,201,259,216,137,213,220,206,206,259,203,201,106,201,216,190,161,197,91,206,259,180,201,216,90,283,116,124,220,216,225,213,216,206,137,216,161,216,189,216,161,137,206,206,216,191,201,161,255,201,192,242,225,216,197,201,201,216,206,161,191,100,191,213,197,104,198,216,198,197,198,269,197,205,137,206,225,201,227,188,269,161,216,216,201,161
259,216,137,192,220,205,191,213,201,220,201,137,269,283,225,197,216,216,161,110,220,203,137,100,283,191,158,216,216,216,292,258,203,242,189,227,242,265,216,216,212,161,197,191,216,220,216,201,161,216,225,255,197,197,216,291,211,283,197,220,161,201,216,117,197,225,198,203,242,277,197,198,259,201,259,220,198,216,100,206,216,188,291,206,259,259,216,197,225,248,201,216,203,201,213,259,90,283,201,201,204,201,220,220,216,201,220,201,273,259,201,215,197,216,291,117,222,259,201,220,198,201,205,259,225,259,254,201,205,191,161,208,197,216,191,259,220,117,216,216,293,225,216,220,268,288,216,283,213,204,110,221,225,201,189,201,203,220,283,201,216,220,161,291,137,161,254,220,259,220,225,227,161,220,191,269,196,255,192,161,216,283,220,192,216,198,259,216,201,259,259,259,215,216,216,220,220,203,216,116,205,216,201,137,216,259,201,216,220,283,255,216,161,220,258,205,258,197,283,201,255,259,216,197
265,225,198,201,225,216,216,220,216,225,216,188,278,292,269,213,259,220,201,137,291,216,201,137,291,216,201,269,259,225,295,259,206,254,191,259,255,283,225,225,213,201,220,220,220,269,225,203,201,220,283,292,216,220,220,295,258,288,233,258,233,206,225,137,198,250,201,220,259,283,220,201,269,206,269,259,283,225,161,220,220,201,292,210,265,291,225,201,259,259,216,225,205,216,215,283,154,291,216,216,254,216,259,225,225,206,259,258,292,283,216,220,213,220,295,137,254,269,220,259,213,258,216,283,259,283,255,216,216,291,201,227,206,259,206,289,225,258,220,220,296,293,259,259,291,291,268,292,220,216,201,268,259,215,216,206,216,283,291,206,225,225,201,292,197,201,259,242,292,269,255,258,201,225,216,288,216,259,201,191,220,293,225,227,225,201,283,259,227,283,283,283,227,250,220,250,283,210,220,137,206,259,227,161,225,292,227,269,259,291,265,220,189,291,259,216,283,203,291,203,259,277,220,201
