molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
10113568,0.8691588785050001,206,-0.11615250076024194,0.8691588785050001,208,-0.44083284614012
10125875,0.910891089109,323,-0.09367209028745603,0.885714285714,315,-0.44903999624610696
10133732,0.8365384615379999,103,-0.13460031719250007,0.836363636364,256,-0.4856046476196661
10158653,0.854368932039,158,-0.13132748287065002,0.816901408451,114,-0.5239488350134169
10160775,0.8691588785050001,207,-0.12323606032308695,0.824324324324,150,-0.5457204509511719
10171618,0.881188118812,249,-0.10758808614520901,0.8571428571430001,285,-0.47845404458890506
10173796,0.833333333333,91,-0.15136519294277906,informer,informer,informer
10193464,0.875,226,-0.11130009823004601,0.875,331,-0.42419215747238204
10193482,0.8962264150939999,283,-0.10470020336306304,0.872727272727,297,-0.4677326402822181
10200651,0.8971962616820001,289,-0.10068865164966796,0.8938053097349999,299,-0.391359917726377
10215776,0.885714285714,258,-0.114717593225628,0.872727272727,261,-0.526862593229137
10236195,0.849462365591,141,-0.12409889832030002,0.8367346938779999,272,-0.426119091463699
10272700,0.7961165048540001,28,-0.16489146126962695,0.7961165048540001,110,-0.575445462038271
10286242,0.8989898989899999,294,-0.10264278878869804,0.888888888889,309,-0.45329984046849814
10294883,0.916666666667,334,-0.08300408228370099,0.873563218391,239,-0.416098099692891
10295475,0.894230769231,274,-0.09766928720513103,0.87037037037,312,-0.403676301782693
10308522,0.894230769231,275,-0.11319019763351902,informer,informer,informer
10321190,0.841121495327,118,-0.13150820705649002,0.81981981982,194,-0.46812337569579815
10469531,0.8571428571430001,167,-0.12318228858050395,0.8217821782179999,206,-0.51017137257508
10475737,0.826530612245,81,-0.140437256644647,0.826530612245,241,-0.477803774682523
11155941,0.8235294117649999,73,-0.17791743003997507,0.8235294117649999,198,-0.5599168165381879
11163861,0.835051546392,101,-0.16613407140415404,informer,informer,informer
11231939,0.804597701149,44,-0.20752859549449604,0.804597701149,145,-0.5049514508048482
11233873,0.808080808081,48,-0.15655718303210003,0.762376237624,50,-0.6474173992363911
11244488,0.797752808989,29,-0.222026009652112,0.797752808989,115,-0.5554034158817209
11247002,0.8666666666670001,195,-0.11394096020406695,0.833333333333,106,-0.5506369336535858
11269477,0.87037037037,215,-0.11583929421998201,0.837837837838,125,-0.5572151264290199
11273032,0.814516129032,57,-0.154398938915046,0.814516129032,175,-0.5396232031107071
11281930,0.906542056075,313,-0.08779628612524396,0.79012345679,58,-0.507289745791116
11284937,0.8217054263570001,68,-0.14619258986363498,0.8217054263570001,205,-0.505133148207509
11290221,0.86170212766,182,-0.11911745318483202,0.810810810811,81,-0.46590400765376605
11307581,0.825396825397,79,-0.144739217523015,0.825396825397,160,-0.540995435741608
11328632,0.813725490196,56,-0.17946753574800595,0.813725490196,169,-0.5573839623436491
11392350,0.908163265306,318,-0.12401277925964402,0.9,304,-0.36120961102180094
11453116,0.861111111111,179,-0.11784053377356699,0.839285714286,161,-0.5411593388658031
11473228,0.910891089109,324,-0.08771095011020803,0.833333333333,123,-0.3887099434398161
11502866,0.859813084112,175,-0.12621379907748803,0.859813084112,311,-0.42983831335492195
11569498,0.839285714286,109,-0.13511878464407207,0.808695652174,89,-0.580189564360272
11604319,0.8971962616820001,290,-0.09773955512959495,0.883928571429,303,-0.42281462170470385
11605761,0.824561403509,74,-0.15031160042926,0.824561403509,223,-0.5075770679742481
11617559,0.8404255319149999,115,-0.1394835898967351,0.8095238095239999,78,-0.5142838714074821
11626927,0.862385321101,184,-0.12330284582351203,0.860869565217,227,-0.47832251158555905
11627264,0.824561403509,75,-0.150339250460299,0.824561403509,229,-0.4895287473376941
11640889,0.849557522124,143,-0.13088255084774397,0.849557522124,283,-0.4512334398998939
11656050,0.821428571429,66,-0.15396268001367097,0.821428571429,193,-0.49552981009748687
11669455,0.8532110091740001,154,-0.12802350572503496,0.8532110091740001,274,-0.445389235732222
11680113,0.9157894736839999,331,-0.07894225957867809,0.894736842105,327,-0.3412003037126651
11717091,0.8842105263160001,256,-0.10842357364606897,0.87012987013,233,-0.426083242986527
11751266,0.8532110091740001,155,-0.12273060932045997,0.8421052631579999,173,-0.5066208225820719
11957417,0.78431372549,20,-0.177444387618129,0.78431372549,67,-0.5692303911507249
11959377,0.9026548672570001,304,-0.08151818997724697,0.860869565217,326,-0.286471941262043
11959682,0.887931034483,262,-0.10153595868649598,0.8852459016390001,343,-0.3424160545302319
11959683,0.887931034483,263,-0.10153595868649598,0.8852459016390001,344,-0.3424160545302319
15872388,0.855769230769,160,-0.125715529492726,0.8545454545450001,301,-0.43946368830248594
15872391,0.861111111111,180,-0.11665923249884798,0.859649122807,318,-0.43010260531560796
15872400,0.858490566038,172,-0.12360563904732001,0.8571428571430001,314,-0.4404197737610679
15872403,0.8348623853210001,95,-0.13635285617349993,0.8348623853210001,259,-0.458027729849601
15872404,0.838095238095,105,-0.13720546177740103,0.837837837838,271,-0.4703787366773541
15872406,0.792079207921,24,-0.17519411456044806,0.792079207921,97,-0.5306421024293921
15872407,0.855855855856,162,-0.12467010287604802,0.854700854701,307,-0.43639440265734897
15872408,0.8490566037739999,140,-0.12674506175583405,0.848214285714,264,-0.460299651731303
15872409,0.844036697248,128,-0.128933405079317,0.84347826087,171,-0.534012396308525
16048194,0.851063829787,148,-0.130622215587301,0.844155844156,95,-0.531069153385209
16048415,0.8522727272730001,152,-0.12785496143346195,0.851063829787,257,-0.4636371100867529
16051023,0.80701754386,47,-0.156490364472195,0.80701754386,158,-0.552690645245311
16099859,0.8677685950409999,201,-0.12067935330493107,0.8571428571430001,319,-0.4577052228921129
16219401,0.9,297,-0.09562042855785,0.736111111111,51,-0.630266934581361
16236469,0.9245283018870001,341,-0.07195553421232896,0.889908256881,341,-0.26084291379227303
16664858,0.8504672897200001,146,-0.13631890347072795,0.849557522124,263,-0.4495853993086778
17892742,0.80198019802,37,-0.17177652249529804,0.792452830189,98,-0.547351080812523
18536613,0.8504672897200001,147,-0.12524703371132195,0.849557522124,289,-0.44657208253881897
18536627,0.858490566038,173,-0.118259279915191,0.846846846847,288,-0.442365297001057
21701565,0.8279569892470001,85,-0.15658776890733891,0.8279569892470001,142,-0.5869344554589898
21951965,0.844262295082,130,-0.137251972316697,0.825396825397,165,-0.518372015880473
22464113,0.824742268041,76,-0.142990055180999,0.813725490196,176,-0.475249286249422
22464120,0.808510638298,49,-0.15192830871729504,0.808510638298,163,-0.47059549161813097
22609796,0.906542056075,314,-0.09986743534090697,0.847058823529,137,-0.4877298751030061
22727427,0.878504672897,237,-0.11518634750342502,0.8522727272730001,113,-0.523712961754634
23646936,0.872549019608,219,-0.11255584922602499,0.8705882352940001,167,-0.43765494737755783
23646938,0.885714285714,259,-0.106619741533176,0.873563218391,184,-0.433147600749289
24180608,0.8971962616820001,291,-0.09551791286169595,0.816901408451,120,-0.420429160558577
24856364,0.855855855856,163,-0.12849849878560002,0.844827586207,250,-0.4915174269869389
24896610,0.8061224489800001,45,-0.16726946093427497,0.8061224489800001,100,-0.64253168731413
24949545,0.8348623853210001,96,-0.14773045650345995,0.786516853933,69,-0.648944772084427
25023715,0.877358490566,232,-0.101582647805045,0.875,334,-0.37411854298587494
25093474,0.8571428571430001,168,-0.12929988970858597,0.844660194175,313,-0.43898829136510586
25190921,0.802083333333,41,-0.15606482661231105,0.792079207921,88,-0.595776221940293
25190924,0.746835443038,14,-0.20638184630958503,0.746835443038,37,-0.5969524941255041
25190926,0.8152173913040001,59,-0.15310228108283397,0.8152173913040001,65,-0.6620563168471871
25210971,0.5567010309279999,9,-0.33815013644234504,0.5567010309279999,25,-0.88174896204922
25210972,0.5656565656570001,10,-0.328817446717987,0.5656565656570001,26,-0.8510217172649531
25211574,0.548387096774,7,-0.34568660287004405,0.548387096774,19,-0.8717861787654521
25218571,0.545454545455,6,-0.346426156207322,0.459183673469,2,-0.9191230147571049
25218573,0.553191489362,8,-0.341377021777958,0.553191489362,20,-0.8678601676726669
25218584,0.43617021276600004,4,-0.422201550806233,0.43617021276600004,14,-0.9488051126920581
25218593,0.587628865979,11,-0.315741807437985,0.515463917526,8,-0.8207450496922561
25218600,0.450549450549,5,-0.4108072829099771,informer,informer,informer
25218601,0.431818181818,3,-0.424761673926752,informer,informer,informer
25218621,0.225,0,-0.5693843375472472,0.225,1,-1.079017011156304
25263078,0.834951456311,100,-0.14533407097162002,0.821917808219,138,-0.5600766153383611
25263083,0.864077669903,190,-0.11768695944334205,0.8518518518520001,244,-0.4712384229717381
25263087,0.863636363636,187,-0.11696395003310497,0.8521739130429999,275,-0.4478867771919861
25263088,0.8532110091740001,156,-0.12440433513659097,0.8421052631579999,178,-0.4881580157927059
25263092,0.8155339805830001,60,-0.15670039393655094,0.805555555556,146,-0.5404322226175668
25263099,0.8,33,-0.16960102632285595,0.790476190476,92,-0.5953375220663518
25263103,0.80198019802,38,-0.16562673784091503,0.80198019802,134,-0.5660143940485951
25263110,0.8317757009350001,89,-0.14781867308195196,0.821428571429,200,-0.5298818332995427
25263114,0.828571428571,86,-0.14944210692816903,0.828571428571,216,-0.515605564202419
25263115,0.8348623853210001,97,-0.14516901591210993,0.824561403509,224,-0.519850921116982
25263116,0.8348623853210001,98,-0.14255961057759794,0.824561403509,230,-0.5129532250756879
25263117,0.78431372549,21,-0.177444387618129,0.78431372549,73,-0.5692303911507249
25263118,0.798076923077,32,-0.16744084838679604,0.798076923077,127,-0.6012782155429279
25263119,0.803738317757,43,-0.16461812706304,0.803738317757,84,-0.5983288679079721
25263120,0.823008849558,70,-0.146019199655053,0.823008849558,211,-0.5284752504064311
25263123,0.813559322034,55,-0.15423914558284796,0.80487804878,140,-0.5373100065984538
25263124,0.808695652174,50,-0.15657018613786305,0.8,116,-0.5385223608117199
25263274,0.814516129032,58,-0.154398938915046,0.814516129032,181,-0.5396232031107071
42618163,0.894230769231,276,-0.10577258329923402,0.814814814815,87,-0.4991465187911801
42618164,0.892156862745,270,-0.10396848636394404,0.779220779221,59,-0.562447817067111
44329036,0.80198019802,39,-0.16292086018114005,0.780952380952,62,-0.548961169520017
44386338,0.916666666667,335,-0.07724528215022299,0.851351351351,107,-0.45619877522780095
44396990,0.91,321,-0.082097701955308,0.895238095238,349,-0.339723933848158
44397032,0.888888888889,265,-0.09414869286902902,0.875,335,-0.34895890568531696
44397147,0.92,339,-0.07315814112003598,0.901234567901,345,-0.317829419204826
44397201,0.891089108911,266,-0.09325562105840599,0.8666666666670001,332,-0.3540406625663588
44397250,0.8969072164949999,288,-0.08889617765075905,0.893203883495,333,-0.3392985661338349
44397453,0.911764705882,325,-0.07785905264476901,0.904761904762,340,-0.301524007897799
44397710,0.9029126213590001,305,-0.08724706944420095,0.888888888889,322,-0.35783304310085
44410704,0.823008849558,71,-0.1521341731109,0.823008849558,217,-0.50585962548329
44418532,0.881720430108,250,-0.10693046789559796,0.881720430108,306,-0.39641341687660697
44418533,0.905263157895,311,-0.08346225811743299,0.905263157895,346,-0.32697338065625603
44418540,0.879120879121,240,-0.102763521269614,0.879120879121,323,-0.36998578328034903
44418545,0.9072164948450001,316,-0.08386723460695493,0.9072164948450001,336,-0.320667629823604
44418546,0.895833333333,281,-0.09647508363210103,0.881188118812,292,-0.4078885877961711
44418547,0.894736842105,277,-0.09718565533594095,0.894736842105,286,-0.3976244761790121
44418555,0.894736842105,278,-0.09947239331808398,0.883116883117,287,-0.40203134670849405
44418556,0.895833333333,282,-0.09748791082467102,0.895833333333,293,-0.3906775135152591
44418572,0.8989898989899999,295,-0.09337240564088604,0.897058823529,310,-0.37371961659217506
44431824,0.87,212,-0.12277265642841001,0.8679245283020001,220,-0.450214092133413
44433171,0.893203883495,272,-0.09844523477598499,0.805970149254,60,-0.43665887562980804
44433173,0.88679245283,261,-0.10305068631286801,0.816901408451,126,-0.483932032964168
44536036,0.871559633028,216,-0.114801414631317,informer,informer,informer
44571414,0.856,166,-0.12719316600082203,0.846153846154,179,-0.4789055550909661
