molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
CID044328970,,,-0.20342072194654992,,,-0.2584542993205
CID001489204,,,-0.20328391544015,,,-0.20699162594332998
CID044578566,,,-0.19595986047175995,,,-0.21707445218500993
CID044532445,,,-0.18500520169666998,,,-0.27116047500687
CID044528946,,,-0.23967498513286997,,,-0.50973170830157
CID044305647,,,-0.12792570043165,,,-0.18391485345225997
CID057398391,,,-0.20313005879804003,,,-0.23157608988553002
CID057398392,,,-0.19939018549673,,,-0.23190201826599
CID000005228,,,-0.20744900912356004,,,-0.20800210775623001
CID044532446,,,-0.18633441887927005,,,-0.27729766643297993
CID010239038,,,-0.19509015580782996,informer,informer,informer
CID018536646,,,-0.26066972388008997,,,-0.28727726477713
CID053469449,,,-0.30876995407341,,,-0.30639626918688
CID053469448,,,-0.2955692144741901,,,-0.31197164080802
CID006539506,,,-0.23287246548449997,,,-0.22329720478888
CID006539507,,,-0.24442383597002998,,,-0.24722327199208005
CID006539501,,,-0.25360984420131005,,,-0.26419763214179
CID046927597,,,-0.21703539185005,informer,informer,informer
CID006539509,,,-0.21739973201284002,,,-0.19644742506139
CID022185475,,,-0.23755655057669994,,,-0.23176026615824002
CID057403576,,,-0.19066498628822998,,,-0.24749024382547996
CID021027446,,,-0.22397230447133998,,,-0.24034372292678002
CID053467617,,,-0.26112841144662,,,-0.30909260365631996
CID056670156,,,-0.22909418746707003,informer,informer,informer
CID009935852,,,-0.17906260540233002,,,-0.26965543630517996
CID006539455,,,-0.25674140104065,,,-0.19626215809827002
CID006539452,,,-0.20763875581635,,,-0.19452919330733998
CID044529278,,,-0.26636520657500995,,,-0.4918009273866
CID006539458,,,-0.22289224667395002,,,-0.19971036258636998
CID044592502,,,-0.22302810047901,informer,informer,informer
CID044529101,,,-0.26179417208843997,,,-0.57567058764458
CID053469634,,,-0.28395174442882,,,-0.26593676443205
CID011231979,,,-0.22243775897328,,,-0.2909193993066
CID011057468,,,-0.24187846471595997,,,-0.2123981578781
CID044532297,,,-0.18025727099357997,,,-0.27919981375492997
CID044532433,,,-0.18759765911582,,,-0.26623487361170994
CID010161259,,,-0.18833028061853005,,,-0.25847542401033
CID025190912,,,-0.16977217325516003,,,-0.23662295763369
CID006539591,,,-0.18963736923865004,,,-0.25679815547124
CID025190914,,,-0.16084716171403995,,,-0.20995592292841006
CID057391365,,,-0.18633434936271004,,,-0.24556964046205002
CID009879605,,,-0.21373277070886995,,,-0.21140202879435005
CID044532531,,,-0.25291957840721,,,-0.3580617766806701
CID002787267,,,-0.23189651538716,,,-0.27601554607518
CID044578630,,,-0.25356696603852,,,-0.34322848429261
CID044336137,,,-0.21825121529835007,,,-0.26608381316989
CID000447966,,,-0.3441154676252,,,-0.23368079963467
CID006539523,,,-0.22397222797717997,,,-0.24237522649386004
CID006539524,,,-0.21134446217816,,,-0.25469937011715005
CID006539525,,,-0.20436187709561,,,-0.23384201432318005
CID044532102,,,-0.28478574789463995,,,-0.30171491320898997
CID006539528,,,-0.24666941833437997,,,-0.23455315538367
CID006539529,,,-0.2598201805889,,,-0.21310282080339
CID006539498,,,-0.24484510585449998,,,-0.22838273760288
CID044279444,,,-0.18504910287883003,,,-0.26534461219432004
CID011529890,,,-0.4546537178788799,,,-0.22710131848242
CID005329841,,,-0.20738378719622003,informer,informer,informer
CID044532683,,,-0.23779539551447,,,-0.40132424353222
CID006539578,,,-0.23618903621973,,,-0.27643078106166996
CID066561010,,,-0.24691998417471994,,,-0.30165533825587
CID010286382,,,-0.19858483949813996,,,-0.3659398689168701
CID044532997,,,-0.26594843452664996,,,-0.29804427040498005
CID006539504,,,-0.20422856622821997,,,-0.20888226982204
CID044532737,,,-0.18574101129140003,,,-0.22730050789648998
CID044527361,,,-0.21556608468532,,,-0.23279494782452
CID009880709,,,-0.24379076644843004,,,-0.24673458501778003
CID000838889,,,-0.18483824938061,,,-0.21696046892801
CID044529112,,,-0.2398070884447,,,-0.55083127528138
CID045272982,,,-0.20860991927041,,,-0.22841781063174996
CID045272980,,,-0.25408080935044,,,-0.27090794099337
CID009914412,,,-0.21422562653625,,,-0.33058348593523
CID044527001,,,-0.20256730494006997,,,-0.33483781329732
CID002409198,,,-0.23047404355471002,,,-0.27782806639707
CID010757558,,,-0.26693243531794003,,,-0.19324509938624998
CID044525947,,,-0.2607391831291,,,-0.41008990911054
CID011633551,,,-0.40466577332486003,,,-0.27989341064229
CID051356853,,,-0.20679061359600998,,,-0.20510971619584
CID051356852,,,-0.20018512363149,,,-0.19593603503777002
CID044525929,,,-0.29992537379393996,,,-0.41144796616125995
CID051356856,,,-0.20386750394485004,,,-0.21276466311206
CID051356855,,,-0.19970092523506,,,-0.19523886252678002
CID051356854,,,-0.20129804730572998,,,-0.21030592709313
CID044525925,,,-0.29666307815022996,,,-0.42789786598350005
CID044525924,,,-0.26763808431958,,,-0.41261447032056997
CID009814925,,,-0.24602119810743,,,-0.22259039273254003
CID044525926,,,-0.23326076351638003,,,-0.39641268268673
CID044525921,,,-0.28282575926486,,,-0.39380330384842
CID044525920,,,-0.2861632673492,,,-0.40673312544125995
CID044525923,,,-0.30409811431045997,,,-0.42279206842054995
CID044525922,,,-0.33105865339025,,,-0.4277201357928001
CID044397230,,,-0.20801288298032997,,,-0.22767679530556995
CID022609863,,,-0.23655877028227,,,-0.2827738156886
CID000156422,,,-0.20598022691642004,,,-0.29538953705845
CID044526069,,,-0.25530030498490003,,,-0.26011600161195003
CID006539376,,,-0.19519440745292999,,,-0.46974408806795
CID025263102,,,-0.16535073094113,,,-0.22539019725167003
CID025263100,,,-0.20253288917851003,,,-0.23998673440188
CID023648890,,,-0.22398491375304005,informer,informer,informer
CID025263105,,,-0.18160104079810999,,,-0.23128442881651
CID006539427,,,-0.23114523641060997,,,-0.47670355630177996
CID024804780,,,-0.20496235421299003,,,-0.40280931054056995
CID006538884,,,-0.23835737853666994,,,-0.20560154392337
CID044591552,,,-0.24683722970471,,,-0.36918506336046
CID015521230,,,-0.21020864704918998,,,-0.30345797071144
CID006539428,,,-0.23173381695227002,,,-0.46643825214741996
CID005329826,,,-0.19515869931567,informer,informer,informer
CID057403579,,,-0.18479767302994002,,,-0.24265288372458999
CID011197671,,,-0.19055348523153,,,-0.2504600856254
CID044532712,,,-0.24083195435243998,,,-0.37425264385977
CID046215814,,,-0.23506829689840003,,,-0.25113619691223
CID046215816,,,-0.25677261322030004,,,-0.28907372225245
CID011427162,,,-0.21125777225808007,,,-0.19201278493345
CID010186182,,,-0.17884487115619996,,,-0.3018892098692201
CID010151417,,,-0.19723105139100003,informer,informer,informer
CID010595057,,,-0.21239986266817007,,,-0.28464783084497997
CID010183216,,,-0.21419540659463,,,-0.26147692189206007
CID053466728,,,-0.29604826467876,,,-0.31094863725806005
CID010158539,,,-0.41638468517495003,,,-0.28606827468879004
CID025121268,,,-0.23396650862826,,,-0.25934215775984004
CID000099545,,,-0.19612426388911997,,,-0.1887429071501
CID009888013,,,-0.26542268259649,,,-0.37914017544879997
CID044305812,,,-0.12442549616942998,,,-0.17661512965012
CID006539566,,,-0.20110552395514,,,-0.22030045214297997
CID009945696,,,-0.22856649106239996,,,-0.25979954415646
CID010028480,,,-0.19026723750604005,,,-0.26374384281313
CID009926791,,,-0.17521604760567,,,-0.25785161049638006
CID044525949,,,-0.29599973253839,,,-0.42975771533211
CID044525948,,,-0.26409108495095995,,,-0.4084975579488301
CID057400063,,,-0.16861713528606004,,,-0.24497102865774997
CID006539492,,,-0.23981008493212996,,,-0.22994553777841997
CID044525942,,,-0.28592781200306006,,,-0.42235004141462995
CID044525941,,,-0.22498844313648,,,-0.39184881461873
