molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID044328970,nan,nan,-0.20342072194654992,nan,nan,-0.2584542993205
CID001489204,nan,nan,-0.20328391544015,nan,nan,-0.20699162594332998
CID044578566,nan,nan,-0.19595986047175995,nan,nan,-0.21707445218500993
CID044532445,nan,nan,-0.18500520169666998,nan,nan,-0.27116047500687
CID044528946,nan,nan,-0.23967498513286997,nan,nan,-0.50973170830157
CID044305647,nan,nan,-0.12792570043165,nan,nan,-0.18391485345225997
CID057398391,nan,nan,-0.20313005879804003,nan,nan,-0.23157608988553002
CID057398392,nan,nan,-0.19939018549673,nan,nan,-0.23190201826599
CID000005228,nan,nan,-0.20744900912356004,nan,nan,-0.20800210775623001
CID044532446,nan,nan,-0.18633441887927005,nan,nan,-0.27729766643297993
CID010239038,nan,nan,-0.19509015580782996,informer,informer,informer
CID018536646,nan,nan,-0.26066972388008997,nan,nan,-0.28727726477713
CID053469449,nan,nan,-0.30876995407341,nan,nan,-0.30639626918688
CID053469448,nan,nan,-0.2955692144741901,nan,nan,-0.31197164080802
CID006539506,nan,nan,-0.23287246548449997,nan,nan,-0.22329720478888
CID006539507,nan,nan,-0.24442383597002998,nan,nan,-0.24722327199208005
CID006539501,nan,nan,-0.25360984420131005,nan,nan,-0.26419763214179
CID046927597,nan,nan,-0.21703539185005,informer,informer,informer
CID006539509,nan,nan,-0.21739973201284002,nan,nan,-0.19644742506139
CID022185475,nan,nan,-0.23755655057669994,nan,nan,-0.23176026615824002
CID057403576,nan,nan,-0.19066498628822998,nan,nan,-0.24749024382547996
CID021027446,nan,nan,-0.22397230447133998,nan,nan,-0.24034372292678002
CID053467617,nan,nan,-0.26112841144662,nan,nan,-0.30909260365631996
CID056670156,nan,nan,-0.22909418746707003,informer,informer,informer
CID009935852,nan,nan,-0.17906260540233002,nan,nan,-0.26965543630517996
CID006539455,nan,nan,-0.25674140104065,nan,nan,-0.19626215809827002
CID006539452,nan,nan,-0.20763875581635,nan,nan,-0.19452919330733998
