molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID070683337,0.928571428571,398,-0.16867786306419003,0.9035087719299999,387,-0.20593043362528007
CID053466951,0.819277108434,101,-0.27412322577595,0.872881355932,328,-0.28544823774385
CID044529279,0.811764705882,78,-0.27735702389835,0.36144578313299996,4,-0.5134175207642699
CID002787267,0.827586206897,123,-0.23189651538716,0.8023255813950001,128,-0.27601554607518
CID000000007,0.912280701754,384,-0.12632143263949003,0.922222222222,394,-0.16846876331000002
CID044532438,0.848101265823,188,-0.20199204921821,0.844036697248,235,-0.28035135257948995
CID025190912,0.9036144578309999,373,-0.16977217325516003,0.833333333333,195,-0.23662295763369
CID011715767,0.803571428571,62,-0.22967656221804,0.891304347826,370,-0.19004266096239
CID009926791,0.90243902439,369,-0.17521604760567,0.8938053097349999,373,-0.25785161049638006
CID006918454,0.924050632911,395,-0.15890162678727,0.8679245283020001,315,-0.20781402416126998
CID025033539,0.8571428571430001,219,-0.21994421478251996,0.8407079646019999,221,-0.24879214334421004
CID005330286,0.910112359551,382,-0.17025996249109,0.8421052631579999,226,-0.2514562516288801
CID011626560,0.8823529411759999,318,-0.19099354301009003,0.849557522124,258,-0.22821416771753
CID022049997,0.890243902439,337,-0.16939789081511,0.844036697248,236,-0.21958069790563
CID006450551,0.774647887324,28,-0.22766433107913997,0.8490566037739999,253,-0.23806827167989
CID010452739,0.808823529412,72,-0.24035009207021002,0.828282828283,181,-0.24709495967404999
CID023133388,0.824324324324,109,-0.22040054026601996,0.78,94,-0.3412088434995699
CID044305910,0.887096774194,332,-0.17967677602457,0.8695652173909999,319,-0.19790326802172004
CID010173796,0.83950617284,161,-0.22122949825772004,informer,informer,informer
CID000599038,0.854838709677,213,-0.18957537505191996,0.8842105263160001,357,-0.196785875332
CID000156414,0.927835051546,397,-0.17577764965252,0.8220338983050001,167,-0.29113754226373995
CID044526070,0.825396825397,116,-0.26491623389359203,0.802197802198,125,-0.27929414888774995
CID044578566,0.8840579710140001,322,-0.19595986047175995,0.8571428571430001,286,-0.21707445218500993
CID044529220,0.852631578947,206,-0.23520713149869,0.434782608696,8,-0.49055635068666
CID009836050,0.75,22,-0.25429791030278004,0.76404494382,84,-0.24010385645204
CID056673516,0.88,310,-0.19602948192277997,informer,informer,informer
CID044526073,0.796875,48,-0.29211027024391,0.795698924731,116,-0.29228384706126
CID051354036,0.879120879121,308,-0.20973458422395996,0.838983050847,212,-0.26612402845774
CID019879232,0.8484848484849999,189,-0.19155573777683005,0.878787878788,349,-0.22341373273883997
CID045269578,0.758064516129,24,-0.25860918373545994,0.8210526315790001,164,-0.28359427000373993
CID044525926,0.894117647059,354,-0.23326076351638003,0.794392523364,115,-0.39641268268673
CID066561010,0.880952380952,312,-0.24691998417471994,0.837837837838,209,-0.30165533825587
CID010287409,0.761904761905,25,-0.26067248136842003,0.858585858586,292,-0.22665361967325995
CID006539606,0.852941176471,207,-0.24128219270678003,0.8105263157889999,146,-0.247962663995
CID053322416,0.666666666667,14,-0.29752259417573,0.8804347826090001,351,-0.23115615991507998
CID006539572,0.842857142857,174,-0.22027917469562003,0.791666666667,111,-0.27354613702727
CID060150509,0.9080459770110001,379,-0.17189042600333,0.8793103448280001,350,-0.22414161343061995
CID051355190,0.8777777777779999,303,-0.24186457946009,0.827586206897,176,-0.27406794972253995
CID010086873,0.8064516129029999,67,-0.23263137575016,0.8279569892470001,178,-0.24982353349819994
CID044578630,0.825,113,-0.25356696603852,0.805555555556,134,-0.34322848429261
CID044525940,0.894117647059,355,-0.25829699605199996,0.7352941176469999,60,-0.40809398221065
CID025121268,0.810810810811,75,-0.23396650862826,0.881818181818,353,-0.25934215775984004
CID006539455,0.862068965517,251,-0.25674140104065,0.8777777777779999,344,-0.19626215809827002
CID011427162,0.8695652173909999,281,-0.21125777225808007,0.881188118812,352,-0.19201278493345
CID010161259,0.9036144578309999,374,-0.18833028061853005,0.833333333333,196,-0.25847542401033
CID046215816,0.862068965517,252,-0.25677261322030004,0.814159292035,152,-0.28907372225245
