molid,bglf4_c_s_2,bglf4_c_l_2,bglf4_c_w_2,bglf4_p_s_2,bglf4_p_l_2,bglf4_p_w_2,pknb_c_s_2,pknb_c_l_2,pknb_c_w_2,pknb_p_s_2,pknb_p_l_2,pknb_p_w_2,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID070683337,0.8953488372089999,289,-0.062428628529847006,0.9074074074070001,361,-0.061202478336737975,0.873786407767,305,-0.015145878019874002,0.8823529411759999,317,-0.08114235147498602,0.928571428571,398,-0.16945708384341002,0.9035087719299999,387,-0.20593043362528007
CID053466951,0.8426966292129999,106,-0.053256980854056,0.8648648648649999,225,-0.088461893370953,0.48780487804899997,7,-0.015003802764774001,0.826923076923,130,-0.09541306112334098,0.819277108434,101,-0.27585162083767,0.872881355932,328,-0.28544823774385
CID044529279,0.8842105263160001,240,-0.052409624501066995,0.827272727273,93,-0.10937667197691398,0.81308411215,58,-0.007442153018867999,0.724489795918,19,-0.15551167360909599,0.811764705882,78,-0.27851981459603,0.36144578313299996,4,-0.5134175207642699
CID002787267,0.859375,153,-0.045051419861286,0.896551724138,338,-0.069335628055859,0.853658536585,221,-0.007143715544612998,0.820512820513,117,-0.094223971516233,0.827586206897,123,-0.23298742447805998,0.8023255813950001,128,-0.27601554607518
CID000000007,0.953125,395,-0.027886379681617994,0.915662650602,376,-0.055545423494320983,0.7945205479449999,32,-0.0062662019803470005,0.911392405063,382,-0.054500620259465,0.912280701754,384,-0.12943254375061003,0.922222222222,394,-0.16846876331
CID044532438,0.8433734939759999,110,-0.053041623385434014,0.855769230769,187,-0.09554698718286198,0.852941176471,218,-0.008028196820885,0.85,206,-0.09288515021106501,0.848101265823,188,-0.20330783869189,0.844036697248,235,-0.28035135257948995
CID025190912,0.883720930233,237,-0.08503300689535201,0.7979797979800001,52,-0.09934249483888097,0.852941176471,219,-0.00647612499098,0.915094339623,387,-0.054370056851671,0.9036144578309999,373,-0.17108796272884003,0.833333333333,195,-0.23662295763369
CID011715767,0.736842105263,3,-0.060439130196414004,0.8953488372089999,335,-0.07481926324744301,0.879518072289,329,-0.009044530977878,0.876543209877,298,-0.06769040609073002,0.803571428571,62,-0.23159963914112003,0.891304347826,370,-0.19004266096239
CID009926791,0.8953488372089999,290,-0.04834105449932501,0.7959183673469999,48,-0.13071841409510002,0.8163265306119999,72,-0.007204349556779004,0.8823529411759999,318,-0.07122409345719002,0.90243902439,369,-0.17945847184809002,0.8938053097349999,373,-0.25785161049638006
CID006918454,0.928571428571,384,-0.041373160171849,0.881188118812,289,-0.074790634366918,0.867346938776,284,-0.0060105559465110005,0.91,381,-0.05860412818154699,0.924050632911,395,-0.15944957199275,0.8679245283020001,315,-0.20781402416126996
CID025033539,0.83908045977,98,-0.05231809561229401,0.8301886792450001,103,-0.09614497726841899,0.792079207921,29,-0.008706535396673001,0.878504672897,306,-0.07564151588098202,0.8571428571430001,219,-0.22144421478251997,0.8407079646019999,221,-0.24879214334421001
CID005330286,0.903225806452,317,-0.035462549460756,0.883928571429,298,-0.083328050273447,0.871559633028,298,-0.006085528262782001,0.8252427184469999,126,-0.10022833949493204,0.910112359551,382,-0.17174144397257,0.8421052631579999,226,-0.2514562516288801
CID011626560,0.9130434782610001,353,-0.03667061416519899,0.891891891892,325,-0.07100468099096599,0.8252427184469999,101,-0.006839886332478,0.877358490566,299,-0.072544807587613,0.8823529411759999,318,-0.19251253035187005,0.849557522124,258,-0.22821416771753
CID022049997,0.896551724138,298,-0.041756792333272,0.855769230769,188,-0.080096099572954,0.83,119,-0.006693883847544001,0.904761904762,368,-0.058520198118438,0.890243902439,337,-0.17043685185407,0.844036697248,236,-0.21958069790563
