molid,RS
56604005,0.641429
53239984,0.385714
44578254,0.34
9910722,0.168571
57398861,0.15
25218573,0.12571400000000002
15872388,0.0557143
9873849,-0.128571
56603973,-0.33714299999999997
766948,-0.41
9947709,-0.498571
11605761,-0.631429
57398152,-0.757143
44397201,-0.987143
9885504,-0.995714
44593640,-1.01286
10469531,-1.02429
57391097,-1.10286
56603966,-1.19143
15872408,-1.25714
22609796,-1.3028600000000001
53239985,-1.33429
6539487,-1.36429
44578255,-1.48286
56604013,-1.5014299999999998
25210971,-1.52714
18536627,-1.68143
11617559,-1.82857
599038,-1.86143
11155941,-1.8671400000000002
57399800,-1.8928599999999998
25263078,-1.92714
10475737,-1.9785700000000002
25263123,-2.03286
11959683,-2.11286
44397710,-2.15
579429,-2.1671400000000003
11247002,-2.17429
10286242,-2.21714
11959377,-2.25714
57400544,-2.25857
25263119,-2.27143
11959682,-2.3771400000000003
25218614,-2.38429
56604034,-2.47571
44397032,-2.4942900000000003
15872400,-2.5257099999999997
6539417,-2.53143
10193482,-2.59429
44587530,-2.60143
44581222,-2.63857
11627264,-2.64
56667993,-2.69286
57395317,-2.72143
44431824,-2.73
9917474,-2.74286
11669455,-2.78571
11307581,-2.80143
57403319,-2.88
6539466,-2.94714
25190921,-2.96143
21951965,-2.96429
25263274,-2.97571
44410704,-2.9771400000000003
25263088,-3.0
11680113,-3.01857
44532523,-3.0628599999999997
6539502,-3.0628599999999997
25190924,-3.1
57398150,-3.11286
44578401,-3.2471400000000004
70682205,-3.25
44578253,-3.25143
56604024,-3.26143
56603997,-3.26714
11640889,-3.2928599999999997
6539478,-3.29429
57394602,-3.3971400000000003
44589696,-3.44
57391094,-3.46571
56603995,-3.47571
6603857,-3.47571
57398147,-3.53429
57398154,-3.5785699999999996
57394601,-3.5914300000000003
11656050,-3.59571
57400541,-3.5985699999999996
25263087,-3.61429
44571453,-3.6314300000000004
11273032,-3.68571
25210972,-3.7185699999999997
57398153,-3.7585699999999997
25263118,-3.76286
53239988,-3.80429
57401573,-3.8357099999999997
9890357,-3.8414300000000003
453216,-3.89571
11284937,-3.9542900000000003
10321190,-3.96286
448008,-3.96429
6539439,-3.98286
15872406,-3.9985699999999995
44397147,-4.00143
57400545,-4.04143
10133732,-4.04143
57394600,-4.04571
16664858,-4.05429
25190926,-4.08
16048194,-4.108569999999999
6539397,-4.16
56604049,-4.22286
9951300,-4.25429
25218621,-4.28
57391875,-4.30429
16099859,-4.31286
10236195,-4.40571
10158653,-4.41
57403320,-4.42286
10200651,-4.42429
57398148,-4.43714
18536613,-4.44
15872409,-4.4814300000000005
44571435,-4.49857
57398867,-4.53857
44581765,-4.64571
9604970,-4.66143
6539382,-4.7
57398151,-4.71286
11453116,-4.73714
10295475,-4.74
57391093,-4.75143
57399802,-4.75714
44578563,-4.76286
44581245,-4.78571
57403318,-4.8857099999999996
9800117,-4.89571
11569498,-4.95714
16048303,-5.00857
44433171,-5.03571
6539521,-5.1
11502866,-5.1528599999999996
56604000,-5.21857
44329036,-5.25571
42618164,-5.32143
44571414,-5.4028599999999996
57398146,-5.45857
15872391,-5.48286
44578425,-5.4842900000000006
22727427,-5.55429
25218571,-5.61857
10171618,-5.62571
766949,-5.648569999999999
10125875,-5.69
16236469,-5.79
9922527,-5.80714
15872407,-5.84857
25263083,-5.88143
56603987,-5.92
70696859,-6.08286
57399801,-6.14429
5034,-6.18714
9857146,-6.31571
56603975,-6.35429
15872403,-6.5
44578672,-6.50286
57391095,-6.5185699999999995
25218600,-6.608569999999999
25093474,-6.61286
25263114,-6.66143
11233873,-6.704289999999999
57401574,-6.764289999999999
6539522,-6.79857
15872404,-6.90857
6539099,-6.95
10193464,-7.01
6539482,-7.0571399999999995
56667992,-7.474289999999999
6539390,-7.514289999999999
57401575,-7.585710000000001
56681565,-7.58857
5793317,-7.59571
