molid,RS
CID000000007,-11.909091
CID000003134,-6.681818
CID000005228,-19.727273
CID000069689,-12.181818
CID000099545,-16.909091
CID000129723,-18.0
CID000156414,-46.672727
CID000156422,-51.395455
CID000221158,-8.5
CID000227502,-22.090909
CID000253268,-8.272727
CID000309461,-15.090909
CID000447966,-16.909091
CID000599038,-15.636364
CID000667570,-15.227273
CID000838889,-35.3
CID001489204,-13.818182
CID001491157,-6.863636
CID002409198,-39.854545
CID002787267,-20.790909
CID005311382,informer
CID005329477,-23.072727
CID005329481,-26.413636
CID005329826,informer
CID005329841,-87.131818
CID005330286,-3.5
CID006263849,-12.227273
CID006450551,-62.231818
CID006538884,-12.818182
CID006539376,-33.004545
CID006539394,-17.0
CID006539398,-15.0
CID006539416,-16.318182
CID006539426,-20.272727
CID006539427,-10.863636
CID006539428,informer
CID006539452,-9.954545
CID006539455,-4.181818
CID006539458,-16.113636
CID006539461,-18.918182
CID006539463,-7.863636
CID006539465,-12.545455
CID006539467,-17.627273
CID006539470,-19.363636
CID006539472,-10.545455
CID006539473,-12.227273
CID006539475,-4.136364
CID006539477,-29.0
CID006539480,-13.636364
CID006539481,-11.5
CID006539486,-12.05
CID006539492,-11.545455
CID006539496,-7.5
CID006539498,-10.954545
CID006539501,-15.909091
CID006539504,-15.531818
CID006539506,-7.590909
CID006539507,-12.863636
CID006539509,-11.681818
CID006539512,-10.454545
CID006539513,-9.136364
CID006539516,-12.5
CID006539519,-6.045455
CID006539523,-7.136364
CID006539524,-6.409091
CID006539525,-7.909091
CID006539528,-27.286364
CID006539529,-16.0
CID006539550,-11.772727
CID006539565,-20.772727
CID006539566,-27.454545
CID006539569,-26.322727
CID006539571,-21.227273
CID006539572,-7.5
CID006539578,-22.304545
CID006539579,-23.090909
CID006539582,informer
CID006539587,-22.590909
CID006539588,-22.2
CID006539591,-23.409091
CID006539602,-13.090909
CID006539605,-13.318182
CID006539606,-17.681818
CID006539609,-16.5
CID006539610,-22.809091
CID006539613,-17.0
CID006539615,-9.545455
CID006918454,-1.681818
CID009814925,-18.272727
CID009826528,-2.909091
CID009836050,-18.909091
CID009836051,-13.681818
CID009836405,-12.545455
CID009861063,-14.118182
CID009865518,-7.909091
CID009879605,-17.909091
CID009880709,-21.954545
CID009888013,-31.184091
CID009901062,-13.590909
CID009903786,-37.681818
CID009914412,-53.35
CID009923028,-29.054545
CID009925372,-15.818182
CID009925594,-11.681818
CID009926791,-7.409091
CID009929101,-13.545455
CID009935852,-88.231818
CID009945516,-21.409091
CID009945696,-21.636364
CID009958299,-84.009091
CID010028480,-29.440909
CID010086873,-6.954545
CID010135552,-14.318182
CID010151417,-89.040909
CID010158539,-7.727273
CID010161259,-70.522727
CID010173796,-66.295455
CID010183216,-80.363636
CID010186009,-24.681818
CID010186182,-73.418182
CID010239038,-31.431818
CID010267580,-16.318182
CID010278843,-78.163636
CID010286382,-19.409091
CID010287409,-22.636364
CID010310395,informer
CID010358578,-19.727273
CID010452739,-17.681818
CID010595057,-8.136364
CID010621826,-16.636364
CID010639924,-20.045455
CID010757558,-21.727273
CID011057468,-35.318182
CID011133737,-19.363636
CID011197671,-15.045455
CID011220119,-10.863636
CID011224168,-38.877273
CID011231979,-17.181818
CID011373846,-12.818182
CID011427162,-25.954545
CID011495551,-26.959091
CID011514099,-15.227273
CID011524582,-13.181818
CID011529890,-8.0
CID011558948,-10.0
CID011594774,-13.454545
CID011595752,-14.181818
CID011626560,-56.368182
CID011633551,-11.727273
CID011682470,-28.613636
CID011682680,-11.0
CID011712734,-9.545455
CID011715767,-11.090909
CID011716589,-29.454545
CID011793277,-10.409091
CID011959683,-7.409091
CID015407403,-32.5
CID015521230,-5.954545
CID015838857,-11.590909
CID015872399,-15.181818
CID017754438,-3.636364
CID017755233,-59.154545
CID017755746,-60.359091
CID017917696,-23.863636
CID018536633,-10.954545
CID018536646,-13.363636
CID019879232,-6.090909
CID021027446,-18.0
CID021078798,-4.727273
CID022049997,-0.181818
CID022112846,-22.195455
CID022185475,-69.609091
CID022609863,-24.595455
CID023133388,-16.454545
CID023648887,-27.777273
CID023648890,informer
CID023648920,-10.772727
CID024802788,-30.681818
CID024802961,-22.636364
CID024803300,-29.136364
CID024803301,informer
CID024803786,informer
CID024803787,-36.804545
CID024803957,informer
CID024804298,-30.136364
CID024804299,-34.454545
CID024804780,informer
CID024804781,-46.886364
CID024949702,-87.15
CID025033539,-2.954545
CID025093464,-15.318182
CID025121268,-16.136364
CID025190912,-17.045455
CID025190914,-21.931818
CID025263079,-10.545455
CID025263084,-20.590909
CID025263085,-13.454545
CID025263100,-20.218182
CID025263102,-30.663636
CID025263105,-33.586364
CID025263108,-19.590909
CID042618144,-20.954545
CID044269265,-12.227273
CID044279444,-21.531818
CID044305551,-19.136364
CID044305594,-9.818182
CID044305647,-13.0
CID044305812,-12.5
CID044305879,-5.363636
CID044305910,-23.954545
CID044306199,-13.045455
CID044328896,-12.454545
CID044328970,-21.4
CID044336137,-11.863636
CID044336144,-10.954545
CID044397011,-14.727273
CID044397192,-16.727273
CID044397230,-14.136364
CID044397393,-7.545455
CID044397687,-6.954545
CID044433573,-22.431818
CID044479934,-18.772727
CID044525485,-9.5
CID044525486,-33.959091
CID044525920,-20.136364
CID044525921,-11.681818
CID044525922,-14.909091
CID044525923,-17.818182
CID044525924,-9.772727
CID044525925,-20.681818
CID044525926,-4.818182
CID044525927,-17.454545
CID044525928,-5.818182
CID044525929,-8.863636
CID044525930,-15.909091
CID044525931,-6.590909
CID044525932,-12.681818
CID044525933,-13.045455
CID044525934,-7.681818
CID044525935,-12.772727
CID044525936,-24.772727
CID044525937,-12.5
CID044525938,-16.772727
CID044525939,-11.681818
CID044525940,-18.954545
CID044525941,-17.727273
CID044525942,-11.454545
CID044525943,-11.0
CID044525944,-16.363636
CID044525945,-21.909091
CID044525946,-14.454545
CID044525947,-27.190909
CID044525948,-24.954545
CID044525949,-29.981818
CID044525950,-32.295455
CID044525951,-16.395455
CID044525952,-37.909091
CID044525953,-27.868182
CID044525954,-33.218182
CID044525955,-36.668182
CID044525956,-34.159091
CID044525957,-30.563636
CID044525958,-32.036364
CID044525959,-9.409091
CID044525960,-9.5
CID044525961,-15.090909
CID044525962,-43.309091
CID044525963,-10.5
CID044525964,-9.409091
CID044525965,-8.136364
CID044525966,-7.363636
CID044525967,-13.045455
CID044525968,-13.409091
CID044525969,-8.318182
CID044525970,-8.636364
CID044525971,-11.0
CID044525972,-12.272727
CID044525973,-17.772727
CID044525974,-27.636364
CID044526068,-50.745455
CID044526069,-40.195455
CID044526070,-32.522727
CID044526071,-28.236364
CID044526072,-34.059091
CID044526073,-35.259091
CID044526074,-32.881818
CID044526075,-42.795455
CID044526076,-36.181818
CID044526077,-34.213636
CID044526078,-43.754545
CID044526099,-31.331818
CID044526685,-9.045455
CID044526922,-20.818182
CID044527001,-19.909091
CID044527361,-16.272727
CID044527603,-88.922727
CID044527657,-14.272727
CID044528946,-64.822727
CID044528968,-68.813636
CID044529101,-65.018182
CID044529112,-44.227273
CID044529114,informer
CID044529220,informer
CID044529229,-17.818182
CID044529262,-73.290909
CID044529278,-81.527273
CID044529279,-53.609091
CID044529385,-9.227273
CID044529831,-31.272727
CID044532102,-32.354545
CID044532297,-14.545455
CID044532432,-28.636364
CID044532433,-41.8
CID044532438,-75.390909
CID044532445,-80.240909
CID044532446,-77.477273
CID044532450,-33.218182
CID044532477,-60.559091
CID044532478,-51.704545
CID044532480,-62.05
CID044532526,-24.272727
CID044532531,-59.759091
CID044532639,-45.754545
CID044532683,-55.927273
CID044532690,-56.854545
CID044532712,-57.622727
CID044532720,-12.181818
CID044532737,-12.318182
CID044532978,-40.668182
CID044532997,-5.681818
CID044535870,-38.454545
CID044536075,-26.031818
CID044571415,-16.363636
CID044578252,-19.045455
CID044578566,-5.045455
CID044578630,-15.654545
CID044578709,-37.131818
CID044591552,-30.090909
CID044591845,-26.863636
CID044592364,-23.227273
CID044592502,informer
CID045269578,-4.636364
CID045270417,-12.818182
CID045271243,-5.136364
CID045271244,-7.272727
CID045271247,-7.409091
CID045272980,-13.136364
CID045272982,-33.545455
CID045480848,-47.904545
CID045481463,-43.063636
CID046214650,-3.636364
CID046215644,-10.272727
CID046215814,-8.954545
CID046215816,-10.136364
CID046886665,-7.454545
CID046927597,-87.318182
CID046927672,-86.095455
CID049798353,-7.818182
CID049862644,-36.395455
CID049862783,-75.468182
CID051354036,-11.181818
CID051354327,-11.590909
CID051354328,-6.045455
CID051354901,-9.227273
CID051355190,-10.0
CID051356289,-31.045455
CID051356852,-7.863636
CID051356853,-11.227273
CID051356854,-8.454545
CID051356855,-7.681818
CID051356856,-5.409091
CID051357138,-5.0
CID051357696,-8.727273
CID051357954,-24.940909
CID053245731,-15.595455
CID053317178,-4.5
CID053322416,-10.181818
CID053466728,-32.736364
CID053466951,-83.104545
CID053467178,-67.409091
CID053467392,informer
CID053467617,-29.681818
CID053469448,-33.713636
CID053469449,-71.7
CID053469453,-60.218182
CID053469634,-84.604545
CID053469824,-67.472727
CID056670156,informer
CID056673516,informer
CID056673950,-12.863636
CID056680318,-34.718182
CID056683489,-77.618182
CID057345685,-27.0
CID057391365,-7.818182
CID057394915,-33.940909
CID057396625,-11.409091
CID057396626,-8.772727
CID057396627,-6.409091
CID057398391,-9.181818
CID057398392,-17.409091
CID057400063,-10.318182
CID057401865,-17.727273
CID057401867,-14.772727
CID057403576,-9.227273
CID057403579,-13.681818
CID060150509,-9.454545
CID066561010,-26.559091
CID066561013,-57.35
CID066561090,-61.536364
CID070683337,-10.409091
CID070683338,-19.545455
CID070685440,-12.5
CID070685442,-10.931818
CID070691776,-22.363636
CID071451677,-65.518182
