molid,AS
5034,0.852631579
448008,0.735849057
449054,0.844444444
453216,0.936651584
579429,0.947565543
599038,0.612121212
766948,0.933333333
766949,0.932692308
5329404,0.6
5329489,0.957831325
5329801,0.921787709
5329802,0.945736434
5329829,informer
5329831,0.865384615
5329849,0.920903955
5329850,0.921348315
5329853,0.762711864
5329854,0.95035461
5329855,0.941422594
5329857,0.835294118
5329860,0.791044776
5329861,0.837209302
5329868,0.920454545
5329875,0.945525292
5482344,0.413333333
5793317,0.939655172
6518526,0.78125
6539046,0.948339483
6539047,0.938325991
6539049,0.937777778
6539056,0.938864629
6539075,0.940677966
6539081,informer
6539085,0.94017094
6539086,0.939914163
6539087,0.940425532
6539089,0.949090909
6539093,0.939130435
6539097,0.910828025
6539099,0.91025641
6539107,0.939393939
6539108,0.622857143
6539361,0.849462366
6539364,0.943548387
6539369,0.944223108
6539382,0.842696629
6539385,0.94488189
6539390,0.858585859
6539397,0.866666667
6539409,0.945098039
6539411,0.847826087
6539412,0.949820789
6539413,0.862745098
6539414,0.857142857
6539417,0.861386139
6539418,0.455555556
6539422,0.944444444
6539424,0.86407767
6539430,0.95
6539439,0.855670103
6539440,0.867924528
6539451,0.942857143
6539453,0.725490196
6539466,0.754385965
6539478,0.745454545
6539482,0.740740741
6539487,0.943319838
6539502,0.75
6539521,0.730769231
6539522,0.943089431
6539567,0.948905109
6539574,0.561538462
6539584,0.935483871
6539592,0.65
6539593,0.948148148
6539597,0.674418605
6539598,0.948529412
6539599,0.666666667
6539600,0.658536585
6539603,0.935779817
6539607,0.949458484
6539611,0.948717949
6539617,0.688888889
6539620,0.681818182
6539751,0.840909091
6603857,0.94214876
9604911,informer
9604912,0.924731183
9604915,0.922651934
9604922,0.959770115
9604926,0.959654179
9604940,0.942386831
9604943,0.959302326
9604948,0.959537572
9604958,0.941908714
9604970,0.950177936
9800117,0.94092827
9822610,0.95379538
9826308,0.956790123
9827373,0.766666667
9857146,0.636842105
9858084,0.946768061
9858662,0.808219178
9873849,0.946969697
9885504,0.714285714
9890357,0.586206897
9901444,0.810810811
9901964,0.922222222
9910722,0.9375
9917474,0.518181818
9922527,0.83908046
9926067,0.805555556
9927432,informer
9944269,0.802816901
9947709,0.913043478
9951300,0.936936937
10113568,0.934579439
10125875,0.956386293
10133732,0.86
10158653,0.938053097
10160775,0.9342722999999999
10171618,0.958702065
10173796,informer
10193464,0.955414013
10193482,0.958823529
10200651,0.938596491
10215776,0.854166667
10236195,0.949640288
10272700,0.914110429
10286242,0.950530035
10294883,0.927083333
10295475,0.94795539
10308522,0.955271565
10321190,0.632432432
10469531,0.955555556
10475737,0.96
11155941,0.958208955
11163861,0.9437751
11231939,0.818181818
11233873,0.617647059
11244488,0.813333333
11247002,0.425
11269477,0.435294118
11273032,0.957317073
11281930,0.933962264
11284937,0.956112853
11290221,0.944
11307581,0.95625
11328632,0.958333333
11392350,0.815789474
11453116,0.530434783
11473228,0.9453125
11502866,0.946360153
11569498,0.95483871
11604319,0.923076923
11605761,0.926315789
11617559,0.936073059
11626927,0.945945946
11627264,0.923497268
11640889,0.946564885
11656050,0.923913043
11669455,0.924324324
11680113,0.473684211
11717091,0.925925926
11751266,0.25
11957417,0.930348259
11959377,0.288888889
11959682,0.2
11959683,0.2
15872388,0.593333333
15872391,0.70212766
15872400,0.695652174
15872403,0.57037037
15872404,0.708333333
15872406,0.949275362
15872407,0.941666667
15872408,0.777777778
15872409,0.627777778
16048194,0.931034483
16048303,0.932038835
16048415,0.931372549
16051023,0.827160494
16099859,0.2
16219401,0.72
16236469,0.871559633
16664858,0.93236715
17892742,0.60625
18536613,0.941176471
18536627,0.578571429
21701565,0.883333333
21951965,0.92746114
22464113,0.959885387
22464120,0.504761905
22609796,0.927835052
22727427,0.959064327
23646936,0.947368421
23646938,informer
24180608,0.933649289
24856364,0.952861953
24896610,0.934883721
24949545,0.833333333
25023715,informer
25093474,0.935185185
25190921,0.930693069
25190924,0.931707317
25190926,0.937219731
25210971,0.950877193
25210972,0.951557093
25211574,informer
25218571,0.957446809
25218573,0.951890034
25218584,0.955835962
25218593,0.956521739
25218600,informer
25218601,informer
25218614,0.951388889
25218621,0.950704225
25263078,0.957055215
25263083,0.957957958
25263087,0.953947368
25263088,0.954248366
25263092,0.956656347
25263099,0.952380952
25263103,0.954098361
25263110,0.95221843
25263114,0.952054795
25263115,0.958083832
25263116,0.954397394
25263117,0.958456973
25263118,0.955128205
25263119,0.958579882
25263120,0.820512821
25263123,0.82278481
25263124,0.825
25263274,0.951724138
42618163,0.954545455
42618164,0.954692557
44329036,0.942622951
44386338,0.75862069
44396990,0.49
44397010,0.846153846
44397032,0.384615385
44397147,0.944664032
44397201,0.85106383
44397250,0.345454545
44397453,0.366666667
44397710,0.92
44410704,0.926701571
44418532,0.929648241
44418533,0.93
44418539,0.928571429
44418540,0.928205128
44418545,0.946153846
44418546,0.947169811
44418547,0.936363636
44418555,0.92893401
44418556,0.929292929
44418572,0.541666667
44431824,0.933014354
44433171,0.947761194
44433173,0.552
44532204,informer
44532523,0.958944282
44536036,0.641025641
44571414,0.952542373
44571435,0.956923077
44571449,0.952702703
44571453,0.955974843
44578253,0.953333333
44578254,0.953488372
44578255,0.957575758
44578401,0.957703927
44578425,0.957186544
44578563,0.953642384
44578672,0.953020134
44581222,0.951048951
44581245,informer
44581765,0.951219512
44587530,0.955696203
44589696,0.954983923
44593640,0.953177258
53239955,0.797101449
53239967,informer
53239978,0.787878788
53239984,0.774193548
53239985,0.770491803
53239988,0.869158879
56603966,0.2
56603973,0.916666667
56603975,0.906666667
56603980,0.876106195
56603987,0.914634146
56603995,0.228571429
56603997,0.9125
56604000,0.913580247
56604005,0.32
56604006,0.784615385
56604013,informer
56604020,0.95942029
56604024,0.911949686
56604030,0.88976378
56604034,informer
56604044,0.959183673
56604049,0.917159763
56657596,0.831325301
56667992,0.794117647
56667993,0.829268293
56681565,0.8
57390087,0.881355932
57391091,0.887096774
57391092,0.895522388
57391093,0.904761905
57391094,0.907894737
57391095,0.909677419
57391096,informer
57391097,0.916167665
