molid,CS
CID070683337,0.0526315789473685
CID053466951,0.1
CID044529279,0.14285714285714302
CID002787267,0.181818181818182
CID000000007,0.21739130434782605
CID044532438,0.25
CID025190912,0.28
CID011715767,0.307692307692308
CID009826528,0.33333333333333304
CID009926791,0.3571428571428571
CID006918454,0.379310344827586
CID025033539,0.4
CID005330286,0.419354838709677
CID011626560,0.4375
CID017754438,0.454545454545455
CID022049997,0.470588235294118
CID006450551,0.4857142857142861
CID010452739,0.5
CID023133388,0.5135135135135129
CID044305910,0.526315789473684
CID010173796,informer
CID000599038,0.538461538461538
CID000156414,0.0
CID044526070,0.55
CID044578566,0.5609756097560981
CID044529220,0.0
CID009836050,0.5714285714285711
CID056673516,informer
CID044526073,0.581395348837209
CID051354036,0.590909090909091
CID019879232,0.6
CID045269578,0.608695652173913
CID044525926,0.617021276595745
CID066561010,0.625
CID010287409,0.6326530612244899
CID006539606,0.64
CID053322416,0.647058823529412
CID006539572,0.653846153846154
CID060150509,0.660377358490566
CID051355190,0.666666666666667
CID010086873,0.672727272727273
CID044578630,0.6785714285714289
CID044525940,0.6842105263157889
CID025121268,0.6896551724137929
CID006539455,0.0
CID011427162,0.694915254237288
CID010161259,0.7
CID046215816,0.704918032786885
CID044526071,0.7096774193548392
CID057394915,0.7142857142857142
CID044525924,0.71875
CID023648890,informer
CID057396626,0.7230769230769231
CID010639924,0.7272727272727271
CID006539571,0.73134328358209
CID024802961,0.7352941176470591
CID044527361,0.7391304347826091
CID051356852,0.742857142857143
CID009865518,0.7464788732394371
CID044525957,0.75
CID044525958,0.753424657534247
CID044525921,0.756756756756757
CID022112846,0.76
CID044578709,0.763157894736842
CID006539398,0.7662337662337659
CID006539501,0.7692307692307689
CID053469449,0.772151898734177
CID024804781,informer
CID044527657,0.775
CID006539467,0.7777777777777779
CID045272980,0.780487804878049
CID044526099,0.0
CID044532720,0.783132530120482
CID006539613,0.7857142857142858
CID009958299,0.7882352941176469
CID044525953,0.790697674418605
CID044532478,0.793103448275862
CID044525486,0.795454545454545
CID009945516,0.797752808988764
CID011133737,0.8
CID006539498,0.802197802197802
CID006539465,0.804347826086957
CID044525974,0.806451612903226
CID056670156,informer
CID025263108,0.8085106382978721
CID053317178,0.8105263157894741
CID066561090,0.8125
CID011529890,0.8144329896907221
CID006539426,0.816326530612245
CID051356855,0.818181818181818
CID044529278,0.82
CID051354327,0.8217821782178221
CID024804298,0.823529411764706
CID044532690,0.8252427184466021
CID044525951,0.826923076923077
CID044529262,0.8285714285714291
CID005329826,informer
CID051357138,0.8301886792452831
CID011224168,0.8317757009345791
CID044279444,0.833333333333333
CID044525965,0.8348623853211009
CID006539512,0.0
CID044525922,0.836363636363636
CID046927672,0.837837837837838
CID006539475,0.8392857142857142
CID006539458,0.84070796460177
CID044525942,0.842105263157895
CID044532477,0.843478260869565
CID044397393,0.8448275862068969
CID044532737,0.8461538461538459
CID009901062,0.8474576271186439
CID044525967,0.8487394957983191
CID044525964,0.0
CID044571415,0.85
CID051356856,0.8512396694214879
CID044525935,0.852459016393443
CID044525954,0.853658536585366
CID044532446,0.854838709677419
CID071451677,0.856
CID044591845,0.857142857142857
CID044532526,0.858267716535433
CID044525930,0.859375
CID044525949,0.86046511627907
CID044525920,0.861538461538462
CID044525941,0.862595419847328
CID044397687,0.8636363636363641
CID005329477,0.864661654135338
CID009879605,0.865671641791045
CID009903786,0.866666666666667
CID053466728,0.867647058823529
CID009935852,0.868613138686131
CID006539477,0.8695652173913041
CID009880709,0.8705035971223021
CID000069689,0.8714285714285709
CID044525962,0.8723404255319149
CID009836405,0.873239436619718
CID010358578,0.8741258741258741
CID025263079,0.875
CID044525963,0.8758620689655171
CID015407403,0.8767123287671229
CID044525936,0.8775510204081629
CID044525952,0.0
CID006539519,0.878378378378378
CID006539416,0.879194630872483
CID006539591,0.88
CID046927597,informer
CID051354901,0.880794701986755
CID006539566,0.8815789473684209
CID011514099,0.882352941176471
CID044525932,0.8831168831168829
CID051354328,0.8838709677419359
CID000099545,0.8846153846153849
CID006539507,0.885350318471338
CID044526068,0.8860759493670891
CID044525931,0.886792452830189
CID025263105,0.8875
CID044532683,0.8881987577639749
CID044525948,0.8888888888888891
CID056673950,0.889570552147239
CID044525956,0.890243902439024
CID044525923,0.890909090909091
CID044525961,0.891566265060241
CID000005228,0.892215568862275
CID044525934,0.892857142857143
CID053469448,0.8934911242603549
CID053245731,0.8941176470588241
CID057401865,0.8947368421052628
CID006539452,0.895348837209302
CID009861063,0.895953757225433
CID024949702,0.8965517241379308
CID053467392,informer
CID044328970,0.897142857142857
CID044528968,0.8977272727272729
CID045270417,0.898305084745763
CID024803957,informer
CID044525945,0.8988764044943821
CID070685440,0.8994413407821229
CID045272982,0.9
CID045481463,0.900552486187845
CID044525955,0.9010989010989008
CID011595752,0.9016393442622952
CID006263849,0.902173913043478
CID006539550,0.902702702702703
CID044532432,0.9032258064516128
CID070683338,0.903743315508021
CID006539376,0.904255319148936
CID006539427,0.9047619047619052
CID044525972,0.9052631578947372
CID017917696,0.9057591623036648
CID057403579,0.90625
