molid,CS
CID070683337,0.81
CID053466951,0.8896103896103901
CID044529279,0.891025641025641
CID002787267,0.892405063291139
CID000000007,0.89375
CID044532438,0.818181818181818
CID025190912,0.825
CID011715767,0.8
CID009826528,0.8950617283950619
CID009926791,0.896341463414634
CID006918454,0.897590361445783
CID025033539,0.8
CID005330286,0.8988095238095241
CID011626560,0.9
CID017754438,0.901162790697674
CID022049997,0.902298850574713
CID006450551,0.9034090909090908
CID010452739,0.904494382022472
CID023133388,0.905555555555556
CID044305910,0.9065934065934068
CID010173796,informer
CID000599038,0.830769230769231
CID000156414,0.907608695652174
CID044526070,0.908602150537634
CID044578566,0.909574468085106
CID044529220,0.910526315789474
CID009836050,0.911458333333333
CID056673516,informer
CID044526073,0.912371134020619
CID051354036,0.913265306122449
CID019879232,0.8357142857142859
CID045269578,0.914141414141414
CID044525926,0.915
CID066561010,0.915841584158416
CID010287409,0.916666666666667
CID006539606,0.91747572815534
CID053322416,0.9182692307692312
CID006539572,0.84
CID060150509,0.919047619047619
CID051355190,0.84375
CID010086873,0.9198113207547168
CID044578630,0.920560747663551
CID044525940,0.921296296296296
CID025121268,0.8
CID006539455,0.922018348623853
CID011427162,0.922727272727273
CID010161259,0.923423423423423
CID046215816,0.924107142857143
CID044526071,0.924778761061947
CID057394915,0.847058823529412
CID044525924,0.925438596491228
CID023648890,informer
CID057396626,0.9260869565217392
CID010639924,0.926724137931034
CID006539571,0.927350427350427
CID024802961,0.927966101694915
CID044527361,0.9285714285714292
CID051356852,0.929166666666667
CID009865518,0.929752066115702
CID044525957,0.930327868852459
CID044525958,0.9308943089430892
CID044525921,0.931451612903226
CID022112846,0.932
CID044578709,0.932539682539683
CID006539398,0.933070866141732
CID006539501,0.85
CID053469449,0.93359375
CID024804781,informer
CID044527657,0.9341085271317828
CID006539467,0.934615384615385
CID045272980,0.852631578947368
CID044526099,0.935114503816794
CID044532720,0.9356060606060608
CID006539613,0.93609022556391
CID009958299,0.936567164179104
CID044525953,0.937037037037037
CID044532478,0.9375
CID044525486,0.937956204379562
CID009945516,0.9384057971014492
CID011133737,0.855
CID006539498,0.9388489208633092
CID006539465,0.9392857142857142
CID044525974,0.939716312056738
CID056670156,informer
CID025263108,0.857142857142857
CID053317178,0.9401408450704232
CID066561090,0.9405594405594409
CID011529890,0.940972222222222
CID006539426,0.941379310344828
CID051356855,0.941780821917808
CID044529278,0.942176870748299
CID051354327,0.859090909090909
CID024804298,0.942567567567568
CID044532690,0.942953020134228
CID044525951,0.943333333333333
CID044529262,0.9437086092715228
CID005329826,informer
CID051357138,0.9440789473684208
CID011224168,0.944444444444444
CID044279444,0.9448051948051948
CID044525965,0.9451612903225808
CID006539512,0.94551282051282
CID044525922,0.945859872611465
CID046927672,0.94620253164557
CID006539475,0.946540880503145
CID006539458,0.860869565217391
CID044525942,0.946875
CID044532477,0.9472049689440992
CID044397393,0.9475308641975309
CID044532737,0.9478527607361958
CID009901062,0.9481707317073172
CID044525967,0.948484848484848
CID044525964,0.9487951807228922
CID044571415,0.949101796407186
CID051356856,0.949404761904762
CID044525935,0.949704142011834
CID044525954,0.95
CID044532446,0.9502923976608192
CID071451677,0.9505813953488372
CID044591845,0.8625
CID044532526,0.9508670520231208
CID044525930,0.951149425287356
CID044525949,0.9514285714285708
CID044525920,0.951704545454545
CID044525941,0.951977401129944
CID044397687,0.952247191011236
CID005329477,0.9525139664804472
CID009879605,0.952777777777778
CID009903786,0.8640000000000001
CID053466728,0.953038674033149
CID009935852,0.9532967032967028
CID006539477,0.9535519125683058
CID009880709,0.953804347826087
CID000069689,0.954054054054054
CID044525962,0.9543010752688168
CID009836405,0.954545454545455
CID010358578,0.8653846153846151
CID025263079,0.866666666666667
CID044525963,0.9547872340425532
CID015407403,0.867857142857143
CID044525936,0.868965517241379
CID044525952,0.9550264550264548
CID006539519,0.9552631578947371
CID006539416,0.9554973821989532
CID006539591,0.955729166666667
CID046927597,informer
CID051354901,0.955958549222798
