molid,CS
CID000000007,0.7875
CID000003134,0.956743003
CID000005228,0.745454545
CID000069689,0.908108108
CID000099545,0.74
CID000129723,0.955497382
CID000156414,0.815217391
CID000156422,0.946540881
CID000221158,0.957178841
CID000227502,0.925438596
CID000253268,0.947692308
CID000309461,0.957286432
CID000447966,0.938181818
CID000599038,0.661538462
CID000667570,0.951289398
CID000838889,0.952513966
CID001489204,0.939285714
CID001491157,0.956521739
CID002409198,0.94637224
CID002787267,0.784810127
CID005311382,informer
CID005329477,0.905027933
CID005329481,0.947368421
CID005329826,informer
CID005329841,informer
CID005330286,0.797619048
CID006263849,0.921658986
CID006450551,0.806818182
CID006538884,0.758139535
CID006539376,0.922727273
CID006539394,0.928870293
CID006539398,0.866141732
CID006539416,0.910994764
CID006539426,0.882758621
CID006539427,0.923076923
CID006539428,0.947040498
CID006539452,0.748571429
CID006539455,0.844036697
CID006539458,0.72173913
CID006539461,0.937956204
CID006539463,0.954545455
CID006539465,0.878571429
CID006539467,0.869230769
CID006539470,0.953929539
CID006539472,0.763265306
CID006539473,0.6
CID006539475,0.893081761
CID006539477,0.907103825
CID006539480,0.933333333
CID006539481,0.948484848
CID006539486,0.935606061
CID006539492,0.770491803
CID006539496,0.944983819
CID006539498,0.877697842
CID006539501,0.7
CID006539504,0.945686901
CID006539506,0.764
CID006539507,0.914141414
CID006539509,0.927350427
CID006539512,0.891025641
CID006539513,0.9390681
CID006539516,0.93385214
CID006539519,0.910526316
CID006539523,0.931726908
CID006539524,0.950581395
CID006539525,0.759090909
CID006539528,0.954787234
CID006539529,0.950867052
CID006539550,0.922018349
CID006539565,0.935114504
CID006539566,0.912371134
CID006539569,0.949852507
CID006539571,0.854700855
CID006539572,0.68
CID006539578,0.934615385
CID006539579,0.949253731
CID006539582,0.924444444
CID006539587,0.943708609
CID006539588,0.953804348
CID006539591,0.911458333
CID006539602,0.938848921
CID006539605,0.939929329
CID006539606,0.834951456
CID006539609,0.951428571
CID006539610,0.942176871
CID006539613,0.872180451
CID006539615,0.948012232
CID006918454,0.795180723
CID009814925,0.94295302
CID009826528,0.790123457
CID009836050,0.822916667
CID009836051,0.941979522
CID009836405,0.909090909
CID009861063,0.918660287
CID009865518,0.859504132
CID009879605,0.905555556
CID009880709,0.907608696
CID009888013,0.951566952
CID009901062,0.896341463
CID009903786,0.728
CID009914412,0.933070866
CID009923028,0.940350877
CID009925372,0.931451613
CID009925594,0.932539683
CID009926791,0.792682927
CID009929101,0.936329588
CID009935852,0.906593407
CID009945516,0.876811594
CID009945696,0.773529412
CID009958299,0.873134328
CID010028480,0.768965517
CID010086873,0.839622642
CID010135552,0.955026455
CID010151417,informer
CID010158539,0.951704545
CID010161259,0.846846847
CID010173796,informer
CID010183216,0.772727273
CID010186009,0.948795181
CID010186182,0.765384615
CID010239038,informer
CID010267580,0.943894389
CID010278843,0.937269373
CID010286382,0.932270916
CID010287409,0.833333333
CID010310395,informer
CID010358578,0.730769231
CID010452739,0.808988764
CID010595057,0.942760943
CID010621826,0.951977401
CID010639924,0.853448276
CID010757558,0.775342466
CID011057468,0.757142857
