molid,AS
CID024803957,0.8
CID049862644,0.8
CID015872399,0.8
CID010028480,0.8
CID049862783,0.8
CID010757558,0.8
CID044532438,0.80952380952381
CID011715767,0.816666666666667
CID000599038,0.8222222222222221
CID019879232,0.826666666666667
CID044525926,0.83030303030303
CID046215816,0.833333333333333
CID006539458,0.8358974358974358
CID009935852,0.8380952380952379
CID006539591,0.84
CID025263105,0.841666666666667
CID006539525,0.8431372549019609
CID053469453,0.844444444444444
CID025263084,0.8456140350877192
CID006539473,0.846666666666667
CID010186182,0.8476190476190479
CID044532978,0.8484848484848492
CID025190914,0.8492753623188409
CID051356853,0.85
CID021078798,0.850666666666667
CID009888013,0.8512820512820509
CID011495551,0.8518518518518521
CID011633551,0.8523809523809521
CID053466951,0.855172413793103
CID025190912,0.8577777777777779
CID025033539,0.8602150537634409
CID011626560,0.8625
CID044526070,0.864646464646465
CID051354036,0.866666666666667
CID010287409,0.8685714285714291
CID051355190,0.87037037037037
CID025121268,0.872072072072072
CID057394915,0.8736842105263158
CID024802961,0.8752136752136751
CID051356852,0.876666666666667
CID044578709,0.878048780487805
CID044526099,0.8793650793650791
CID044525486,0.88062015503876
CID044525974,0.8818181818181821
CID025263108,0.882962962962963
CID051356855,0.8840579710144929
CID051354327,0.885106382978723
CID051357138,0.8861111111111108
CID044532737,0.8870748299319731
CID051356856,0.888
CID044532526,0.8888888888888891
CID044397687,0.8897435897435899
CID009903786,0.8905660377358492
CID000069689,0.8913580246913579
CID010358578,0.892121212121212
CID025263079,0.892857142857143
CID044525936,0.8935672514619879
CID044525952,0.8942528735632179
CID046927597,0.8949152542372879
CID011514099,0.895555555555556
CID051354328,0.896174863387978
CID044525956,0.8967741935483872
CID000005228,0.897354497354497
CID053469448,0.897916666666667
CID006539452,0.898461538461538
CID044528968,0.898989898989899
CID045272982,0.8995024875621891
CID044525955,0.9
CID006263849,0.9004830917874399
CID070683338,0.9009523809523811
CID006539427,0.901408450704225
CID044525972,0.9018518518518521
CID017917696,0.9022831050228309
CID057403579,0.902702702702703
CID010239038,0.9031111111111109
CID006539582,0.9035087719298249
CID044526076,0.903896103896104
CID000227502,0.9042735042735041
CID022185475,0.90464135021097
CID011057468,0.905
CID006538884,0.905349794238683
CID044525968,0.9056910569105691
CID044269265,0.906024096385542
CID046215644,0.906349206349206
CID044532450,0.9066666666666671
CID044479934,0.906976744186047
CID044525925,0.90727969348659
CID009925594,0.9075757575757579
CID021027446,0.9078651685393259
CID006539472,0.9081481481481479
CID006539506,0.908424908424908
CID044529229,0.908695652173913
CID044433573,0.908960573476703
CID006539513,0.9092198581560279
CID009923028,0.9094736842105259
CID051356854,0.9097222222222221
CID044525946,0.909965635738832
CID044306199,0.910204081632653
CID057396627,0.9104377104377099
CID046214650,0.9106666666666671
CID006539504,0.9108910891089108
CID000253268,0.9111111111111109
CID044305551,0.911326860841424
CID053469824,0.9115384615384621
CID044525938,0.911746031746032
CID044532997,0.9119496855345909
CID051356289,0.91214953271028
CID044397192,0.912345679012346
CID044525950,0.912538226299694
CID044526078,0.9127272727272729
CID006539492,0.912912912912913
CID046215814,0.913095238095238
CID044397011,0.9132743362831859
CID044592502,0.913450292397661
CID006539609,0.913623188405797
CID044591552,0.9137931034482759
CID000838889,0.913960113960114
CID044529114,0.914124293785311
CID070691776,0.9142857142857141
CID009945696,0.9144444444444441
CID025263100,0.9146005509641871
CID006539588,0.9147540983606559
CID044526922,0.914905149051491
CID046886665,0.9150537634408599
CID006539463,0.9152
CID044397230,0.9153439153439151
CID005329841,0.915485564304462
CID051357954,0.915625
CID066561013,0.9157622739018092
CID025263085,0.9158974358974359
CID025263102,0.916030534351145
CID053469634,0.916161616161616
CID000003134,0.9162907268170429
CID051357696,0.916417910447761
CID057391365,0.916543209876543
CID000309461,0.916666666666667
CID011959683,0.916788321167883
CID070683337,0.9173913043478259
CID044529279,0.9179856115107908
CID002787267,0.9185714285714291
CID000000007,0.9191489361702131
CID009826528,0.9197183098591549
CID009926791,0.9202797202797199
CID005330286,0.920833333333333
CID017754438,0.9213793103448281
CID006450551,0.921917808219178
CID010452739,0.922448979591837
CID023133388,0.922972972972973
CID044305910,0.923489932885906
CID000156414,0.924
CID044578566,0.9245033112582779
CID009836050,0.925
CID044526073,0.9254901960784309
CID045269578,0.9259740259740259
CID066561010,0.926451612903226
CID006539606,0.926923076923077
CID053322416,0.927388535031847
CID006539572,0.927848101265823
CID060150509,0.928301886792453
CID010086873,0.92875
CID044578630,0.929192546583851
CID044525940,0.92962962962963
CID006539455,0.9300613496932509
CID011427162,0.930487804878049
CID010161259,0.9309090909090909
CID044526071,0.931325301204819
CID044525924,0.9317365269461079
CID057396626,0.932142857142857
CID010639924,0.932544378698225
CID006539571,0.932941176470588
CID044527361,0.933333333333333
CID009865518,0.933720930232558
CID044525957,0.934104046242775
CID044525958,0.93448275862069
CID044525921,0.9348571428571429
CID022112846,0.9352272727272729
CID006539398,0.935593220338983
CID053469449,0.935955056179775
CID044527657,0.936312849162011
CID006539467,0.936666666666667
CID045272980,0.937016574585635
CID044532720,0.937362637362637
CID006539613,0.937704918032787
CID009958299,0.93804347826087
CID044525953,0.938378378378378
CID044532478,0.938709677419355
CID009945516,0.9390374331550799
CID011133737,0.93936170212766
CID006539498,0.93968253968254
CID006539465,0.94
CID056670156,0.940314136125654
CID053317178,0.940625
CID066561090,0.940932642487047
CID011529890,0.9412371134020621
CID006539426,0.941538461538462
CID044529278,0.941836734693878
CID024804298,0.9421319796954308
CID044532690,0.942424242424242
CID044525951,0.9427135678391959
CID044529262,0.943
CID011224168,0.943283582089552
CID044279444,0.9435643564356441
CID044525965,0.9438423645320201
CID006539512,0.9441176470588242
CID044525922,0.944390243902439
CID006539475,0.9446601941747571
CID044525942,0.9449275362318841
CID044532477,0.945192307692308
CID044397393,0.945454545454545
CID009901062,0.9457142857142858
CID044525967,0.945971563981043
CID044525964,0.94622641509434
CID044571415,0.946478873239437
CID044525935,0.9467289719626171
CID044525954,0.9469767441860458
CID044532446,0.9472222222222221
CID071451677,0.947465437788018
CID044591845,0.9477064220183492
CID044525930,0.947945205479452
CID044525949,0.948181818181818
CID044525920,0.94841628959276
CID044525941,0.9486486486486491
CID005329477,0.9488789237668159
CID009879605,0.949107142857143
CID053466728,0.949333333333333
CID006539477,0.9495575221238941
CID009880709,0.949779735682819
CID044525962,0.95
CID009836405,0.950218340611354
