"coding_CID" "coding_FDR" "as_CID" "as_FDR"
"1" "CID011715767" 0.8 "CID024803957" 0.8
"2" "CID025033539" 0.8 "CID049862644" 0.8
"3" "CID025121268" 0.8 "CID015872399" 0.8
"4" "CID044525968" 0.8 "CID010028480" 0.8
"5" "CID006539473" 0.8 "CID049862783" 0.8
"6" "CID049862644" 0.8 "CID010757558" 0.8
"7" "CID015872399" 0.8 "CID044532438" 0.80952380952381
"8" "CID044532997" 0.8 "CID011715767" 0.816666666666667
"9" "CID044526922" 0.8 "CID000599038" 0.822222222222222
"10" "CID070683337" 0.81 "CID019879232" 0.826666666666667
"11" "CID044532438" 0.818181818181818 "CID044525926" 0.83030303030303
"12" "CID025190912" 0.825 "CID046215816" 0.833333333333333
"13" "CID000599038" 0.830769230769231 "CID006539458" 0.835897435897436
"14" "CID019879232" 0.835714285714286 "CID009935852" 0.838095238095238
"15" "CID006539572" 0.84 "CID006539591" 0.84
"16" "CID051355190" 0.84375 "CID025263105" 0.841666666666667
"17" "CID057394915" 0.847058823529412 "CID006539525" 0.843137254901961
"18" "CID006539501" 0.85 "CID053469453" 0.844444444444444
"19" "CID045272980" 0.852631578947368 "CID025263084" 0.845614035087719
"20" "CID011133737" 0.855 "CID006539473" 0.846666666666667
"21" "CID025263108" 0.857142857142857 "CID010186182" 0.847619047619048
"22" "CID051354327" 0.859090909090909 "CID044532978" 0.848484848484849
"23" "CID006539458" 0.860869565217391 "CID025190914" 0.849275362318841
"24" "CID044591845" 0.8625 "CID051356853" 0.85
"25" "CID009903786" 0.864 "CID021078798" 0.850666666666667
"26" "CID010358578" 0.865384615384615 "CID009888013" 0.851282051282051
"27" "CID025263079" 0.866666666666667 "CID011495551" 0.851851851851852
"28" "CID015407403" 0.867857142857143 "CID011633551" 0.852380952380952
"29" "CID044525936" 0.868965517241379 "CID053466951" 0.855172413793103
"30" "CID000099545" 0.87 "CID025190912" 0.857777777777778
"31" "CID025263105" 0.870967741935484 "CID025033539" 0.860215053763441
"32" "CID044525956" 0.871875 "CID011626560" 0.8625
"33" "CID000005228" 0.872727272727273 "CID044526070" 0.864646464646465
"34" "CID053469448" 0.873529411764706 "CID051354036" 0.866666666666667
"35" "CID006539452" 0.874285714285714 "CID010287409" 0.868571428571429
"36" "CID044328970" 0.875 "CID051355190" 0.87037037037037
"37" "CID070685440" 0.875675675675676 "CID025121268" 0.872072072072072
"38" "CID045272982" 0.876315789473684 "CID057394915" 0.873684210526316
"39" "CID070683338" 0.876923076923077 "CID024802961" 0.875213675213675
"40" "CID044525972" 0.8775 "CID051356852" 0.876666666666667
"41" "CID044526076" 0.878048780487805 "CID044578709" 0.878048780487805
"42" "CID011057468" 0.878571428571429 "CID044526099" 0.879365079365079
"43" "CID006538884" 0.87906976744186 "CID044525486" 0.88062015503876
"44" "CID006539525" 0.879545454545455 "CID044525974" 0.881818181818182
"45" "CID044479934" 0.88 "CID025263108" 0.882962962962963
"46" "CID044525925" 0.880434782608696 "CID051356855" 0.884057971014493
"47" "CID053469453" 0.880851063829787 "CID051354327" 0.885106382978723
"48" "CID025263084" 0.88125 "CID051357138" 0.886111111111111
"49" "CID006539472" 0.881632653061225 "CID044532737" 0.887074829931973
"50" "CID006539506" 0.882 "CID051356856" 0.888
"51" "CID044529229" 0.882352941176471 "CID044532526" 0.888888888888889
"52" "CID010186182" 0.882692307692308 "CID044397687" 0.88974358974359
"53" "CID044306199" 0.883018867924528 "CID009903786" 0.890566037735849
"54" "CID057396627" 0.883333333333333 "CID000069689" 0.891358024691358
"55" "CID044305551" 0.883636363636364 "CID010358578" 0.892121212121212
"56" "CID025190914" 0.883928571428571 "CID025263079" 0.892857142857143
"57" "CID051356853" 0.884210526315789 "CID044525936" 0.893567251461988
"58" "CID010028480" 0.88448275862069 "CID044525952" 0.894252873563218
"59" "CID044525950" 0.884745762711864 "CID046927597" 0.894915254237288
"60" "CID044526078" 0.885 "CID011514099" 0.895555555555556
"61" "CID006539492" 0.885245901639344 "CID051354328" 0.896174863387978
"62" "CID046215814" 0.885483870967742 "CID044525956" 0.896774193548387
"63" "CID044397011" 0.885714285714286 "CID000005228" 0.897354497354497
"64" "CID049862783" 0.8859375 "CID053469448" 0.897916666666667
