molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
5034,0.9204545454549999,338,-0.011622084129307,0.941176470588,349,-0.058601893602064,-1.933125,0.8577981651376151,0.9085648148148148
448008,informer,informer,informer,0.865168539326,266,-0.10689147147928897,-2.021875,0.75,0.8769470404984421
449054,0.896551724138,299,-0.012339498276807996,0.845238095238,200,-0.13010069686386802,0.075,0.848039215686274,0.904589371980676
453216,0.9204545454549999,337,-0.015955100540986998,0.883720930233,312,-0.088943205380424,-5.365625,0.932314410480349,0.946476964769648
579429,0.898876404494,304,-0.02904895509073,0.911764705882,337,-0.068287590216913,-0.57375,0.944444444444444,0.954282407407407
599038,0.853658536585,162,-0.013236805332896997,0.61038961039,17,-0.190448443013226,-15.35938,0.941729323308271,0.952121212121212
766948,0.8777777777779999,245,-0.032195176030239,0.871287128713,237,-0.08249477866059499,0.16875,0.927906976744186,0.943971631205674
766949,informer,informer,informer,0.873786407767,245,-0.08389673544555501,-0.845625,0.9272300469483572,0.943490701001431
5329404,0.910256410256,327,-0.011955772091529003,0.853333333333,222,-0.11378434335398496,-2.3225,0.93921568627451,0.9508706467661692
5329489,0.864077669903,201,-0.017349079113465,0.865384615385,229,-0.12375125191795203,-3.130625,0.953592814371258,0.9610453648915191
5329801,0.864197530864,203,-0.013953923062299999,0.8709677419349999,233,-0.12046653765854505,-1.22,0.914835164835165,0.9354575163398692
5329802,0.835443037975,97,-0.016028288485557,0.858695652174,177,-0.12891357496480998,0.71375,0.942379182156134,0.952637889688249
5329829,0.82,62,-0.018367567410029,informer,informer,informer,informer,0.864035087719298,informer
5329831,0.854368932039,166,-0.018945252853357,0.7979797979800001,82,-0.165866083508218,-3.285625,0.872950819672131,0.913943355119826
5329849,0.8928571428569999,289,-0.013796041087191003,0.8101265822779999,96,-0.143900434973256,-6.571875,0.9138888888888892,0.9348184818481852
5329850,0.8953488372089999,297,-0.013461512688536001,0.8571428571430001,242,-0.11919228393356897,-2.940625,0.914364640883978,0.935139573070608
5329853,0.83950617284,113,-0.015305293246241004,0.8414634146340001,176,-0.14972298326464994,-2.09,0.772058823529412,0.8834808259587019
5329854,informer,informer,informer,0.845238095238,202,-0.13526075763170803,-0.096875,0.947811447811448,0.956401766004415
5329855,0.813186813187,51,-0.016706015037598,0.8691588785050001,227,-0.12101879288111601,-0.966875,0.9375,0.9497455470737908
5329857,0.8279569892470001,79,-0.016320700210937997,0.854166666667,230,-0.131218958835355,-2.219375,0.8402061855670101,0.901002506265664
5329860,0.8279569892470001,80,-0.016036590586228,0.854166666667,232,-0.13395414204804001,-0.666875,0.796052631578947,0.889355742296919
5329861,0.829787234043,84,-0.017030140868737997,0.8556701030930001,239,-0.12873157622307196,-3.69875,0.841836734693878,0.901741293532338
5329868,0.8210526315790001,68,-0.018695000000000996,0.863636363636,201,-0.125926294665802,-2.923125,0.91340782122905,0.934494195688226
5329875,0.824742268041,75,-0.017271849859975996,0.85,167,-0.13621474085555801,-0.87125,0.942164179104478,0.9524669073405542
5482344,0.848101265823,148,-0.014180245971420001,informer,informer,informer,13.0,informer,0.8308080808080809
5793317,0.924731182796,345,-0.011046365449877003,0.8901098901100001,330,-0.102249649346715,1.45,0.935146443514644,0.948567708333333
6518526,0.8043478260870001,36,-0.016275770618306,0.867346938776,275,-0.136679237050991,-2.06875,0.787671232876712,0.7592592592592591
6539046,0.898876404494,305,-0.014184406594136997,0.9,321,-0.097784928664182,-1.638125,0.9452296819787992,0.954908675799087
6539047,informer,informer,informer,0.9130434782610001,348,-0.08462619956302697,-3.73125,0.934042553191489,0.947751322751323
6539049,0.932038834951,349,-0.012710719447175,0.878787878788,308,-0.10470235220941698,-1.35,0.933476394849785,0.947333333333333
6539056,0.918367346939,335,-0.012100648694654,0.9181818181820001,347,-0.09120663657786897,informer,0.9345991561181428,0.9481627296587928
6539075,0.927083333333,348,-0.012084138596686,0.905263157895,344,-0.08520379280701201,-0.999375,0.936213991769547,0.948966408268734
6539081,0.88,252,-0.016088127729883002,0.8938053097349999,301,-0.098322802698746,informer,informer,informer
6539085,0.8878504672900001,282,-0.01425739021197,0.888888888889,328,-0.10390036500954501,-7.715,0.935684647302905,0.948767833981842
6539086,0.878504672897,246,-0.014961443539943005,0.8691588785050001,288,-0.11784551213293398,-4.02,0.935416666666667,0.727564102564103
6539087,0.893203883495,290,-0.016630066437891,0.894230769231,327,-0.10514100802554402,-7.213125,0.935950413223141,0.7314814814814808
6539089,0.8823529411759999,268,-0.015539028023313,0.894230769231,309,-0.10566732512390106,-1.725,0.945993031358885,0.741666666666667
6539093,0.904255319149,317,-0.011427464374602996,0.893617021277,334,-0.10075090753751298,0.845625,0.934873949579832,0.948366013071895
6539097,0.924731182796,346,-0.011821699679407003,0.902173913043,340,-0.097164065118016,-1.401875,0.905487804878049,0.930701754385965
6539099,0.925531914894,347,-0.012188110129500994,0.903225806452,342,-0.09342183701129897,-1.660625,0.904907975460123,0.930335097001764
6539107,0.9072164948450001,321,-0.012610273680243998,informer,informer,informer,-4.596875,informer,0.7233333333333329
6539108,0.9072164948450001,322,-0.012629504342806994,informer,informer,informer,-6.199375,informer,0.53125
6539361,informer,informer,informer,0.44117647058799997,2,-0.37524050767995504,-5.6625,0.85377358490566,0.4861111111111111
6539364,0.89247311828,288,-0.011700415226403,0.44776119403000003,4,-0.346342999559229,-1.9025,0.9406130268199228,0.8357142857142859
6539369,0.9072164948450001,323,-0.011126221353176995,0.426470588235,0,-0.351299929274538,-5.818125,0.94106463878327,0.575
6539382,0.814432989691,52,-0.015235554456889002,0.53164556962,12,-0.308291446679461,-0.423125,0.846534653465347,0.9038929440389292
6539385,0.8105263157889999,43,-0.015343580391491004,0.538461538462,16,-0.31058286289691006,-4.09375,0.941509433962264,0.9519464720194648
6539390,0.7959183673469999,30,-0.014669571415565,0.583333333333,28,-0.29491682417963205,-1.8775,0.8652173913043479,0.911633109619687
6539397,0.8453608247419999,137,-0.015011900016524003,0.5324675324679999,14,-0.29680057600484,-0.435625,0.873983739837398,0.914502164502164
6539409,0.895238095238,296,-0.013473639890589001,0.607142857143,32,-0.254486344622266,2.0,0.38888888888888895,0.4166666666666671
6539411,0.8061224489800001,39,-0.01585316808139,0.595238095238,30,-0.27588444913135707,-1.4125,0.4464285714285711,0.778455284552846
6539412,0.8367346938779999,102,-0.015058514263259002,0.614457831325,34,-0.265858532661792,-3.719375,0.947098976109215,0.9561111111111108
6539413,0.787878787879,26,-0.015647135332021,0.542168674699,18,-0.294207720681342,-0.925,0.86864406779661,0.91280353200883
6539414,0.854368932039,167,-0.013093203242038002,0.616279069767,36,-0.264894036958212,-0.78625,0.4666666666666671,0.661458333333333
6539417,0.86,186,-0.014508769822696003,0.58024691358,24,-0.26500493357399496,-0.87375,0.867521367521368,0.912222222222222
6539418,0.8666666666670001,212,-0.013204838092471,0.5714285714289999,22,-0.27096133012330903,-6.6525,0.850961538461538,0.9059523809523812
6539422,0.8691588785050001,218,-0.012511546189940999,0.581395348837,26,-0.26469776028005704,-0.524375,0.621212121212121,0.837962962962963
6539424,0.895833333333,298,-0.012182848778190002,0.6625,42,-0.22683331294927406,-0.965625,0.870833333333333,0.787878787878788
6539430,0.8367346938779999,103,-0.014813734111319999,0.662790697674,44,-0.230596702028937,-2.324375,0.4,0.590909090909091
6539439,0.8679245283020001,216,-0.012849416747707003,0.655555555556,40,-0.226574460529526,-2.106875,0.861607142857143,0.910430839002268
6539440,0.875,240,-0.014693974583876999,0.717647058824,50,-0.20285697033689498,-3.4175,0.3,0.38888888888888895
6539451,0.923076923077,344,-0.012023762354137003,0.910112359551,333,-0.084422693819024,-4.83,0.939922480620155,0.951234567901235
6539453,0.85,152,-0.014600942460307001,0.8928571428569999,305,-0.10749629439876802,-6.86375,0.741666666666667,0.874603174603175
6539466,0.896551724138,301,-0.014553007072205002,0.872093023256,296,-0.10472798637203998,-3.67375,0.765151515151515,0.881381381381381
6539478,0.898876404494,306,-0.014338259434102,0.875,300,-0.10022859367081902,-0.824375,0.7578125,0.879204892966361
6539482,0.894117647059,291,-0.014231784922868997,0.8953488372089999,313,-0.09823926622094104,-2.824375,0.7539682539682541,0.878086419753086
6539487,0.9148936170209999,332,-0.012782697937226004,0.915094339623,343,-0.08113824387307506,-1.433125,0.940384615384615,0.951593137254902
6539502,0.922222222222,342,-0.015019255218227,0.886363636364,322,-0.09420529806227002,0.78125,0.761538461538461,0.88030303030303
6539521,0.922222222222,343,-0.012215928167905999,0.886363636364,324,-0.086252420791361,-1.295,0.745901639344262,0.875786163522013
6539522,0.863636363636,199,-0.014167941073297,0.865168539326,270,-0.11707617295256201,-2.58,0.94015444015444,0.951414514145141
6539567,0.83908045977,112,-0.018413278284568,0.879120879121,299,-0.11307086978383402,-0.990625,0.9458041958041958,0.955367231638418
6539574,0.8804347826090001,258,-0.016796871823415993,0.8695652173909999,290,-0.10787974896915603,-17.795,0.9308035714285708,0.94536652835408
6539584,0.865979381443,209,-0.016641811367994003,0.8064516129029999,92,-0.140017950728752,-5.17625,0.9311111111111108,0.945592286501377
6539592,0.865168539326,205,-0.016940605359777997,0.85393258427,228,-0.11708749998766602,-1.98875,0.66304347826087,0.855311355311355
6539593,informer,informer,informer,0.873563218391,293,-0.10743227720995897,-1.4025,0.945035460992908,0.95475372279496
6539597,0.8666666666670001,213,-0.017899897617629,0.89247311828,332,-0.09296522067631,-0.90625,0.683673469387755,0.8599290780141841
6539598,0.846153846154,142,-0.019055563312432,0.8842105263160001,314,-0.10057848703744596,0.49,0.945422535211268,0.955062571103527
6539599,0.86170212766,188,-0.018582733387885,0.863157894737,262,-0.10929328027630901,0.801875,0.677083333333333,0.8584229390681
6539600,0.8695652173909999,220,-0.017918246474392,0.858695652174,250,-0.108124487951821,-1.55625,0.6702127659574469,0.856884057971015
6539603,0.8695652173909999,221,-0.019684067525834,0.8709677419349999,294,-0.10364290098469002,-1.245625,0.93141592920354,0.945816186556927
6539607,0.858823529412,182,-0.020903448912073002,0.873563218391,298,-0.10111024472374898,-3.4725,0.9465517241379308,0.955816554809843
6539611,0.8723404255320001,228,-0.016155700647437994,0.8369565217389999,164,-0.131920628245838,-1.1675,0.9456140350877192,0.955215419501134
6539617,0.9010989010989999,310,-0.015834384013731002,0.8777777777779999,304,-0.10604336136872701,1.318125,0.696078431372549,0.8628472222222221
6539620,0.887640449438,278,-0.015939951086498004,0.876404494382,302,-0.109440085823276,-1.545,0.69,0.8614035087719301
6539751,0.865168539326,206,-0.017312501650987997,0.840909090909,174,-0.13050259292551603,-1.65875,0.845,0.9031862745098042
6603857,0.8453608247419999,138,-0.015685683665898002,0.8105263157889999,98,-0.15330693468730805,-0.6925,0.375,0.738505747126437
9604911,0.8421052631579999,126,-0.015947564217384004,0.84375,188,-0.15063579614444103,-3.005625,0.938976377952756,informer
9604912,0.854166666667,164,-0.016729983178662,0.867346938776,282,-0.13100087745732,-2.570625,0.917989417989418,0.937598736176935
9604915,0.8152173913040001,54,-0.015913696748473996,0.865979381443,280,-0.13193043537517296,-2.270625,0.9157608695652172,0.936084142394822
9604922,0.833333333333,93,-0.015713786573826,0.835051546392,152,-0.15245361885555603,0.35,0.955459770114943,0.962164750957854
9604926,0.872549019608,230,-0.015458791193837999,0.84,172,-0.14375264743534902,-3.0325,0.955331412103746,0.962055715658021
9604940,0.8369565217389999,105,-0.014814848183879004,0.8387096774189999,170,-0.15269256154830302,-1.3925,0.938735177865613,0.950686641697878
9604943,0.829787234043,85,-0.016966618519164,0.84375,190,-0.15368841839608402,-2.69625,0.954941860465116,0.9618357487922712
9604948,0.8367346938779999,104,-0.015522972091562998,0.8613861386139999,258,-0.14293516085869304,-2.405,0.955202312138728,0.9619460500963392
9604958,0.8404255319149999,117,-0.014973687079747004,0.8421052631579999,184,-0.154836658670372,-2.21125,0.9384920634920628,0.950501253132832
9604970,0.8421052631579999,127,-0.016643602155350004,0.861111111111,187,-0.133718136924779,0.845,0.9476351351351352,0.9562569213732
9800117,0.876288659794,241,-0.013980645866420002,0.829787234043,140,-0.13072541638386298,-2.9275,0.9367346938775508,0.949358974358974
9822610,0.8723404255320001,229,-0.013253562813863995,informer,informer,informer,-3.145625,0.95016077170418,0.7547619047619051
9826308,informer,informer,informer,0.8165137614679999,57,-0.14735253889884004,-0.53,0.9528875379939208,0.960341365461847
9827373,0.81914893617,61,-0.015915240637478,0.891089108911,323,-0.10556912016690798,-0.481875,0.7753623188405799,0.8845029239766079
9857146,0.865853658537,208,-0.017244326448043003,0.867469879518,279,-0.11383961751684199,-6.07375,0.95141065830721,0.959236326109391
9858084,0.879518072289,248,-0.016625941971966998,0.853658536585,224,-0.121477943562921,-2.33625,0.943430656934307,0.9534746760895172
9858662,0.9213483146070001,340,-0.012646082038059,0.8977272727269999,336,-0.08610037928626199,1.1975,0.8109756097560981,0.894666666666667
9873849,0.8595041322310001,183,-0.021517139003095993,0.860655737705,207,-0.12293303944026299,0.745,0.943840579710145,0.9538011695906428
9885504,0.879120879121,247,-0.015347273266248997,0.8681318681319999,284,-0.10259070633936801,1.484375,0.7327586206896551,0.872168284789644
9890357,0.841584158416,123,-0.017938086132797997,0.865384615385,274,-0.11778392241971203,-6.085,0.938,0.9501262626262628
9901444,0.912087912088,330,-0.013921083894226,0.9010989010989999,338,-0.09082012729449204,-1.616875,0.8132530120481931,0.895502645502645
9901964,informer,informer,informer,0.845238095238,204,-0.138898725783852,-2.9225,0.9153005464480872,0.935772357723577
9910722,informer,informer,informer,0.851063829787,216,-0.114783995263937,-3.3425,0.933189655172414,0.9471218206157972
9917474,0.862068965517,189,-0.020443297841468,0.858267716535,171,-0.11786863179871399,-0.315625,0.6129032258064521,0.8320895522388059
9922527,0.867469879518,215,-0.014120872654706997,0.869047619048,285,-0.114917226428457,-1.620625,0.8434343434343431,0.9024691358024692
9926067,0.910112359551,326,-0.013106675949492996,0.860465116279,254,-0.10551263323099998,-3.133125,0.8086419753086421,0.8938172043010749
9927432,0.863636363636,200,-0.015307476039434002,0.8777777777779999,306,-0.10545670130016699,informer,0.9282407407407408,informer
9944269,0.903225806452,315,-0.013557102261642003,0.8804347826090001,310,-0.09936579232245196,-1.795,0.80625,0.892953929539295
9947709,0.844444444444,133,-0.015076785704853997,0.820224719101,114,-0.13912991811760397,0.669375,0.9077380952380948,0.93213058419244
9951300,0.8842105263160001,275,-0.015061311323345997,0.844660194175,123,-0.128345155597016,-1.61875,0.932608695652174,0.946693657219973
10113568,0.8453608247419999,136,-0.020031593718254005,0.8425925925929999,109,-0.14438883215272363,1.290625,0.9298642533936652,0.944909344490934
10125875,0.902173913043,313,-0.011797403938910003,0.56338028169,20,-0.28310629708859997,-1.9325,0.952599388379205,0.96010101010101
10133732,0.9019607843140001,311,-0.013829337679722997,0.7978723404260001,78,-0.14060650834853294,-0.938125,0.8663793103448281,0.781746031746032
10158653,0.8404255319149999,115,-0.020609444812168004,0.859813084112,181,-0.11113700347045902,-4.876875,0.933760683760684,0.9475431606905708
10160775,0.8571428571430001,170,-0.021379957805883996,0.8425925925929999,111,-0.12641487906737003,-1.16125,0.929545454545455,0.9446778711484592
10171618,0.881720430108,261,-0.011728053089436998,0.670886075949,48,-0.217116218063404,-1.42875,0.954545454545455,0.961613216715258
10173796,0.841584158416,122,-0.013453885162790998,informer,informer,informer,-66.5349,informer,informer
10193464,0.92,336,-0.008943536143594,0.6375,38,-0.21988916764128605,-1.915625,0.9518633540372672,0.95948717948718
