molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
5034,0.880597014925,296,-0.184830808094889,0.785714285714,38,-0.533572130784239,-7.99125,0.899606299,0.852631579
448008,informer,informer,informer,0.860759493671,104,-0.53018738838104,-8.35625,0.864361702,0.735849057
449054,0.618181818182,8,-0.403914169234239,0.821917808219,132,-0.53973965430659,-40.35,0.896341463,0.844444444
453216,0.828125,178,-0.245563575465789,0.910256410256,338,-0.38850245177061,-7.34875,0.945974576,0.936651584
579429,0.945945945946,348,-0.137309174431199,0.871794871795,133,-0.4681804064186,-4.6925,0.953971119,0.947565543
599038,0.861538461538,260,-0.24877318494263,0.88,301,-0.42958617964309,-4.14875,0.825870647,0.612121212
766948,0.92,347,-0.153911221486669,0.890243902439,211,-0.43286643747549,-2.335,0.943333333,0.933333333
766949,informer,informer,informer,0.865853658537,221,-0.46560422094288,-6.47,0.942825112,0.932692308
5329404,0.375,7,-0.48700830831601,0.828125,153,-0.50350682640031,-31.04125,0.950581395,0.6
5329489,0.845238095238,221,-0.26039218205146,0.811111111111,107,-0.60880822762642,-18.74625,0.962053571,0.957831325
5329801,0.714285714286,18,-0.35425956549961,0.876712328767,284,-0.452001657581059,-14.49375,0.934278351,0.921787709
5329802,0.714285714286,20,-0.41412535581694,0.891891891892,334,-0.429353577431939,-9.2,0.95260223,0.945736434
5329829,0.833333333333,190,-0.29282941316908,informer,informer,informer,informer,0.622222222,informer
5329831,0.860465116279,254,-0.262957215284979,0.772727272726999,93,-0.66049240682423,-68.70375,0.789930556,0.865384615
5329849,0.413043478261,9,-0.488774496408849,0.779411764705999,96,-0.56554744431296,-30.62375,0.93359375,0.920903955
5329850,0.5,17,-0.435976430376089,0.731343283582,32,-0.764865523861419,-33.66125,0.933937824,0.921348315
5329853,0.279069767441999,3,-0.61961797331442,0.849315068493,228,-0.51105595705074,-41.56375,0.8725,0.762711864
5329854,informer,informer,informer,0.853333333333,240,-0.52090299784564,-55.16,0.956185567,0.95035461
5329855,0.456140350877,11,-0.49547366909069,0.873563218391,142,-0.54611734209895,-50.57875,0.949604743,0.941422594
5329857,0.609375,29,-0.42053488933149,0.875,146,-0.55286712080057,-25.10875,0.892857143,0.835294118
5329860,0.564516129032,19,-0.44527309111902,0.862068965517,148,-0.57080242245892,-70.36625,0.742857143,0.791044776
5329861,0.571428571428999,21,-0.42361173451786,0.876404494382,152,-0.57875511880729,-68.9475,0.662280702,0.837209302
5329868,0.584615384615,27,-0.4284844926616,0.866666666667,121,-0.579282716861069,-62.03,0.811781609,0.920454545
5329875,0.575757575758,23,-0.449207464974739,0.869565217390999,175,-0.56599208902122,-61.4675,0.828502415,0.945525292
5482344,0.796610169492,106,-0.28185433551183,informer,informer,informer,-81.81625,informer,0.413333333
5793317,0.904109589041,324,-0.27387005124283,0.65671641791,10,-0.85955770995504,-34.30875,0.948170732,0.939655172
6518526,0.732394366197,37,-0.33615936373236,0.876404494382,206,-0.51776261155523,-70.97875,0.642156863,0.78125
6539046,0.885714285714,309,-0.25378005749938,0.666666666667,13,-0.818719397837939,-50.4225,0.954626335,0.948339483
6539047,informer,informer,informer,0.651515151515,8,-0.842471830934829,-35.10375,0.94731405,0.938325991
6539049,0.860759493671,255,-0.29085606052823,0.684210526316,14,-0.826996046286329,-41.23875,0.946875,0.937777778
6539056,0.911392405063,340,-0.22606772347497,0.628571428571,5,-0.875667376119089,informer,0.947745902,0.938864629
6539075,0.907894736842,337,-0.215943786715339,0.5,1,-1.10505623852971,-55.62125,0.949,0.940677966
6539081,0.904761904762,328,-0.221240672979319,0.56338028169,2,-0.99886945999115,informer,informer,informer
6539085,0.887640449438,315,-0.25727536044638,0.686746987952,17,-0.803136069025809,-54.78,0.94858871,0.94017094
6539086,0.913043478261,341,-0.242224938833459,0.720930232557999,29,-0.78017598303741,-47.89,0.948380567,0.939914163
6539087,0.906976744185999,336,-0.24775607970192,0.7,20,-0.794224642159109,-54.445,0.948795181,0.940425532
6539089,0.919540229885,345,-0.23676428032127,0.7,22,-0.75477854524961,-55.6325,0.955263158,0.949090909
6539093,0.893333333332999,318,-0.25682991163027,0.69014084507,19,-0.786653546415739,-29.2475,0.947959184,0.939130435
6539097,0.904109589041,326,-0.255213343531139,0.714285714286,26,-0.7399832141782,-17.22125,0.926724138,0.910828025
6539099,0.905405405405,332,-0.263412845391969,0.7,23,-0.75332529613847,-11.31875,0.926300578,0.91025641
6539107,0.883116883117,306,-0.22232747091174,informer,informer,informer,-82.69625,informer,0.939393939
6539108,0.868421052632,272,-0.28926960750047,informer,informer,informer,-85.695,informer,0.622857143
6539361,informer,informer,informer,0.303571428571,0,-1.27015399544656,-51.655,0.898,0.849462366
6539364,0.830985915493,186,-0.282351747400179,0.396551724138,6,-1.13474532784952,-40.05125,0.951520913,0.943548387
6539369,0.837837837838,195,-0.280878167368159,0.372881355932,3,-1.1717077301612,-51.6275,0.951886792,0.944223108
6539382,0.827160493827,176,-0.28924926754787,0.521126760563,27,-0.94513110134699,-14.6,0.895491803,0.842696629
6539385,0.776315789474,68,-0.343518810571729,0.507246376812,21,-0.985452168794519,-22.15875,0.952247191,0.94488189
6539390,0.79012345679,92,-0.321594143497059,0.615384615385,48,-0.83718420300028,-25.645,0.901923077,0.858585859
6539397,0.805194805195,97,-0.32606701141153,0.5,18,-0.948795706872929,-25.9725,0.904850746,0.866666667
6539409,0.8,114,-0.306833701006809,0.605263157895,36,-0.9137373675616,-68.83375,0.827205882,0.945098039
6539411,0.706666666667,14,-0.38451752828804,0.592105263158,33,-0.88260883097024,-8.06875,0.771825397,0.847826087
6539412,0.694444444444,10,-0.40242436264728,0.613333333333,42,-0.888237130909289,-17.415,0.830985915,0.949820789
6539413,0.717948717949,26,-0.37714807495041,0.641975308642,57,-0.847546441313419,-5.56375,0.904135338,0.862745098
6539414,0.710526315788999,16,-0.38556565033591,0.615384615385,51,-0.87135347163968,-44.28125,0.781481481,0.857142857
6539417,0.810126582277999,132,-0.29148572353644,0.613333333333,45,-0.86234878704859,-5.08375,0.903409091,0.861386139
6539418,0.821428571429,162,-0.27978338292432,0.620253164557,54,-0.84700155207649,-22.3325,0.768292683,0.455555556
6539422,0.83908045977,206,-0.267683311951739,0.6125,39,-0.848512529640769,-22.39375,0.824494949,0.944444444
6539424,0.788732394366,82,-0.32114464045122,0.588235294118,30,-0.85904211673484,-40.5925,0.787234043,0.86407767
6539430,0.794871794872,102,-0.328836074723449,0.666666666667,66,-0.755365854730729,-55.3075,0.728494624,0.95
6539439,0.823529411764999,166,-0.27891814915272,0.720930232557999,81,-0.70602674885936,-4.49,0.901162791,0.855670103
6539440,0.760563380282,50,-0.35545213974915,0.693333333333,72,-0.77019860508153,-57.33,0.792517007,0.867924528
6539451,0.792452830189,79,-0.27409148107059,0.84375,70,-0.516935129274329,-14.73375,0.950961538,0.942857143
6539453,0.736842105263,39,-0.345835246766459,0.845070422535,73,-0.59638408492773,-9.98,0.861413043,0.725490196
6539466,0.865671641791,271,-0.25057857805563,0.821917808219,86,-0.59488515899617,-4.54125,0.869897959,0.754385965
6539478,0.852941176471,239,-0.24432413872437,0.842105263157999,64,-0.54361067013088,-8.795,0.8671875,0.745454545
6539482,0.84375,211,-0.25722735643188,0.849315068493,77,-0.51984413062827,-8.6975,0.865789474,0.740740741
6539487,0.845070422535,217,-0.2288806879564,0.864197530864,109,-0.46764788864979,-3.60125,0.951335878,0.943319838
6539502,0.867647058824,275,-0.237955716428719,0.855263157895,91,-0.51533993177123,-3.71125,0.868556701,0.75
6539521,0.884057971014,308,-0.194197712420089,0.898734177214999,250,-0.36732787091107,-10.565,0.862903226,0.730769231
6539522,0.75,46,-0.30966977702597,0.90243902439,266,-0.41252266581864,-11.11,0.951149425,0.943089431
6539567,0.734375,42,-0.36662606813332,0.903614457830999,269,-0.47327663602348,-6.8325,0.955105634,0.948905109
6539574,0.847222222222,230,-0.26911970401559,0.892857142856999,220,-0.49036280736061,-53.44125,0.712962963,0.561538462
6539584,0.846153846154,226,-0.27785598269058,0.888888888889,259,-0.5150754666223,-19.30625,0.945043103,0.935483871
6539592,0.859154929577,253,-0.25900235680982,0.890243902439,271,-0.48932019426719,-8.035,0.842592593,0.65
6539593,informer,informer,informer,0.898734177214999,251,-0.46492292674474,-12.32,0.954464286,0.948148148
6539597,0.876712328767,288,-0.26597750825117,0.773333333332999,35,-0.6649327231079,-7.51375,0.848214286,0.674418605
6539598,0.851351351351,235,-0.288607465912529,0.8125,47,-0.62374538523789,-4.30875,0.954787234,0.948529412
6539599,0.84,201,-0.29254679580969,0.872093023256,134,-0.545826987711319,-6.95625,0.846385542,0.666666667
6539600,0.864864864864999,262,-0.274983824725,0.853658536585,88,-0.53877165187107,-12.975,0.844512195,0.658536585
6539603,0.849315068493,232,-0.27338952814249,0.906976744185999,287,-0.47326730457647,-11.77125,0.94527897,0.935779817
6539607,0.867647058824,266,-0.270555256602519,0.898734177214999,253,-0.48200070633105,-9.845,0.955729167,0.949458484
6539611,0.837837837838,202,-0.272281814228159,0.870588235294,238,-0.524377466413829,-6.3325,0.954946996,0.948717949
6539617,0.87323943662,284,-0.28109667974435,0.714285714286,28,-0.79626441434654,-56.86875,0.851744186,0.688888889
6539620,0.838235294118,197,-0.301290265442669,0.728571428571,31,-0.803716117922249,-34.24125,0.85,0.681818182
6539751,0.791044776119,73,-0.28597586333939,0.890243902439,319,-0.452968341251519,-26.3025,0.894628099,0.840909091
6603857,0.805194805195,99,-0.272317813348429,0.813953488372,114,-0.5932757482641,-12.03125,0.950195313,0.94214876
9604911,0.8,89,-0.30553576944002,0.837209302326,192,-0.502710895506589,-71.9075,0.717261905,informer
9604912,0.732394366197,40,-0.366045085214329,0.863636363636,260,-0.49491437776004,-72.23125,0.697916667,0.924731183
9604915,0.813333333333,125,-0.29964859262812,0.862068965517,273,-0.46282004835949,-42.67875,0.93494898,0.922651934
9604922,0.805194805195,101,-0.30152684612994,0.840909090909,210,-0.541772431545059,-34.4875,0.963362069,0.959770115
9604926,0.841463414634,207,-0.231940329402,0.833333333333,168,-0.51672336239661,-63.13875,0.737745098,0.959654179
9604940,0.791666666667,77,-0.312651812191849,0.831325301205,159,-0.53860336970404,-9.1925,0.950389105,0.942386831
9604943,0.8,91,-0.31336341136777,0.850574712644,234,-0.5445012750881,-30.1475,0.963150289,0.959302326
9604948,0.810126582277999,119,-0.28828417963019,0.857142857143,95,-0.577806106246899,-64.5875,0.840625,0.959537572
9604958,0.797297297296999,85,-0.30942587580945,0.835294117646999,177,-0.50737316389596,-18.725,0.95,0.941908714
9604970,0.815789473683999,140,-0.28678900906593,0.863636363636,279,-0.420994588474799,-3.61,0.956034483,0.950177936
9800117,0.828947368420999,182,-0.25893729260906,0.848837209301999,225,-0.51017116800259,-11.7275,0.949203187,0.94092827
9822610,0.676923076923,33,-0.41310451285826,informer,informer,informer,-87.56,0.833333333,0.95379538
9826308,informer,informer,informer,0.907216494845,290,-0.470551566292349,-64.18,0.961246201,0.956790123
9827373,0.786666666667,69,-0.325881866643449,0.83908045977,59,-0.561841003653139,-13.73875,0.873762376,0.766666667
9857146,0.803278688525,124,-0.279660192481099,0.863013698629999,276,-0.43251705782409,-7.91125,0.834459459,0.636842105
9858084,0.261904761905,0,-0.65327302274169,0.847222222222,158,-0.53550898581354,-13.7225,0.953296703,0.946768061
9858662,0.882352941175999,300,-0.22414939190157,0.634920634921,7,-0.854358941647709,-47.7,0.886160714,0.808219178
9873849,0.82,153,-0.27329392050169,0.857142857143,97,-0.597691143314109,-4.85625,0.953467153,0.946969697
9885504,0.845070422535,224,-0.24553041248145,0.891566265059999,322,-0.428569454216789,-3.52875,0.858333333,0.714285714
9890357,0.802469135802,120,-0.31321861274373,0.86170212766,270,-0.52012308421055,-6.46,0.82010582,0.586206897
9901444,0.871428571429,281,-0.243393210087999,0.587301587302,4,-1.0157147680039,-32.355,0.887168142,0.810810811
9901964,informer,informer,informer,0.837837837838,185,-0.542939317683059,-31.76625,0.934615385,0.922222222
9910722,informer,informer,informer,0.858823529412,264,-0.465645706243639,-5.89,0.94665272,0.9375
9917474,0.782608695652,63,-0.29075475672422,0.859813084112,98,-0.531744379079899,-5.4775,0.938405797,0.518181818
9922527,0.724137931034,28,-0.33066939681865,0.849315068493,112,-0.52363720812186,-5.75375,0.89375,0.83908046
