molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
CID000000007,,,-0.027886379681617994,,,-0.055545423494320983,-11.0714,0.21739130434782605,0.9191489361702132
CID000003134,informer,informer,informer,,,-0.057433304090672946,-10.3429,0.954198473282443,0.9162907268170428
CID000005228,,,-0.05011702515785902,,,-0.06886690963231304,-7.585710000000001,0.892215568862275,0.897354497354497
CID000069689,,,-0.02676393036092599,,,-0.05091613613615702,-7.817139999999999,0.8714285714285709,0.8913580246913579
CID000099545,,,-0.03941606409382399,,,-0.07149816174527401,-12.5857,0.8846153846153849,0.9518987341772148
CID000129723,,,-0.04304926796932501,,,-0.05642482257756696,-6.714289999999999,0.952631578947368,0.970769230769231
CID000156414,,,-0.05042480477193501,,,-0.08028877049403599,-12.4443,0.0,0.924
CID000156422,,,-0.046391526593884014,,,-0.08328186513726797,-9.22857,0.9393939393939392,0.966272189349112
CID000221158,,,-0.032193902282127006,,,-0.073516268819004,-10.0071,0.9546599496221658,0.9714285714285708
CID000227502,,,-0.034011433301485025,,,-0.04987516804185703,-3.4,0.9090909090909092,0.904273504273504
CID000253268,,,-0.025599044950692998,,,-0.05003855216523403,-8.442860000000001,0.940789473684211,0.9111111111111108
CID000309461,,,-0.04106982667731199,,,-0.07701160131914302,-15.3857,0.954773869346734,0.916666666666667
CID000447966,,,-0.04929258614810599,,,-0.10152299203387403,-8.18571,0.929411764705882,0.9622516556291392
CID000599038,,,-0.03461347690214699,,,-0.059961971497032994,-21.5,0.538461538461538,0.8222222222222221
CID000667570,,,-0.055708280045084,,,-0.07030425943115101,-7.857139999999999,0.946902654867257,0.968508287292818
CID000838889,,,-0.03576911527465401,,,-0.08796175239363598,-10.6143,0.948424068767908,0.913960113960114
CID001489204,,,-0.04923252524447301,,,-0.094240133553197,-5.1142900000000004,0.930769230769231,0.962622950819672
CID001491157,,,-0.054991585866047,,,-0.08212291093881999,-4.3,0.953964194373402,0.9712846347607048
CID002409198,,,-0.044922546682117995,,,-0.07622444553988798,-8.457139999999999,0.939189189189189,0.9661721068249258
CID002787267,,,-0.045051419861285996,,,-0.069335628055859,-5.57143,0.181818181818182,0.9185714285714291
CID005311382,,,-0.04602985918974799,informer,informer,informer,informer,informer,informer
CID005329477,,,-0.046039932269479014,,,-0.09080939374875296,-6.4,0.864661654135338,0.948878923766816
CID005329481,,,-0.05238578944022601,,,-0.08613245806217601,-6.957139999999999,0.9403973509933778,0.966763848396501
CID005329826,,,-0.04106758433754502,informer,informer,informer,,informer,informer
CID005329841,,,-0.041555753461596005,informer,informer,informer,-31.6443,informer,0.915485564304462
CID005330286,,,-0.035462549460756,,,-0.083328050273447,-6.9428600000000005,0.419354838709677,0.920833333333333
CID006263849,,,-0.038562069004778016,,,-0.061253232964724,-10.4714,0.902173913043478,0.9004830917874399
CID006450551,,,-0.050336359461136,,,-0.10141562335423798,informer,0.4857142857142861,0.921917808219178
CID006538884,,,-0.05109285714278698,,,-0.07702221466737699,-13.0343,0.9108910891089108,0.905349794238683
CID006539376,,,-0.035958142792233,,,-0.130019270646147,-28.1586,0.904255319148936,0.955984555984556
CID006539394,,,-0.03379406865561499,,,-0.11191924792698099,informer,0.9154929577464792,0.957620817843866
CID006539398,,,-0.04641933685279401,,,-0.114151150190417,-9.17143,0.7662337662337659,0.935593220338983
CID006539416,,,-0.043271581601375994,,,-0.10019638563347201,-5.94286,0.879194630872483,0.951072961373391
CID006539426,,,-0.044120041770173,,,-0.100511831035448,-16.7,0.816326530612245,0.941538461538462
CID006539427,,,-0.042808364481614986,,,-0.107661606106674,-3.02857,0.9047619047619052,0.901408450704225
CID006539428,,,-0.044442923742934994,,,-0.09822875858254901,informer,0.94,0.966568914956012
CID006539452,,,-0.048926179086604,,,-0.05905372251335002,-9.1,0.895348837209302,0.898461538461538
CID006539455,,,-0.05892908984160301,,,-0.05514156476086801,-11.3571,0.0,0.9300613496932508
CID006539458,,,-0.056082707616117,,,-0.06054176190303198,-10.8286,0.84070796460177,0.8358974358974358
CID006539461,,,-0.058285389847414,,,-0.08086592237668,-14.2843,0.9291338582677172,0.962126245847176
CID006539463,,,-0.06472736391696801,,,-0.057394428474159015,-10.4243,0.951219512195122,0.9152
CID006539465,,,-0.07324703669865601,,,-0.06448287833778898,-7.414289999999999,0.804347826086957,0.94
CID006539467,,,-0.06527702531117201,,,-0.07875911363583796,-20.2614,0.7777777777777779,0.936666666666667
CID006539470,,,-0.067610302658272,,,-0.08808312228026596,-18.2129,0.950413223140496,0.969920844327177
CID006539472,informer,informer,informer,,,-0.06226544443228898,-19.0714,0.926530612244898,0.908148148148148
CID006539473,,,-0.071347377008735,,,-0.08941824833872296,-16.87,0.0,0.846666666666667
CID006539475,,,-0.06614450295086302,,,-0.05734458833157596,-3.6714300000000004,0.8392857142857142,0.9446601941747572
CID006539477,,,-0.056476387918581,,,-0.07657644864601199,-19.7071,0.8695652173913041,0.949557522123894
CID006539480,,,-0.063031068043064,,,-0.06083286466784398,-10.1,0.921739130434783,0.959717314487633
CID006539481,,,-0.06387702105812601,,,-0.06203257281531799,-10.4143,0.0,0.9671469740634008
CID006539486,,,-0.06245080061852601,,,-0.08445987013437802,-10.1386,0.925311203319502,0.9609589041095892
CID006539492,,,-0.058289691529707,,,-0.07077100183914599,-14.7914,0.945288753799392,0.912912912912913
CID006539496,,,-0.06709923529751699,,,-0.06688498481969199,-6.42857,0.937716262975779,0.9655589123867072
CID006539498,,,-0.06001496013839902,,,-0.06798698060081601,-5.84286,0.802197802197802,0.93968253968254
CID006539501,,,-0.05939817288023902,,,-0.08938565103552698,-31.9114,0.7692307692307689,informer
CID006539504,,,-0.043570794171153004,,,-0.06017248924288799,-11.4571,0.0,0.9108910891089108
CID006539506,,,-0.05402193927646899,,,-0.06412704365417897,-8.3,0.9285714285714292,0.908424908424908
CID006539507,,,-0.050920128353584004,,,-0.081356163942646,-15.7,0.885350318471338,0.952100840336134
CID006539509,,,-0.04912794438723401,,,-0.05521131841738301,-9.7,0.913461538461538,0.956981132075472
CID006539512,,,-0.04487685913949499,,,-0.05256856701040497,-6.957139999999999,0.0,0.9441176470588242
