molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
CID000000007,0.953125,395,-0.027886379681617994,0.915662650602,376,-0.055545423494320983,-11.0714,0.21739130434782605,0.9191489361702132
CID000003134,informer,informer,informer,0.9135802469140001,374,-0.057433304090672946,-10.3429,0.954198473282443,0.9162907268170428
CID000005228,0.777777777778,17,-0.05011702515785902,0.9010989010989999,350,-0.06886690963231304,-7.585710000000001,0.892215568862275,0.897354497354497
CID000069689,0.950819672131,394,-0.02676393036092599,0.925925925926,392,-0.05091613613615702,-7.817139999999999,0.8714285714285709,0.8913580246913579
CID000099545,0.904761904762,325,-0.03941606409382399,0.8915662650599999,322,-0.07149816174527401,-12.5857,0.8846153846153849,0.9518987341772148
CID000129723,0.80303030303,44,-0.043049267969325004,0.9263157894740001,393,-0.05642482257756696,-6.714289999999999,0.952631578947368,0.970769230769231
CID000156414,0.91,340,-0.05042480477193501,0.881355932203,291,-0.08028877049403599,-12.4443,0.0,0.924
CID000156422,0.90625,333,-0.046391526593884014,0.867256637168,234,-0.08328186513726797,-9.22857,0.9393939393939392,0.966272189349112
CID000221158,0.915254237288,365,-0.032193902282127006,0.884615384615,302,-0.073516268819004,-10.0071,0.9546599496221658,0.9714285714285708
CID000227502,0.9402985074629999,389,-0.034011433301485025,0.9318181818179999,397,-0.04987516804185703,-3.4,0.9090909090909092,0.904273504273504
CID000253268,0.953125,396,-0.025599044950692998,0.928571428571,395,-0.05003855216523403,-8.442860000000001,0.940789473684211,0.9111111111111108
CID000309461,0.904761904762,328,-0.041069826677311995,0.8915662650599999,324,-0.07701160131914302,-15.3857,0.954773869346734,0.916666666666667
CID000447966,0.822580645161,71,-0.04929258614810599,0.8433734939759999,142,-0.10152299203387403,-8.18571,0.929411764705882,0.9622516556291392
CID000599038,0.929577464789,385,-0.03461347690214699,0.912087912088,370,-0.059961971497032994,-21.5,0.538461538461538,0.8222222222222221
CID000667570,0.735849056604,2,-0.055708280045084,0.90243902439,354,-0.07030425943115101,-7.857139999999999,0.946902654867257,0.968508287292818
CID000838889,0.9130434782610001,356,-0.035769115274654005,0.819277108434,77,-0.08796175239363598,-10.6143,0.948424068767908,0.913960113960114
CID001489204,0.87012987013,182,-0.04923252524447301,0.817204301075,75,-0.094240133553197,-5.1142900000000004,0.930769230769231,0.962622950819672
CID001491157,0.833333333333,92,-0.05499158586604701,0.86170212766,210,-0.08212291093881999,-4.3,0.953964194373402,0.9712846347607048
CID002409198,0.8904109589040001,268,-0.044922546682117995,0.881720430108,293,-0.07622444553988798,-8.457139999999999,0.939189189189189,0.9661721068249258
CID002787267,0.859375,153,-0.045051419861286,0.896551724138,338,-0.069335628055859,-5.57143,0.181818181818182,0.9185714285714291
CID005311382,0.9,307,-0.04602985918974799,informer,informer,informer,informer,informer,informer
CID005329477,0.883495145631,236,-0.046039932269479014,0.8595041322310001,202,-0.09080939374875296,-6.4,0.864661654135338,0.948878923766816
CID005329481,0.861111111111,157,-0.05238578944022601,0.846153846154,152,-0.08613245806217601,-6.957139999999999,0.9403973509933778,0.966763848396501
CID005329826,0.9157894736839999,366,-0.041067584337545024,informer,informer,informer,,informer,informer
CID005329841,0.927083333333,383,-0.041555753461596,informer,informer,informer,-31.6443,informer,0.915485564304462
CID005330286,0.903225806452,317,-0.035462549460756,0.883928571429,298,-0.083328050273447,-6.9428600000000005,0.419354838709677,0.920833333333333
CID006263849,0.9076923076919999,336,-0.038562069004778016,0.919540229885,384,-0.061253232964724,-10.4714,0.902173913043478,0.9004830917874399
CID006450551,0.85,132,-0.050336359461136,0.826530612245,91,-0.10141562335423798,informer,0.4857142857142861,0.921917808219178
CID006538884,0.8666666666670001,170,-0.05109285714278698,0.890243902439,317,-0.07702221466737699,-13.0343,0.9108910891089108,0.905349794238683
CID006539376,0.916666666667,367,-0.035958142792233,0.8367346938779999,121,-0.130019270646147,-28.1586,0.904255319148936,0.955984555984556
CID006539394,0.9135802469140001,358,-0.03379406865561499,0.867346938776,236,-0.11191924792698102,informer,0.9154929577464792,0.957620817843866
CID006539398,0.894117647059,282,-0.046419336852794,0.864077669903,221,-0.114151150190417,-9.17143,0.7662337662337659,0.935593220338983
CID006539416,0.880952380952,215,-0.043271581601375994,0.885714285714,303,-0.10019638563347201,-5.94286,0.879194630872483,0.951072961373391
CID006539426,0.904761904762,324,-0.044120041770173,0.883495145631,296,-0.100511831035448,-16.7,0.816326530612245,0.941538461538462
CID006539427,0.9111111111110001,344,-0.042808364481614986,0.87962962963,281,-0.107661606106674,-3.02857,0.9047619047619052,0.901408450704225
CID006539428,0.9111111111110001,346,-0.044442923742934994,0.889908256881,314,-0.09822875858254901,informer,0.94,0.966568914956012
CID006539452,0.890625,269,-0.048926179086604,0.919540229885,383,-0.05905372251335002,-9.1,0.895348837209302,0.898461538461538
