molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw,RS,CS,AS
CID000000007,0.912280701754,384,-0.12632143263949,0.922222222222,394,-0.16846876331,-11.909091,0.7875,0.557692308
CID000003134,informer,informer,informer,0.944444444444,398,-0.133701941717689,-6.681818,0.956743003,0.970737913
CID000005228,0.838709677418999,160,-0.20744900912356,0.86170212766,304,-0.20800210775623,-19.727273,0.745454545,0.930722892
CID000069689,0.907407407407,378,-0.128303560988569,0.919540229885,392,-0.17459008997506,-12.181818,0.908108108,0.916666667
CID000099545,0.857142857143,222,-0.196124263889119,0.9,382,-0.1887429071501,-16.909091,0.74,0.925806452
CID000129723,0.825396825397,119,-0.20006737750834,0.876288659794,339,-0.19753193514734,-18.0,0.955497382,0.969656992
CID000156414,0.927835051546,397,-0.17577764965252,0.822033898305,167,-0.291137542263739,-46.672727,0.815217391,0.719512195
CID000156422,0.837209302326,155,-0.20598022691642,0.805309734512999,133,-0.29538953705845,-51.395455,0.946540881,0.960750853
CID000221158,0.88679245283,331,-0.13525397799386,0.919540229885,393,-0.16573711971163,-8.5,0.957178841,0.971032746
CID000227502,0.918032786885,392,-0.133976572784049,0.913978494624,389,-0.17084252884354,-22.090909,0.925438596,0.940721649
CID000253268,0.912280701754,385,-0.12308035624602,0.922222222222,395,-0.16437498916999,-8.272727,0.947692308,0.961538462
CID000309461,0.836363636364,154,-0.212652088224649,0.887640449438,366,-0.216220739287159,-15.090909,0.957286432,0.971105528
CID000447966,0.488888888888999,12,-0.3441154676252,0.855555555556,281,-0.23368079963467,-16.909091,0.938181818,0.953441296
CID000599038,0.854838709677,213,-0.189575375051919,0.884210526316,357,-0.196785875332,-15.636364,0.661538462,0.7125
CID000667570,0.78431372549,35,-0.232579679245519,0.872093023256,325,-0.18898538224822,-15.227273,0.951289398,0.96577381
CID000838889,0.852459016393,205,-0.18483824938061,0.858695652174,296,-0.21696046892801,-35.3,0.952513966,0.966763006
CID001489204,0.828571428571,130,-0.20328391544015,0.841584158416,224,-0.206991625943329,-13.818182,0.939285714,0.954365079
CID001491157,0.902777777778,370,-0.16763553000756,0.86,300,-0.20534380053809,-6.863636,0.956521739,0.970663265
CID002409198,0.8125,81,-0.23047404355471,0.806451612902999,137,-0.27782806639707,-39.854545,0.94637224,0.960616438
CID002787267,0.827586206897,123,-0.23189651538716,0.802325581395,128,-0.27601554607518,-20.790909,0.784810127,0.54
CID005311382,0.880952380952,314,-0.199136714363149,informer,informer,informer,informer,informer,informer
CID005329477,0.842105263157999,172,-0.21305754763231,0.849206349206,255,-0.28422858322008,-23.072727,0.905027933,0.912878788
CID005329481,0.850746268657,200,-0.215491944920679,0.868686868687,316,-0.24356675630858,-26.413636,0.947368421,0.961279461
CID005329826,0.886363636364,328,-0.19515869931567,informer,informer,informer,informer,informer,informer
CID005329841,0.898876404494,367,-0.20738378719622,informer,informer,informer,-87.131818,informer,0.969736842
CID005330286,0.910112359551,382,-0.17025996249109,0.842105263157999,226,-0.25145625162888,-3.5,0.797619048,0.651515152
CID006263849,0.821428571429,105,-0.20093574746626,0.877777777777999,346,-0.19055499989487,-12.227273,0.921658986,0.936464088
CID006450551,0.774647887324,28,-0.227664331079139,0.849056603773999,253,-0.23806827167989,-62.231818,0.806818182,0.680555556
CID006538884,0.788461538462,38,-0.238357378536669,0.873563218391,329,-0.20560154392337,-12.818182,0.758139535,0.941919192
CID006539376,0.837837837838,157,-0.195194407452929,0.67032967033,30,-0.46974408806795,-33.004545,0.922727273,0.937837838
CID006539394,0.830985915493,137,-0.198104305132439,0.717391304348,47,-0.459635962760689,-17.0,0.928870293,0.944976077
CID006539398,0.797297297296999,50,-0.24621496316758,0.708333333333,44,-0.46587530866437,-15.0,0.866141732,0.85443038
CID006539416,0.797297297296999,51,-0.23355805878415,0.506024096386,10,-0.47975314666468,-16.318182,0.910994764,0.922297297
CID006539426,0.791666666667,45,-0.246725259461269,0.493827160494,9,-0.487110823798829,-20.272727,0.882758621,0.882653061
CID006539427,0.807692307692,69,-0.231145236410609,0.545454545455,11,-0.476703556301779,-10.863636,0.923076923,0.938172043
CID006539428,0.807692307692,71,-0.23173381695227,0.561797752809,12,-0.466438252147419,informer,0.947040498,0.961016949
CID006539452,0.881355932203,315,-0.20763875581635,0.89010989011,368,-0.194529193307339,-9.954545,0.748571429,0.932748538
CID006539455,0.862068965517,251,-0.25674140104065,0.877777777777999,344,-0.19626215809827,-4.181818,0.844036697,0.808333333
CID006539458,0.873015873015999,289,-0.22289224667395,0.872340425532,326,-0.199710362586369,-16.113636,0.72173913,0.357142857
CID006539461,0.865671641791,272,-0.252454918134319,0.806451612902999,136,-0.23657779591126,-18.918182,0.937956204,0.953252033
CID006539463,0.868852459016,279,-0.26014854829656,0.857142857143,290,-0.19906741411311,-7.863636,0.954545455,0.96875
CID006539465,0.868852459016,277,-0.28095161331193,0.831460674157,190,-0.221336498549839,-12.545455,0.878571429,0.3
CID006539467,0.848484848484999,190,-0.26019479372639,0.78021978022,95,-0.247529816789939,-17.627273,0.869230769,0.25
CID006539470,0.865671641791,274,-0.27275821674809,0.78021978022,96,-0.2547547668804,-19.363636,0.953929539,0.968319559
CID006539472,informer,informer,informer,0.836956521738999,206,-0.21689792646723,-10.545455,0.763265306,0.951882845
CID006539473,0.846153846154,182,-0.29178343180368,0.791208791209,110,-0.24988466162903,-12.227273,0.6,0.954901961
CID006539475,0.903225806452,371,-0.22617169783203,0.89247311828,371,-0.188323385149479,-4.136364,0.893081761,0.897321429
CID006539477,0.855072463768,215,-0.23062370073003,0.824742268041,172,-0.23762074147947,-29.0,0.907103825,0.388888889
CID006539480,0.892307692308,345,-0.22960459452733,0.885416666667,361,-0.19694771099062,-13.636364,0.933333333,0.949115044
CID006539481,0.870967741934999,285,-0.2448219972662,0.858695652174,295,-0.20829511347693,-11.5,0.948484848,0.962418301
CID006539486,0.869565217390999,282,-0.24807753303012,0.797872340426,118,-0.245475500433749,-12.05,0.935606061,0.95106383
CID006539492,0.865671641791,273,-0.239810084932129,0.855670103093,283,-0.229945537778419,-11.545455,0.770491803,0.964615385
CID006539496,0.863636363636,263,-0.2752174547427,0.842105263157999,227,-0.22892651366942,-7.5,0.944983819,0.959074733
CID006539498,0.876923076923,301,-0.244845105854499,0.863157894737,307,-0.22838273760288,-10.954545,0.877697842,0.875
CID006539501,0.876712328767,299,-0.25360984420131,0.80612244898,135,-0.26419763214179,-15.909091,0.7,informer
CID006539504,0.859375,241,-0.204228566228219,0.886597938144,364,-0.20888226982204,-15.531818,0.945686901,0.959930314
CID006539506,0.863636363636,262,-0.232872465484499,0.854166666667,276,-0.22329720478888,-7.590909,0.764,0.952868852
CID006539507,0.850746268657,199,-0.244423835970029,0.808510638298,141,-0.24722327199208,-12.863636,0.914141414,0.926282051
CID006539509,0.873015873015999,290,-0.21739973201284,0.884210526316,358,-0.19644742506139,-11.681818,0.927350427,0.943627451
CID006539512,0.836363636364,153,-0.20565666516587,0.9,381,-0.17184332817464,-10.454545,0.891025641,0.895454545
CID006539513,0.84126984127,167,-0.226233486947839,0.851063829787,265,-0.20664301036521,-9.136364,0.9390681,0.954183267
CID006539516,0.89552238806,360,-0.172806899349539,0.941747572816,397,-0.16985303234763,-12.5,0.93385214,0.949781659
CID006539519,0.884057971014,323,-0.206418604403439,0.901960784314,385,-0.190261003215859,-6.045455,0.910526316,0.921768707
