molid,b_cs,b_cl,b_cw,b_bs,b_bl,b_bw
CID044328970,,,-0.007065853658535999,0.817204301075,111,-0.10261457100214802
CID001489204,,,-0.006246152313292001,0.929292929293,396,-0.04381242959191398
CID044578566,,,-0.006867947445230001,0.8901098901100001,339,-0.06224804977484896
CID044532445,,,-0.007698289022377999,0.84,172,-0.09453251698274802
CID044528946,,,-0.006566048534785998,0.701030927835,11,-0.163070423853318
CID044305647,,,-0.006120745521601,0.9080459770110001,378,-0.05605255975859095
CID057398391,,,-0.017130180531338,0.846153846154,190,-0.097822741892996
CID057398392,,,-0.016768459610568,0.846153846154,188,-0.09901536994839098
CID000005228,,,-0.008815239078099,0.883720930233,325,-0.06991106643425199
CID044532446,,,-0.008503886555453,0.8383838383840001,161,-0.10099901764893694
CID010239038,,,-0.00690175461512,informer,informer,informer
CID018536646,,,-0.007314952978345,0.8190476190479999,114,-0.10160700123699301
CID053469449,,,-0.020771566896699997,0.846153846154,186,-0.08619068037780298
CID053469448,,,-0.020002471114670996,0.8058252427179999,104,-0.10295287198918403
CID006539506,,,-0.0070244196379559976,0.862068965517,241,-0.07842007512730802
CID006539507,,,-0.0063574824774330005,0.865168539326,254,-0.08022442047422199
CID006539501,,,-0.007410201846341001,0.8602150537630001,230,-0.08236533243448996
CID046927597,,,-0.008350974582891,informer,informer,informer
CID006539509,,,-0.005820271682354002,0.8953488372089999,347,-0.06367220067222704
CID022185475,,,-0.008937687088089001,0.878787878788,309,-0.06621709532288099
CID057403576,,,-0.017367791564526003,0.846153846154,189,-0.099720115226136
CID021027446,,,-0.008369987275115,0.844444444444,182,-0.08559043715141998
CID053467617,,,-0.014652698198703002,0.843137254902,179,-0.08974837094667298
CID056670156,,,-0.007214317006909,informer,informer,informer
CID009935852,,,-0.005628260869562998,0.855769230769,217,-0.08226014922047699
CID006539455,,,-0.005996422982334001,0.915662650602,388,-0.052366027501255984
CID006539452,,,-0.006032776534519997,0.90243902439,363,-0.06072446903128299
CID044529278,,,-0.007425562766352001,0.732673267327,25,-0.151719874959103
CID006539458,,,-0.0072267639077460005,0.8823529411759999,319,-0.06845805432624104
CID044592502,,,-0.00710064146594,informer,informer,informer
CID044529101,,,-0.006829424391454002,0.745098039216,47,-0.146739560506924
CID053469634,,,-0.014213312475888997,0.859813084112,229,-0.07933480392394501
CID011231979,,,-0.006554429855112998,0.837209302326,160,-0.095446981461209
CID011057468,,,-0.008706543851715,0.8850574712639999,327,-0.06534209751518204
CID044532297,,,-0.005817457789104001,0.8023255813950001,100,-0.11137327878428696
CID044532433,,,-0.005440449970671001,0.833333333333,146,-0.096886986083293
CID010161259,,,-0.006049486803508999,0.883495145631,324,-0.07220605430035303
CID025190912,,,-0.006476124990979999,0.915094339623,387,-0.054370056851671
CID006539591,,,-0.007364137754936001,0.849462365591,204,-0.083025697226004
CID025190914,,,-0.006402711650054002,0.905660377358,371,-0.059069259756943
CID057391365,,,-0.016505319504844997,0.782608695652,84,-0.124307209779044
CID009879605,,,-0.007506216577534,0.8953488372089999,346,-0.061945144896928026
CID044532531,,,-0.007923068280143003,0.7659574468089999,73,-0.13354828966530405
CID002787267,,,-0.007143715544612998,0.820512820513,117,-0.094223971516233
CID044578630,,,-0.008633386569725001,0.757894736842,65,-0.13382175519529196
CID044336137,,,-0.009399999999987998,0.84693877551,192,-0.09658035271923102
CID000447966,,,-0.006462244320486997,0.8780487804880001,304,-0.07082603865930598
CID006539523,,,-0.006181969919792,0.855263157895,213,-0.08281370620083002
CID006539524,,,-0.007533176330698997,0.8352941176469999,151,-0.09257959773400004
CID006539525,,,-0.007438422566321002,0.869047619048,265,-0.07558961498016101
CID044532102,,,-0.005962527855307002,0.825581395349,127,-0.103919435924001
CID006539528,,,-0.006958427165088999,0.871794871795,272,-0.07152771887963899
CID006539529,,,-0.0073255596158539995,0.886075949367,331,-0.06513711641739803
CID006539498,,,-0.007232391304359003,0.872093023256,273,-0.07228216153529199
CID044279444,,,-0.006371464233842997,0.811111111111,107,-0.10552885784985801
CID011529890,,,-0.007833952254640997,0.873563218391,280,-0.07247373416937097
CID005329841,,,-0.006647816609499999,informer,informer,informer
CID044532683,,,-0.008159865693618998,0.767676767677,76,-0.145888031163612
CID006539578,,,-0.007177201857205001,0.855555555556,216,-0.07954113248957598
CID066561010,,,-0.015230179389314,0.854368932039,212,-0.085484434067651
CID010286382,,,-0.005815586773141998,0.6867469879520001,9,-0.166525308549914
CID044532997,,,-0.009100586419762,0.8823529411759999,320,-0.07043665314037703
CID006539504,,,-0.0061793088513339995,0.872093023256,274,-0.076879330215216
CID044532737,,,-0.005365006922494999,0.80412371134,101,-0.102180387714292
CID044527361,,,-0.006424979321753,0.860465116279,233,-0.08078397160411799
CID009880709,,,-0.007772448565929999,0.862068965517,240,-0.07721123944981703
CID000838889,,,-0.006399376790674,0.9069767441859999,374,-0.05917174006329101
CID044529112,,,-0.006942644709383998,0.722222222222,18,-0.15651745273583395
CID045272982,,,-0.006055799941946001,0.83908045977,166,-0.091154912783607
CID045272980,,,-0.007587006073647998,0.844444444444,181,-0.08576995214442898
CID009914412,,,-0.007833980980473996,0.839622641509,169,-0.10140223369434
CID044527001,,,-0.005211628781328997,0.771428571429,79,-0.128318786792048
CID002409198,,,-0.006421347031958997,0.8505747126440001,207,-0.08397018194766595
CID010757558,,,-0.008466828515338,0.9080459770110001,379,-0.05170446643612196
CID044525947,,,-0.007241829770843998,0.767676767677,77,-0.136853749775719
CID011633551,,,-0.009764294567228002,0.8484848484849999,198,-0.09191497861377804
CID051356853,,,-0.006642725901541001,0.8953488372089999,348,-0.06136680365033804
CID051356852,,,-0.006894474153289001,0.9080459770110001,376,-0.05776693958151696
CID044525929,,,-0.007901385431427,0.720430107527,16,-0.16221171027564102
CID051356856,,,-0.009008846166273997,0.873563218391,281,-0.07653884503508197
CID051356855,,,-0.006642725901541001,0.9080459770110001,377,-0.05562084240200395
CID051356854,,,-0.006388010540191998,0.898876404494,355,-0.061925074254008006
CID044525925,,,-0.008190234847726,0.734693877551,29,-0.157206439384774
CID044525924,,,-0.007636380159745,0.741935483871,39,-0.155572484552778
CID009814925,,,-0.007458856579167999,0.886363636364,333,-0.06917143227614801
CID044525926,,,-0.0067030848014970005,0.744680851064,44,-0.15515579066813204
CID044525921,,,-0.008471258496584998,0.736842105263,31,-0.15379854699761902
CID044525920,,,-0.007414659911187,0.75,55,-0.150688673973722
CID044525923,,,-0.007850360640899001,0.736842105263,32,-0.15696542931380902
CID044525922,,,-0.008771974659340001,0.720430107527,14,-0.161911602582534
CID044397230,,,-0.005602602010649,0.8414634146340001,176,-0.09014641818384597
CID022609863,,,-0.007316141084111002,0.822916666667,122,-0.10406709786912
CID000156422,,,-0.008170942982471001,0.8518518518520001,209,-0.09300100964810795
CID044526069,,,-0.008446056307751002,0.873684210526,285,-0.074469975304557
