molid,RS
6539592,1.98875
6539600,1.55625
6539599,-0.801875
6539597,0.90625
6539620,1.545
6539617,-1.318125
11959377,24.67875
11959682,-1
11959683,70.97562
15872400,6.0625
15872391,1.851875
15872404,5.981875
9885504,-1.484375
16219401,0.1975
6539453,6.86375
6539521,1.295
448008,2.021875
6539482,2.824375
6539478,0.824375
6539502,-0.78125
6539466,3.67375
44386338,-2
5329853,2.09
9827373,0.481875
53239985,0.6025
53239984,0.255
15872408,1.216875
6518526,2.06875
56604006,0.42875
53239978,3.19625
5329860,0.666875
56667992,2.4325
53239955,2.1075
56681565,-0.821875
53239967,-8
9944269,1.795
9926067,3.133125
9858662,-1.1975
9901444,1.616875
11244488,0.2175
11392350,1.70375
11231939,0.941875
56604005,21.8425
56603995,60.02688
56604013,41.5
25263120,-0.51875
25263123,3.623125
25263124,4.350625
16051023,1.784375
56667993,1.723125
56657596,1.679375
24949545,3.674375
5329857,2.219375
5329861,3.69875
9922527,1.620625
6539751,1.65875
6539382,0.423125
449054,-0.075
44397010,informer
6539418,6.6525
44397250,informer
6539411,1.4125
6539361,5.6625
44397201,1.585
11680113,9.18625
5034,1.933125
10215776,3.309375
44396990,8.799375
6539439,2.106875
6539414,0.78625
44397453,informer
5329829,informer
6539390,1.8775
10133732,0.938125
6539417,0.87375
6539413,0.925
22464120,5.25
6539424,0.965625
44397032,39.8425
5329831,3.285625
6539397,0.435625
6539440,3.4175
53239988,4.084375
57400544,1.574375
16236469,
57400541,0.48
57400545,2.7525
57398861,-0.051875
56603980,6.263125
56604034,82.39125
57391875,38.29375
57393604,5.93
57400542,0.7875
57398867,-0.55375
57398866,1.745625
57390087,1.9575
57395317,0.71625
21701565,3.18
57395310,1.17375
57398144,0.4425
57398145,2.753125
57391091,3.424375
57403316,1.566875
57398146,44.975
57394599,-0.25125
56604030,0.52
57399798,0.321875
57398147,0.499375
57396350,1.15625
57401572,-0.244375
57396351,0.819375
57396352,1.84625
57391092,0.74625
57399799,0.800625
57403317,2.486875
56603966,58.43312
57401573,4.586875
57394600,1.9625
57403318,1.51
57401574,2.521875
57398148,0.621875
57392873,3.636875
57398149,0.533125
57396353,4.2
57398150,49.06938
57398151,1.436875
57394601,1.470625
57391093,2.1325
57398152,-0.20375
57394602,1.16875
56603975,1.818125
57399800,0.196875
57391094,-0.23875
57403319,1.40625
57398153,1.816875
57391095,3.16
57391096,informer
6539099,1.660625
6539097,1.401875
57399801,0.054375
56604024,3.14
56603997,3.69875
9947709,-0.669375
56604000,1.03125
10272700,4.0175
56603987,0.111875
57403320,0.933125
57399802,4.766875
57391097,-1.2
56603973,2.625625
56604049,1.2025
57398154,0.52875
57399803,2.646875
57399804,5.0225
57399805,3.8225
57401575,-0.0675
44397710,5.555625
5329868,2.923125
5329849,6.571875
5329850,2.940625
5482344,-13
5329801,1.22
9901964,2.9225
9604915,2.270625
11604319,2.234375
11627264,3.45
11656050,1.018125
11669455,1.436875
9604912,2.570625
70682205,1.366875
70696859,1.22875
11717091,0.61875
11605761,0.44375
44410704,0.21
10294883,1.361875
9917474,0.315625
21951965,1.6375
22609796,0.086875
44418540,1.86375
11453116,11.54562
44418539,0.24375
44418572,1.3725
44418555,4.319375
44418556,2.451875
44418532,3.11125
44418533,1.6475
16099859,40.24062
11957417,2.969375
25190921,0.964375
16048194,0.513125
16048415,3.004375
25190924,3.30625
16048303,2.293125
16664858,3.3625
766949,0.845625
44431824,1.651875
766948,-0.16875
9927432,informer
24180608,3.289375
44433173,7.004375
11281930,informer
10160775,1.16125
10113568,-1.290625
24896610,4.6125
25093474,3.1425
6539574,17.795
6539584,5.17625
6539603,1.245625
11617559,1.291875
44418547,0.88875
453216,5.365625
9951300,1.61875
25190926,3.453125
9910722,3.3425
6539049,1.35
6539081,informer
10158653,4.876875
6539047,3.73125
10200651,1.14875
6539056,informer
6539093,-0.845625
6539107,4.596875
5793317,-1.45
6539086,4.02
6539085,7.715
6539087,7.213125
6539075,0.999375
23646938,2.996875
15872403,5.725625
9800117,2.9275
18536627,4.164375
