coding_CID coding_FDR as_CID as_FDR
CID000156414 0 CID024803957 0.8
CID044529220 0 CID049862644 0.8
CID006539455 0 CID015872399 0.8
CID044526099 0 CID010028480 0.8
CID006539512 0 CID049862783 0.8
CID044525964 0 CID010757558 0.8
CID044525952 0 CID044532438 0.80952380952381
CID044479934 0 CID011715767 0.816666666666667
CID006539473 0 CID000599038 0.822222222222222
CID044525973 0 CID019879232 0.826666666666667
CID011373846 0 CID044525926 0.83030303030303
CID044306199 0 CID046215816 0.833333333333333
CID006539504 0 CID006539458 0.835897435897436
CID049862644 0 CID009935852 0.838095238095238
CID006539481 0 CID006539591 0.84
CID024804299 0 CID025263105 0.841666666666667
CID010135552 0 CID006539525 0.843137254901961
CID053469634 0 CID053469453 0.844444444444444
CID070683337 0.0526315789473685 CID025263084 0.845614035087719
CID053466951 0.1 CID006539473 0.846666666666667
CID044529279 0.142857142857143 CID010186182 0.847619047619048
CID002787267 0.181818181818182 CID044532978 0.848484848484849
CID000000007 0.217391304347826 CID025190914 0.849275362318841
CID044532438 0.25 CID051356853 0.85
CID025190912 0.28 CID021078798 0.850666666666667
CID011715767 0.307692307692308 CID009888013 0.851282051282051
CID009826528 0.333333333333333 CID011495551 0.851851851851852
CID009926791 0.357142857142857 CID011633551 0.852380952380952
CID006918454 0.379310344827586 CID053466951 0.855172413793103
CID025033539 0.4 CID025190912 0.857777777777778
CID005330286 0.419354838709677 CID025033539 0.860215053763441
CID011626560 0.4375 CID011626560 0.8625
CID017754438 0.454545454545455 CID044526070 0.864646464646465
CID022049997 0.470588235294118 CID051354036 0.866666666666667
CID006450551 0.485714285714286 CID010287409 0.868571428571429
CID010452739 0.5 CID051355190 0.87037037037037
CID023133388 0.513513513513513 CID025121268 0.872072072072072
CID044305910 0.526315789473684 CID057394915 0.873684210526316
CID000599038 0.538461538461538 CID024802961 0.875213675213675
CID044526070 0.55 CID051356852 0.876666666666667
CID044578566 0.560975609756098 CID044578709 0.878048780487805
CID009836050 0.571428571428571 CID044526099 0.879365079365079
CID044526073 0.581395348837209 CID044525486 0.88062015503876
CID051354036 0.590909090909091 CID044525974 0.881818181818182
CID019879232 0.6 CID025263108 0.882962962962963
CID045269578 0.608695652173913 CID051356855 0.884057971014493
CID044525926 0.617021276595745 CID051354327 0.885106382978723
CID066561010 0.625 CID051357138 0.886111111111111
CID010287409 0.63265306122449 CID044532737 0.887074829931973
CID006539606 0.64 CID051356856 0.888
CID053322416 0.647058823529412 CID044532526 0.888888888888889
CID006539572 0.653846153846154 CID044397687 0.88974358974359
CID060150509 0.660377358490566 CID009903786 0.890566037735849
CID051355190 0.666666666666667 CID000069689 0.891358024691358
CID010086873 0.672727272727273 CID010358578 0.892121212121212
CID044578630 0.678571428571429 CID025263079 0.892857142857143
CID044525940 0.684210526315789 CID044525936 0.893567251461988
CID025121268 0.689655172413793 CID044525952 0.894252873563218
CID011427162 0.694915254237288 CID046927597 0.894915254237288
CID010161259 0.7 CID011514099 0.895555555555556
CID046215816 0.704918032786885 CID051354328 0.896174863387978
CID044526071 0.709677419354839 CID044525956 0.896774193548387
CID057394915 0.714285714285714 CID000005228 0.897354497354497
CID044525924 0.71875 CID053469448 0.897916666666667
CID057396626 0.723076923076923 CID006539452 0.898461538461538
CID010639924 0.727272727272727 CID044528968 0.898989898989899
CID006539571 0.73134328358209 CID045272982 0.899502487562189
CID024802961 0.735294117647059 CID044525955 0.9
CID044527361 0.739130434782609 CID006263849 0.90048309178744
CID051356852 0.742857142857143 CID070683338 0.900952380952381
CID009865518 0.746478873239437 CID006539427 0.901408450704225
CID044525957 0.75 CID044525972 0.901851851851852
CID044525958 0.753424657534247 CID017917696 0.902283105022831
CID044525921 0.756756756756757 CID057403579 0.902702702702703
CID022112846 0.76 CID010239038 0.903111111111111
CID044578709 0.763157894736842 CID006539582 0.903508771929825
CID006539398 0.766233766233766 CID044526076 0.903896103896104
CID006539501 0.769230769230769 CID000227502 0.904273504273504
CID053469449 0.772151898734177 CID022185475 0.90464135021097
CID044527657 0.775 CID011057468 0.905
CID006539467 0.777777777777778 CID006538884 0.905349794238683
CID045272980 0.780487804878049 CID044525968 0.905691056910569
CID044532720 0.783132530120482 CID044269265 0.906024096385542
CID006539613 0.785714285714286 CID046215644 0.906349206349206
CID009958299 0.788235294117647 CID044532450 0.906666666666667
