1,pknb
model,recognized_scaffolds,active_scaffolds,fasr10
b_cs,,102 31 111 18 13 147 35 9,0.0
b_cl,,102 31 111 18 13 147 35 9,0.0
b_cw,9,9 18 102 31 147 35 111 13,0.125
b_bs,18 35 102 13 31 147 111,18 35 102 13 31 147 111 9,0.875
b_bl,18 35 102 13 31 147 111,35 18 102 13 31 147 111 9,0.875
b_bw,18 35 102 13 31 147 111,18 35 102 13 31 147 111 9,0.875
RS,18 102 35 31 147 111 13,18 102 35 31 147 111 13 9,0.875
CS,35 18,35 18 102 31 111 13 147 9,0.25
AS,111 18 35,35 111 18 102 31 13 147 9,0.375

1,bglf4
model,recognized_scaffolds,active_scaffolds,fasr10
b_cs,15 37,15 37 80 98 79 41 91 0,0.25
b_cl,15 37,15 37 80 98 79 41 91 0,0.25
b_cw,15 37,15 37 98 80 79 41 91 0,0.25
b_bs,15 0 41 98 37 80,0 15 41 98 37 80 79 91,0.75
b_bl,15 98 0 41 80 37,98 0 41 15 80 37 79 91,0.75
b_bw,98 41 0 15 37 80,0 15 41 98 37 80 79 91,0.75
RS,80 79 37,37 79 80 41 0 98 91 15,0.375
CS,0 41 15 98 80,80 98 15 0 41 91 79 37,0.625
AS,0 15 80 37 41 91 98,0 37 15 80 41 91 98 79,0.875

2,pknb
model,recognized_scaffolds,active_scaffolds,fasr10
b_cs,,40 149 44 99 16 85 125,0.0
b_cl,,40 149 44 99 16 85 125,0.0
b_cw,,44 149 85 40 125 99 16,0.0
b_bs,40,40 149 99 125 85 16 44,0.142857142857
b_bl,40,40 149 99 125 85 16 44,0.142857142857
b_bw,40,40 149 99 125 85 16 44,0.142857142857
RS,125 40,125 40 44 149 85 99 16,0.285714285714
CS,40 44 99,40 44 99 149 16 85 125,0.428571428571
AS,40,40 44 99 16 125 149 85,0.142857142857

2,bglf4
model,recognized_scaffolds,active_scaffolds,fasr10
b_cs,,111 100 62 44 153 85 16 92,0.0
b_cl,,111 100 62 44 153 85 16 92,0.0
b_cw,92,92 44 153 62 85 111 100 16,0.125
b_bs,92,92 111 100 62 44 153 85 16,0.125
b_bl,92,92 111 100 62 44 153 85 16,0.125
b_bw,92,92 62 85 111 153 44 100 16,0.125
RS,92 100 85 111 16 44 153,92 100 85 111 16 44 153 62,0.875
CS,92 111 62,92 111 62 100 44 153 85 16,0.375
AS,85,85 111 44 153 16 92 100 62,0.125

