1,pknb
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,0,1,8,0.046511627907,0.0127453185484
b_cl,0,1,8,0.046511627907,0.0127453185484
b_cw,0,1,8,0.046511627907,0.0127453185484
b_bs,2,7,8,0.318181818182,0.388901738483
b_bl,2,7,8,0.318181818182,0.388901738483
b_bw,2,7,8,0.318181818182,0.388901738483
RS,0,7,8,0.325581395349,0.394964546569
CS,2,2,8,0.0909090909091,0.0743488617689
AS,3,3,8,0.136363636364,0.137378558649

1,bglf4
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,1,3,11,0.122448979592,0.0952081128841
b_cl,1,3,11,0.127659574468,0.10088417369
b_cw,1,3,11,0.127659574468,0.10088417369
b_bs,6,9,11,0.382978723404,0.424683095055
b_bl,6,9,11,0.382978723404,0.424683095055
b_bw,6,9,11,0.382978723404,0.424683095055
RS,3,3,11,0.127659574468,0.101186657783
CS,7,7,11,0.297872340426,0.317103557381
AS,4,10,11,0.425531914894,0.478381442886

1,rop18
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,2,4,16,0.153846153846,0.106389533497
b_cl,2,4,16,0.153846153846,0.106389533497
b_cw,2,4,16,0.153846153846,0.106389533497
b_bs,3,8,16,0.307692307692,0.286576440195
b_bl,3,8,16,0.307692307692,0.286576440195
b_bw,3,7,16,0.269230769231,0.241575780325
RS,2,4,16,0.153846153846,0.106389533497
CS,4,4,16,0.153846153846,0.106756944231
AS,2,2,16,0.0769230769231,0.016367620538

2,pknb
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,0,0,7,0.0,-0.0446055355336
b_cl,0,0,7,0.0,-0.0446055355336
b_cw,0,0,7,0.0,-0.0446055355336
b_bs,1,1,7,0.0425531914894,0.0190657855935
b_bl,1,1,7,0.0425531914894,0.0190657855935
b_bw,1,1,7,0.0425531914894,0.0190657855935
RS,0,2,7,0.0851063829787,0.0822225886332
CS,1,3,7,0.127659574468,0.146171022884
AS,1,1,7,0.0425531914894,0.0190657855935

2,bglf4
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,0,2,10,0.08,0.0532514026272
b_cl,0,2,10,0.08,0.0532514026272
b_cw,0,1,10,0.04,-0.000133797494038
b_bs,1,1,10,0.04,0.0
b_bl,1,1,10,0.04,0.0
b_bw,1,1,10,0.04,0.0
RS,1,8,10,0.32,0.373351103074
CS,1,3,10,0.12,0.106752102537
AS,0,1,10,0.04,-0.000133797494038

2,rop18
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,1,8,19,0.271186440678,0.238984256491
b_cl,1,8,19,0.271186440678,0.238984256491
b_cw,1,7,19,0.237288135593,0.199806509526
b_bs,0,5,19,0.169491525424,0.121288922765
b_bl,0,5,19,0.169491525424,0.121288922765
b_bw,0,5,19,0.169491525424,0.121288922765
RS,2,3,19,0.1,0.0409651166544
CS,0,3,19,0.101694915254,0.0429176188246
AS,1,5,19,0.169491525424,0.121451015594

