1,pknb
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,0,0,8,0.0,-0.0275504333208
b_cl,0,0,8,0.0,-0.0275504333208
b_cw,0,0,8,0.0,-0.0275504333208
b_bs,2,5,8,0.526315789474,0.520401483882
b_bl,2,4,8,0.421052631579,0.410843276749
b_bw,2,2,8,0.210526315789,0.191726862483
RS,0,6,8,0.736842105263,0.739438991222
CS,2,2,8,0.210526315789,0.191726862483
AS,3,3,8,0.315789473684,0.301338965687

1,bglf4
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,1,3,11,0.272727272727,0.249197860963
b_cl,1,3,11,0.272727272727,0.249197860963
b_cw,1,3,11,0.272727272727,0.249197860963
b_bs,6,6,11,0.545454545455,0.530961791831
b_bl,6,6,11,0.545454545455,0.530961791831
b_bw,6,6,11,0.545454545455,0.530961791831
RS,3,3,11,0.272727272727,0.249335459862
CS,7,7,11,0.466666666667,0.463197215259
AS,4,7,11,0.636363636364,0.624701828783

1,rop18
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,2,4,16,0.296296296296,0.274351630584
b_cl,2,4,16,0.296296296296,0.274351630584
b_cw,2,4,16,0.296296296296,0.274351630584
b_bs,3,3,16,0.222222222222,0.196054297389
b_bl,3,6,16,0.444444444444,0.431186235027
b_bw,3,4,16,0.296296296296,0.274431609935
RS,2,4,16,0.296296296296,0.274351630584
CS,4,4,16,0.296296296296,0.274511119613
AS,2,2,16,0.148148148148,0.11757927025

2,pknb
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,0,0,7,0.0,-0.0214255108599
b_cl,0,0,7,0.0,-0.0214255108599
b_cw,0,0,7,0.0,-0.0214255108599
b_bs,1,1,7,0.117647058824,0.100747978582
b_bl,1,1,7,0.117647058824,0.100747978582
b_bw,1,1,7,0.117647058824,0.100747978582
RS,0,2,7,0.235294117647,0.222699747468
CS,1,1,7,0.117647058824,0.100747978582
AS,1,1,7,0.117647058824,0.100747978582

2,bglf4
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,0,1,10,0.1,0.0768637532134
b_cl,0,1,10,0.1,0.0768637532134
b_cw,0,0,10,0.0,-0.025706940874
b_bs,1,1,10,0.1,0.0769230769231
b_bl,1,1,10,0.1,0.0769230769231
b_bw,1,1,10,0.1,0.0769230769231
RS,1,1,10,0.1,0.0766839378238
CS,1,3,10,0.206896551724,0.190085846844
AS,0,0,10,0.0,-0.025706940874

2,rop18
model,inf_hits,hits_recovered,tot_hits,F1,MCC
b_cs,1,4,19,0.275862068966,0.265367370346
b_cl,1,4,19,0.275862068966,0.265367370346
b_cw,1,4,19,0.275862068966,0.265367370346
b_bs,0,4,19,0.275862068966,0.265302853571
b_bl,0,4,19,0.275862068966,0.265302853571
b_bw,0,4,19,0.275862068966,0.265302853571
RS,2,2,19,0.137931034483,0.11488268085
CS,0,1,19,0.0689655172414,0.039436910666
AS,1,1,19,0.0689655172414,0.0395227998388

