1,pknb
model,recognized_act_scaffold_IDs,all_active_scaffold_IDs,fasr10
b_cs,9,9 102 18 31 35 147 13 111,0.125
b_cl,9,9 102 18 31 35 147 13 111,0.125
b_cw,9,9 18 102 31 147 35 111 13,0.125
b_bs,18 35 102 13 31 147 111,18 35 102 13 31 147 111 9,0.875
b_bl,35 18 102 13 31 147 111,18 35 102 13 31 147 111 9,0.875
b_bw,18 35 102 13 31 147 111,35 18 102 13 31 147 111 9,0.875
RS,18 102 35 31 147 111 13,18 102 35 31 147 111 13 9,0.875
CS,35 18,18 35 102 31 111 13 147 9,0.25
AS,35 111 18,18 35 111 102 31 13 147 9,0.375

1,bglf4
model,recognized_act_scaffold_IDs,all_active_scaffold_IDs,fasr10
b_cs,15 37,15 37 80 98 79 41 91 0,0.25
b_cl,15 37,15 37 80 98 79 41 91 0,0.25
b_cw,15 37,15 37 98 80 79 41 91 0,0.25
b_bs,0 41 98 15 37 80,15 98 0 41 37 80 79 91,0.75
b_bl,41 0 98 15 80 37,0 41 15 98 80 37 79 91,0.75
b_bw,0 15 41 98 37 80,41 0 98 15 37 80 79 91,0.75
RS,37 80 79,37 79 80 41 0 98 91 15,0.375
CS,15 41 0 98 80,80 15 41 0 98 91 79 37,0.625
AS,37 15 80 0 41 91 98,80 0 15 37 41 91 98 79,0.875

1,rop18
model,recognized_act_scaffold_IDs,all_active_scaffold_IDs,fasr10
b_cs,60 25 12,25 60 12 114 7 58 47 141 80 0 23,0.272727272727
b_cl,25 60 12,25 60 12 114 7 58 47 141 80 0 23,0.272727272727
b_cw,25 60 12,60 25 12 114 58 47 23 7 80 0 141,0.272727272727
b_bs,58 0 80 47 141,0 58 80 47 141 23 12 25 7 60 114,0.454545454545
b_bl,0 58 80 23,0 58 80 23 47 141 114 12 25 7 60,0.363636363636
b_bw,0 58 80 47,58 0 80 47 23 141 25 12 7 114 60,0.363636363636
RS,80 0,80 0 58 60 23 141 12 25 47 114 7,0.181818181818
CS,58 80 0,80 0 58 47 114 25 7 12 23 60 141,0.272727272727
AS,80 0,80 0 114 25 7 12 23 47 60 58 141,0.181818181818

2,pknb
model,recognized_act_scaffold_IDs,all_active_scaffold_IDs,fasr10
b_cs,,44 125 85 40 16 149 99,0.0
b_cl,,44 125 85 40 16 149 99,0.0
b_cw,,44 149 85 40 125 99 16,0.0
b_bs,40,40 149 99 125 85 16 44,0.142857142857
b_bl,40,40 149 99 125 85 16 44,0.142857142857
b_bw,40,40 149 99 125 85 16 44,0.142857142857
RS,125 40,125 40 44 149 85 99 16,0.285714285714
CS,40 44 99,40 44 99 149 16 85 125,0.428571428571
AS,40,40 44 99 16 125 149 85,0.142857142857

2,bglf4
model,recognized_act_scaffold_IDs,all_active_scaffold_IDs,fasr10
b_cs,44 153,44 153 85 92 100 111 62 16,0.25
b_cl,44 153,44 153 85 92 100 111 62 16,0.25
b_cw,92,92 44 153 62 85 111 100 16,0.125
b_bs,92,92 62 85 153 44 111 100 16,0.125
b_bl,92,92 62 85 153 44 111 100 16,0.125
b_bw,92,92 62 85 111 153 44 100 16,0.125
RS,92 100 85 111 16 44 153,92 100 85 111 16 44 153 62,0.875
CS,92 111 62,92 111 62 100 44 153 85 16,0.375
AS,85,85 111 44 153 16 92 100 62,0.125

2,rop18
model,recognized_act_scaffold_IDs,all_active_scaffold_IDs,fasr10
b_cs,28 91 100 124 75,28 91 100 124 75 155 144 116 25 7 105 160,0.416666666667
b_cl,28 91 100 124 75,28 91 100 124 75 155 144 116 25 7 105 160,0.416666666667
b_cw,28 91 100 124,28 91 100 124 105 144 155 75 7 116 25 160,0.333333333333
b_bs,105 155 7,105 155 7 28 75 124 144 25 100 91 116 160,0.25
b_bl,105 155 7,105 155 7 28 75 124 144 25 100 91 116 160,0.25
b_bw,105 155 7,105 155 7 124 144 25 28 100 91 160 75 116,0.25
RS,105 7,105 7 25 124 144 28 160 155 75 91 100 116,0.166666666667
CS,116 144,116 144 105 100 155 75 28 124 91 7 160 25,0.166666666667
AS,105 144 116,105 144 116 100 155 75 28 124 91 7 160 25,0.25

