1,pknb
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,0,1,8,0.513888888889
b_cl,0,1,8,0.513888888889
b_cw,0,1,8,0.513888888889
b_bs,2,7,8,0.930555555556
b_bl,2,7,8,0.930555555556
b_bw,2,7,8,0.930555555556
RS,0,7,8,0.930555555556
CS,2,2,8,0.583333333333
AS,3,3,8,0.652777777778

1,bglf4
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,1,3,11,0.59595959596
b_cl,1,3,11,0.59595959596
b_cw,1,3,11,0.59595959596
b_bs,6,9,11,0.89898989899
b_bl,6,9,11,0.848484848485
b_bw,6,9,11,0.89898989899
RS,3,3,11,0.59595959596
CS,7,7,11,0.79797979798
AS,4,10,11,0.949494949495

1,rop18
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,2,4,16,0.583333333333
b_cl,2,4,16,0.583333333333
b_cw,2,4,16,0.583333333333
b_bs,3,8,16,0.722222222222
b_bl,3,8,16,0.722222222222
b_bw,3,7,16,0.6875
RS,2,4,16,0.583333333333
CS,4,4,16,0.583333333333
AS,2,2,16,0.513888888889

2,pknb
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,0,0,7,0.444444444444
b_cl,0,0,7,0.444444444444
b_cw,0,0,7,0.444444444444
b_bs,1,1,7,0.52380952381
b_bl,1,1,7,0.52380952381
b_bw,1,1,7,0.52380952381
RS,0,2,7,0.603174603175
CS,1,3,7,0.68253968254
AS,1,1,7,0.52380952381

2,bglf4
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,0,2,10,0.555555555556
b_cl,0,2,10,0.555555555556
b_cw,0,1,10,0.5
b_bs,1,1,10,0.5
b_bl,1,1,10,0.5
b_bw,1,1,10,0.5
RS,1,8,10,0.888888888889
CS,1,3,10,0.611111111111
AS,0,1,10,0.5

2,rop18
model,inf_hits,hits_recovered,tot_hits,NEF10
b_cs,1,8,19,0.678362573099
b_cl,1,8,19,0.678362573099
b_cw,1,7,19,0.649122807018
b_bs,0,5,19,0.590643274854
b_bl,0,5,19,0.590643274854
b_bw,0,5,19,0.590643274854
RS,2,3,19,0.53216374269
CS,0,3,19,0.53216374269
AS,1,5,19,0.590643274854

