molid,ABL1,ABL1_E255K,ABL1_H396P,ABL1_M351T,ABL1_Q252H,ABL1_T315I,ABL1_Y253F,AKT1,AKT2,AKT3,ALK,AMPKA1_A1B1G1,AMPKA2_A2B1G1,ARG,ARK5,Aurora.A,Aurora.B,Aurora.C,AXL,BLK,BMX,BRAF,BRAF_V599E,BRK,BRSK1,BRSK2,BTK,CAMK1D,CAMK2A,CAMK2D,CAMK4,CDK1_cyclinB,CDK2_cyclinA,CDK2_cyclinE,CDK3_cyclinE,CDK4_cyclinD,CDK5_p35,CDK6_cyclinD3,CHEK1,CHEK2,CK1a,CK1.g1,CK1.g2,CK1.g3,CK2,CLK2,CLK3,CRAF,CSK,DAPK1,DCAMKL2,DDR2,DYRK1A,DYRK1B,DYRK2,EGFR,EGFR_L858R,EGFR_L861Q,EGFR_T790M,EGFR_T790M.L858R,EPHA2,EPHA3,EPHA4,EPHB2,EPHB3,EPHB4,ERBB2,ERBB4,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FLT3_D835Y,FLT4,FMS,FYN,GRK6,GRK7,GSK3A,GSK3B,HCK,HIPK1,HIPK4,IGF1R,IKKA,IKKB,IKKE,INSR,IRAK4,IRR,ITK,JAK1,JAK2,JAK3,JNK2,KDR,KIT,KIT_D816V,KIT_T6701,KIT_V560G,LCK,LOK,LRRK2,LRRK2_G2019S,LTK,LYNA,LYNB,MAP4K2,MAP4K4,MAPK1,MAPK3,MAPKAPK2,MAPKAPK3,MARK1,MARK3,MARK4,MEK1,MELK,MER,MET,MINK,MKNK1,MNK2,MRCKA,MRCKB,MSK1,MSK2,MSSK1,MST1,MST2,MST4,MUSK,NEK1,NEK2,NEK6,NEK7,NEK9,P38alpha,P38beta,P38delta,P38gamma,p70s6K1,PAK1,PAK2,PAK3,PAK5,PAK6,PAR.1Balpha,PASK,PDGFRA,PDGFRA_D842V,PDGFRA_T674I,PDGFRA_V561D,PDGFRB,PDK1,PHKG1,PHKG2,PI3K.alpha,PI3K.delta,PI4K.beta,PIM1,PIM2,PIM3,PKA,PKC.alpha,PKC.beta1,PKC.beta2,PKC.eta,PKC.gamma,PKC.iota,PKC.theta,PLK1,PRAK,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PRKX,PTK5,PYK2,RET,RET_V804L,RET_Y791F,ROCK1,ROCK2,RON,ROS,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3,SNF1LK2_QIK,SNF1LK_SIK,SPHK1,SPHK2,SRC,SRMS,SRPK1,SYK,TBK1,TEC,TIE2,TNK1,TNK2,TRKA,TRKB,TRKC,TSSK1,TSSK2,TTK,TXK,TYK2,TYRO3,YES,ZAP70
10113568,173,173,173,173,173,40,173,,,,,,,173,,217,,226,,173,144,13,13,213,183,183,,,,,,173,153,152,81,173,173,173,,,,,,,173,,,,,,,13,173,173,173,160,224,160,,,102,,40,40,,125,160,160,,,,,,,173,,226,217,,,173,,,119,119,193,173,173,,,,,,,,,,,,,,27,,226,226,173,223,,,,193,193,,,,,,,,,,,,173,173,,173,173,,,,,13,156,156,,13,,,,,136,279,71,173,,13,,,,,,,,,183,13,,,,,,,,,,,,279,,,,,,,,136,,,338,,,,,,,13,13,13,,,173,173,,,,,,,,173,125,,,218,,,,,60,27,,,13,,13,,,,60,,173,173,60
10125875,267,267,267,267,267,342,267,,,,,,,267,,248,,202,,267,320,316,316,341,308,308,,,,,,267,328,329,327,267,267,267,,,,,,,267,,,,,,,316,267,267,267,282,309,282,,,307,,342,342,,255,282,282,,,,,,,267,,202,248,,,267,,,309,309,305,267,267,,,,,,,,,,,,,,292,,202,202,267,332,,,,305,305,,,,,,,,,,,,267,267,,267,267,,,,,316,346,346,,316,,,,,345,150,256,267,,316,,,,,,,,,308,316,,,,,,,,,,,,150,,,,,,,,345,,,226,,,,,,,316,316,316,,,267,267,,,,,,,,267,255,,,247,,,,,290,344,,,316,,316,,,,290,,267,267,290
10133732,319,319,319,319,319,77,319,,,,,,,319,,294,,259,,319,342,317,317,318,261,261,,,,,,319,297,296,231,319,319,319,,,,,,,319,,,,,,,317,319,319,319,317,343,317,,,328,,344,344,,335,317,317,,,,,,,319,,259,294,,,319,,,259,259,342,319,319,,,,,,,,,,,,,,328,,259,259,319,291,,,,342,342,,,,,,,,,,,,319,319,,319,319,,,,,317,304,304,,317,,,,,221,27,54,319,,317,,,,,,,,,261,317,,,,,,,,,,,,27,,,,,,,,221,,,121,,,,,,,317,317,317,,,319,319,,,,,,,,319,335,,,295,,,,,291,328,,,317,,317,,,,291,,319,319,291
10158653,227,227,227,227,227,293,227,,,,,,,227,,142,,97,,227,134,176,176,68,276,276,,,,,,227,135,134,69,227,227,227,,,,,,,227,,,,,,,176,227,227,227,208,272,208,,,101,,138,138,,56,208,208,,,,,,,227,,97,142,,,227,,,304,304,99,227,227,,,,,,,,,,,,,,168,,97,97,227,68,,,,99,99,,,,,,,,,,,,227,227,,227,227,,,,,176,134,134,,176,,,,,239,309,21,227,,176,,,,,,,,,276,176,,,,,,,,,,,,309,,,,,,,,239,,,24,,,,,,,176,176,176,,,227,227,,,,,,,,227,56,,,141,,,,,70,70,,,176,,176,,,,70,,227,227,70
10160775,32,32,32,32,32,34,32,,,,,,,32,,57,,230,,32,94,11,11,170,64,64,,,,,,32,64,65,134,32,32,32,,,,,,,32,,,,,,,11,32,32,32,57,57,57,,,201,,34,34,,134,57,57,,,,,,,32,,230,57,,,32,,,62,62,62,32,32,,,,,,,,,,,,,,23,,230,230,32,162,,,,62,62,,,,,,,,,,,,32,32,,32,32,,,,,11,238,238,,11,,,,,191,249,49,32,,11,,,,,,,,,64,11,,,,,,,,,,,,249,,,,,,,,191,,,99,,,,,,,11,11,11,,,32,32,,,,,,,,32,134,,,58,,,,,222,23,,,11,,11,,,,222,,32,32,222
10171618,147,147,147,147,147,260,147,,,,,,,147,,197,,248,,147,262,313,313,314,204,204,,,,,,147,244,245,325,147,147,147,,,,,,,147,,,,,,,313,147,147,147,275,199,275,,,300,,329,329,,319,275,275,,,,,,,147,,248,197,,,147,,,240,240,218,147,147,,,,,,,,,,,,,,324,,248,248,147,296,,,,218,218,,,,,,,,,,,,147,147,,147,147,,,,,313,335,335,,313,,,,,268,70,138,147,,313,,,,,,,,,204,313,,,,,,,,,,,,70,,,,,,,,268,,,58,,,,,,,313,313,313,,,147,147,,,,,,,,147,319,,,198,,,,,255,320,,,313,,313,,,,255,,147,147,255
10173796,172,172,172,172,172,297,172,,,,,,,172,,214,,178,,172,289,238,238,311,159,159,,,,,,172,183,182,103,172,172,172,,,,,,,172,,,,,,,238,172,172,172,190,225,190,,,275,,312,312,,216,190,190,,,,,,,172,,178,214,,,172,,,257,257,246,172,172,,,,,,,,,,,,,,272,,178,178,172,199,,,,246,246,,,,,,,,,,,,172,172,,172,172,,,,,238,198,198,,238,,,,,111,95,178,172,,238,,,,,,,,,159,238,,,,,,,,,,,,95,,,,,,,,111,,,129,,,,,,,238,238,238,,,172,172,,,,,,,,172,216,,,213,,,,,339,319,,,238,,238,,,,339,,172,172,339
10193464,252,252,252,252,252,317,252,,,,,,,252,,305,,272,,252,340,345,345,342,292,292,,,,,,252,215,214,135,252,252,252,,,,,,,252,,,,,,,345,252,252,252,346,293,346,,,334,,347,347,,330,346,346,,,,,,,252,,272,305,,,252,,,318,318,316,252,252,,,,,,,,,,,,,,334,,272,272,252,334,,,,316,316,,,,,,,,,,,,252,252,,252,252,,,,,345,240,240,,345,,,,,338,136,240,252,,345,,,,,,,,,292,345,,,,,,,,,,,,136,,,,,,,,338,,,208,,,,,,,345,345,345,,,252,252,,,,,,,,252,330,,,304,,,,,305,348,,,345,,345,,,,305,,252,252,305
10193482,262,262,262,262,262,341,262,,,,,,,262,,256,,208,,262,317,310,310,336,304,304,,,,,,262,289,288,219,262,262,262,,,,,,,262,,,,,,,310,262,262,262,278,305,278,,,301,,336,336,,248,278,278,,,,,,,262,,208,256,,,262,,,326,326,301,262,262,,,,,,,,,,,,,,296,,208,208,262,330,,,,301,301,,,,,,,,,,,,262,262,,262,262,,,,,310,296,296,,310,,,,,342,122,222,262,,310,,,,,,,,,304,310,,,,,,,,,,,,122,,,,,,,,342,,,267,,,,,,,310,310,310,,,262,262,,,,,,,,262,248,,,255,,,,,286,342,,,310,,310,,,,286,,262,262,286
10200651,285,285,285,285,285,232,285,,,,,,,285,,176,,134,,285,41,108,108,27,326,326,,,,,,285,105,104,52,285,285,285,,,,,,,285,,,,,,,108,285,285,285,172,240,172,,,27,,39,39,,13,172,172,,,,,,,285,,134,176,,,285,,,135,135,27,285,285,,,,,,,,,,,,,,185,,134,134,285,274,,,,27,27,,,,,,,,,,,,285,285,,285,285,,,,,108,104,104,,108,,,,,321,322,23,285,,108,,,,,,,,,326,108,,,,,,,,,,,,322,,,,,,,,321,,,220,,,,,,,108,108,108,,,285,285,,,,,,,,285,13,,,175,,,,,25,185,,,108,,108,,,,25,,285,285,25
