molid,ABL1,ABL1_E255K,ABL1_H396P,ABL1_M351T,ABL1_Q252H,ABL1_T315I,ABL1_Y253F,AKT1,AKT2,AKT3,ALK,AMPKA1_A1B1G1,AMPKA2_A2B1G1,ARG,ARK5,Aurora.A,Aurora.B,Aurora.C,AXL,BLK,BMX,BRAF,BRAF_V599E,BRK,BRSK1,BRSK2,BTK,CAMK1D,CAMK2A,CAMK2D,CAMK4,CDK1_cyclinB,CDK2_cyclinA,CDK2_cyclinE,CDK3_cyclinE,CDK4_cyclinD,CDK5_p35,CDK6_cyclinD3,CHEK1,CHEK2,CK1a,CK1.g1,CK1.g2,CK1.g3,CK2,CLK2,CLK3,CRAF,CSK,DAPK1,DCAMKL2,DDR2,DYRK1A,DYRK1B,DYRK2,EGFR,EGFR_L858R,EGFR_L861Q,EGFR_T790M,EGFR_T790M.L858R,EPHA2,EPHA3,EPHA4,EPHB2,EPHB3,EPHB4,ERBB2,ERBB4,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FLT3_D835Y,FLT4,FMS,FYN,GRK6,GRK7,GSK3A,GSK3B,HCK,HIPK1,HIPK4,IGF1R,IKKA,IKKB,IKKE,INSR,IRAK4,IRR,ITK,JAK1,JAK2,JAK3,JNK2,KDR,KIT,KIT_D816V,KIT_T6701,KIT_V560G,LCK,LOK,LRRK2,LRRK2_G2019S,LTK,LYNA,LYNB,MAP4K2,MAP4K4,MAPK1,MAPK3,MAPKAPK2,MAPKAPK3,MARK1,MARK3,MARK4,MEK1,MELK,MER,MET,MINK,MKNK1,MNK2,MRCKA,MRCKB,MSK1,MSK2,MSSK1,MST1,MST2,MST4,MUSK,NEK1,NEK2,NEK6,NEK7,NEK9,P38alpha,P38beta,P38delta,P38gamma,p70s6K1,PAK1,PAK2,PAK3,PAK5,PAK6,PAR.1Balpha,PASK,PDGFRA,PDGFRA_D842V,PDGFRA_T674I,PDGFRA_V561D,PDGFRB,PDK1,PHKG1,PHKG2,PI3K.alpha,PI3K.delta,PI4K.beta,PIM1,PIM2,PIM3,PKA,PKC.alpha,PKC.beta1,PKC.beta2,PKC.eta,PKC.gamma,PKC.iota,PKC.theta,PLK1,PRAK,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PRKX,PTK5,PYK2,RET,RET_V804L,RET_Y791F,ROCK1,ROCK2,RON,ROS,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3,SNF1LK2_QIK,SNF1LK_SIK,SPHK1,SPHK2,SRC,SRMS,SRPK1,SYK,TBK1,TEC,TIE2,TNK1,TNK2,TRKA,TRKB,TRKC,TSSK1,TSSK2,TTK,TXK,TYK2,TYRO3,YES,ZAP70
10113568,173,173,173,173,173,40,173,338,60,279,173,136,81,173,136,217,226,226,13,173,144,13,13,213,183,183,60,229,173,173,63,173,153,152,81,173,173,173,91,91,279,173,173,279,173,173,173,13,125,91,274,13,173,173,173,160,224,160,160,60,102,125,40,40,60,125,160,160,173,173,64,81,81,173,173,13,226,217,136,60,173,338,64,119,119,193,173,173,13,60,60,60,64,173,173,173,173,173,226,229,173,27,173,226,226,173,223,13,81,173,193,193,13,338,173,338,91,279,136,13,136,173,136,173,173,338,173,173,64,91,91,91,13,156,156,81,13,136,136,64,35,136,279,71,173,173,13,35,60,60,226,13,226,64,136,183,13,136,136,81,226,338,136,136,226,173,81,136,279,173,274,173,64,173,173,173,136,91,338,338,338,60,236,338,125,136,13,13,13,173,173,173,173,136,136,13,136,173,173,91,173,125,274,125,218,173,13,173,226,60,27,136,125,13,173,13,136,64,81,60,226,173,173,60
10125875,267,267,267,267,267,342,267,226,290,150,267,345,327,267,345,248,202,202,316,267,320,316,316,341,308,308,290,162,267,267,345,267,328,329,327,267,267,267,340,340,150,267,267,150,267,267,267,316,255,340,306,316,267,267,267,282,309,282,282,290,307,255,342,342,290,255,282,282,267,267,243,327,327,267,267,316,202,248,345,290,267,226,243,309,309,305,267,267,316,290,290,290,243,267,267,267,267,267,202,162,267,292,267,202,202,267,332,316,327,267,305,305,316,226,267,226,340,150,345,316,345,267,345,267,267,226,267,267,243,340,340,340,316,346,346,327,316,345,345,243,329,345,150,256,267,267,316,329,290,290,202,316,202,243,345,308,316,345,345,327,202,226,345,345,202,267,327,345,150,267,306,267,243,267,267,267,345,340,226,226,226,290,90,226,255,345,316,316,316,267,267,267,267,345,345,316,345,267,267,340,267,255,306,255,247,267,316,267,202,290,344,345,255,316,267,316,345,243,327,290,202,267,267,290
10133732,319,319,319,319,319,77,319,121,291,27,319,221,231,319,221,294,259,259,317,319,342,317,317,318,261,261,291,173,319,319,276,319,297,296,231,319,319,319,25,25,27,319,319,27,319,319,319,317,335,25,243,317,319,319,319,317,343,317,317,291,328,335,344,344,291,335,317,317,319,319,160,231,231,319,319,317,259,294,221,291,319,121,160,259,259,342,319,319,317,291,291,291,160,319,319,319,319,319,259,173,319,328,319,259,259,319,291,317,231,319,342,342,317,121,319,121,25,27,221,317,221,319,221,319,319,121,319,319,160,25,25,25,317,304,304,231,317,221,221,160,287,221,27,54,319,319,317,287,291,291,259,317,259,160,221,261,317,221,221,231,259,121,221,221,259,319,231,221,27,319,243,319,160,319,319,319,221,25,121,121,121,291,182,121,335,221,317,317,317,319,319,319,319,221,221,317,221,319,319,25,319,335,243,335,295,319,317,319,259,291,328,221,335,317,319,317,221,160,231,291,259,319,319,291
10158653,227,227,227,227,227,293,227,24,70,309,227,239,69,227,239,142,97,97,176,227,134,176,176,68,276,276,70,7,227,227,21,227,135,134,69,227,227,227,203,203,309,227,227,309,227,227,227,176,56,203,35,176,227,227,227,208,272,208,208,70,101,56,138,138,70,56,208,208,227,227,235,69,69,227,227,176,97,142,239,70,227,24,235,304,304,99,227,227,176,70,70,70,235,227,227,227,227,227,97,7,227,168,227,97,97,227,68,176,69,227,99,99,176,24,227,24,203,309,239,176,239,227,239,227,227,24,227,227,235,203,203,203,176,134,134,69,176,239,239,235,10,239,309,21,227,227,176,10,70,70,97,176,97,235,239,276,176,239,239,69,97,24,239,239,97,227,69,239,309,227,35,227,235,227,227,227,239,203,24,24,24,70,170,24,56,239,176,176,176,227,227,227,227,239,239,176,239,227,227,203,227,56,35,56,141,227,176,227,97,70,70,239,56,176,227,176,239,235,69,70,97,227,227,70
10160775,32,32,32,32,32,34,32,99,222,249,32,191,134,32,191,57,230,230,11,32,94,11,11,170,64,64,222,51,32,32,47,32,64,65,134,32,32,32,143,143,249,32,32,249,32,32,32,11,134,143,95,11,32,32,32,57,57,57,57,222,201,134,34,34,222,134,57,57,32,32,130,134,134,32,32,11,230,57,191,222,32,99,130,62,62,62,32,32,11,222,222,222,130,32,32,32,32,32,230,51,32,23,32,230,230,32,162,11,134,32,62,62,11,99,32,99,143,249,191,11,191,32,191,32,32,99,32,32,130,143,143,143,11,238,238,134,11,191,191,130,24,191,249,49,32,32,11,24,222,222,230,11,230,130,191,64,11,191,191,134,230,99,191,191,230,32,134,191,249,32,95,32,130,32,32,32,191,143,99,99,99,222,194,99,134,191,11,11,11,32,32,32,32,191,191,11,191,32,32,143,32,134,95,134,58,32,11,32,230,222,23,191,134,11,32,11,191,130,134,222,230,32,32,222
10171618,147,147,147,147,147,260,147,58,255,70,147,268,325,147,268,197,248,248,313,147,262,313,313,314,204,204,255,259,147,147,301,147,244,245,325,147,147,147,153,153,70,147,147,70,147,147,147,313,319,153,233,313,147,147,147,275,199,275,275,255,300,319,329,329,255,319,275,275,147,147,332,325,325,147,147,313,248,197,268,255,147,58,332,240,240,218,147,147,313,255,255,255,332,147,147,147,147,147,248,259,147,324,147,248,248,147,296,313,325,147,218,218,313,58,147,58,153,70,268,313,268,147,268,147,147,58,147,147,332,153,153,153,313,335,335,325,313,268,268,332,232,268,70,138,147,147,313,232,255,255,248,313,248,332,268,204,313,268,268,325,248,58,268,268,248,147,325,268,70,147,233,147,332,147,147,147,268,153,58,58,58,255,82,58,319,268,313,313,313,147,147,147,147,268,268,313,268,147,147,153,147,319,233,319,198,147,313,147,248,255,320,268,319,313,147,313,268,332,325,255,248,147,147,255
10173796,172,172,172,172,172,297,172,129,339,95,172,111,103,172,111,214,178,178,238,172,289,238,238,311,159,159,339,313,172,172,138,172,183,182,103,172,172,172,224,224,95,172,172,95,172,172,172,238,216,224,270,238,172,172,172,190,225,190,190,339,275,216,312,312,339,216,190,190,172,172,159,103,103,172,172,238,178,214,111,339,172,129,159,257,257,246,172,172,238,339,339,339,159,172,172,172,172,172,178,313,172,272,172,178,178,172,199,238,103,172,246,246,238,129,172,129,224,95,111,238,111,172,111,172,172,129,172,172,159,224,224,224,238,198,198,103,238,111,111,159,162,111,95,178,172,172,238,162,339,339,178,238,178,159,111,159,238,111,111,103,178,129,111,111,178,172,103,111,95,172,270,172,159,172,172,172,111,224,129,129,129,339,39,129,216,111,238,238,238,172,172,172,172,111,111,238,111,172,172,224,172,216,270,216,213,172,238,172,178,339,319,111,216,238,172,238,111,159,103,339,178,172,172,339
10193464,252,252,252,252,252,317,252,208,305,136,252,338,135,252,338,305,272,272,345,252,340,345,345,342,292,292,305,335,252,252,168,252,215,214,135,252,252,252,238,238,136,252,252,136,252,252,252,345,330,238,312,345,252,252,252,346,293,346,346,305,334,330,347,347,305,330,346,346,252,252,289,135,135,252,252,345,272,305,338,305,252,208,289,318,318,316,252,252,345,305,305,305,289,252,252,252,252,252,272,335,252,334,252,272,272,252,334,345,135,252,316,316,345,208,252,208,238,136,338,345,338,252,338,252,252,208,252,252,289,238,238,238,345,240,240,135,345,338,338,289,301,338,136,240,252,252,345,301,305,305,272,345,272,289,338,292,345,338,338,135,272,208,338,338,272,252,135,338,136,252,312,252,289,252,252,252,338,238,208,208,208,305,157,208,330,338,345,345,345,252,252,252,252,338,338,345,338,252,252,238,252,330,312,330,304,252,345,252,272,305,348,338,330,345,252,345,338,289,135,305,272,252,252,305
10193482,262,262,262,262,262,341,262,267,286,122,262,342,219,262,342,256,208,208,310,262,317,310,310,336,304,304,286,213,262,262,266,262,289,288,219,262,262,262,287,287,122,262,262,122,262,262,262,310,248,287,298,310,262,262,262,278,305,278,278,286,301,248,336,336,286,248,278,278,262,262,276,219,219,262,262,310,208,256,342,286,262,267,276,326,326,301,262,262,310,286,286,286,276,262,262,262,262,262,208,213,262,296,262,208,208,262,330,310,219,262,301,301,310,267,262,267,287,122,342,310,342,262,342,262,262,267,262,262,276,287,287,287,310,296,296,219,310,342,342,276,323,342,122,222,262,262,310,323,286,286,208,310,208,276,342,304,310,342,342,219,208,267,342,342,208,262,219,342,122,262,298,262,276,262,262,262,342,287,267,267,267,286,137,267,248,342,310,310,310,262,262,262,262,342,342,310,342,262,262,287,262,248,298,248,255,262,310,262,208,286,342,342,248,310,262,310,342,276,219,286,208,262,262,286
10200651,285,285,285,285,285,232,285,220,25,322,285,321,52,285,321,176,134,134,108,285,41,108,108,27,326,326,25,5,285,285,23,285,105,104,52,285,285,285,160,160,322,285,285,322,285,285,285,108,13,160,187,108,285,285,285,172,240,172,172,25,27,13,39,39,25,13,172,172,285,285,73,52,52,285,285,108,134,176,321,25,285,220,73,135,135,27,285,285,108,25,25,25,73,285,285,285,285,285,134,5,285,185,285,134,134,285,274,108,52,285,27,27,108,220,285,220,160,322,321,108,321,285,321,285,285,220,285,285,73,160,160,160,108,104,104,52,108,321,321,73,11,321,322,23,285,285,108,11,25,25,134,108,134,73,321,326,108,321,321,52,134,220,321,321,134,285,52,321,322,285,187,285,73,285,285,285,321,160,220,220,220,25,227,220,13,321,108,108,108,285,285,285,285,321,321,108,321,285,285,160,285,13,187,13,175,285,108,285,134,25,185,321,13,108,285,108,321,73,52,25,134,285,285,25
