molid,ABL1,ABL1_E255K,ABL1_H396P,ABL1_M351T,ABL1_Q252H,ABL1_T315I,ABL1_Y253F,AKT1,AKT2,AKT3,ALK,AMPKA1_A1B1G1,AMPKA2_A2B1G1,ARG,ARK5,Aurora.A,Aurora.B,Aurora.C,AXL,BLK,BMX,BRAF,BRAF_V599E,BRK,BRSK1,BRSK2,BTK,CAMK1D,CAMK2A,CAMK2D,CAMK4,CDK1_cyclinB,CDK2_cyclinA,CDK2_cyclinE,CDK3_cyclinE,CDK4_cyclinD,CDK5_p35,CDK6_cyclinD3,CHEK1,CHEK2,CK1a,CK1.g1,CK1.g2,CK1.g3,CK2,CLK2,CLK3,CRAF,CSK,DAPK1,DCAMKL2,DDR2,DYRK1A,DYRK1B,DYRK2,EGFR,EGFR_L858R,EGFR_L861Q,EGFR_T790M,EGFR_T790M.L858R,EPHA2,EPHA3,EPHA4,EPHB2,EPHB3,EPHB4,ERBB2,ERBB4,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FLT3_D835Y,FLT4,FMS,FYN,GRK6,GRK7,GSK3A,GSK3B,HCK,HIPK1,HIPK4,IGF1R,IKKA,IKKB,IKKE,INSR,IRAK4,IRR,ITK,JAK1,JAK2,JAK3,JNK2,KDR,KIT,KIT_D816V,KIT_T6701,KIT_V560G,LCK,LOK,LRRK2,LRRK2_G2019S,LTK,LYNA,LYNB,MAP4K2,MAP4K4,MAPK1,MAPK3,MAPKAPK2,MAPKAPK3,MARK1,MARK3,MARK4,MEK1,MELK,MER,MET,MINK,MKNK1,MNK2,MRCKA,MRCKB,MSK1,MSK2,MSSK1,MST1,MST2,MST4,MUSK,NEK1,NEK2,NEK6,NEK7,NEK9,P38alpha,P38beta,P38delta,P38gamma,p70s6K1,PAK1,PAK2,PAK3,PAK5,PAK6,PAR.1Balpha,PASK,PDGFRA,PDGFRA_D842V,PDGFRA_T674I,PDGFRA_V561D,PDGFRB,PDK1,PHKG1,PHKG2,PI3K.alpha,PI3K.delta,PI4K.beta,PIM1,PIM2,PIM3,PKA,PKC.alpha,PKC.beta1,PKC.beta2,PKC.eta,PKC.gamma,PKC.iota,PKC.theta,PLK1,PRAK,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PRKX,PTK5,PYK2,RET,RET_V804L,RET_Y791F,ROCK1,ROCK2,RON,ROS,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3,SNF1LK2_QIK,SNF1LK_SIK,SPHK1,SPHK2,SRC,SRMS,SRPK1,SYK,TBK1,TEC,TIE2,TNK1,TNK2,TRKA,TRKB,TRKC,TSSK1,TSSK2,TTK,TXK,TYK2,TYRO3,YES,ZAP70
10113568,223,223,223,223,223,74,223,206,206,206,206,206,206,223,206,285,261,285,206,223,298,261,261,298,136,136,223,206,206,206,206,261,120,120,121,261,121,121,206,206,272,206,271,272,272,271,261,122,223,206,206,27,271,271,271,185,185,185,206,206,298,223,298,298,223,298,121,240,272,272,223,223,223,223,223,223,284,284,223,261,223,206,23,221,221,298,271,271,272,261,23,261,272,261,206,261,122,261,261,272,223,164,223,285,284,223,136,206,206,286,298,298,261,292,261,261,206,218,206,206,206,261,272,121,136,292,74,238,206,206,223,261,136,128,128,64,136,136,136,23,218,136,218,218,261,261,206,223,218,218,206,64,206,206,223,239,261,223,223,136,206,206,23,261,261,206,261,206,218,261,261,261,122,206,223,292,182,206,272,308,272,272,206,64,223,272,223,206,223,206,206,292,272,206,206,206,206,261,261,292,136,236,23,236,276,223,261,272,261,223,223,206,206,238,64,64,206,206,206,223,261,261,223,206
10125875,255,255,255,255,255,329,255,323,323,323,323,323,323,255,323,22,11,22,323,255,322,11,11,322,313,313,255,323,323,323,323,11,23,23,22,11,22,22,323,323,23,323,22,23,23,22,11,252,255,323,323,302,22,22,22,306,306,306,323,323,322,255,322,322,255,322,258,323,23,23,255,255,255,255,255,255,23,23,255,11,255,323,331,22,22,322,22,22,23,11,331,11,23,11,323,11,252,11,11,23,255,33,255,22,23,255,313,323,323,309,322,322,11,156,11,11,323,122,323,323,323,11,23,258,313,156,329,230,323,323,164,11,313,182,182,97,313,313,313,331,122,313,122,122,11,11,323,255,122,122,323,97,323,323,255,306,11,255,255,313,323,323,331,11,11,323,11,323,122,11,11,11,252,323,255,156,330,323,23,32,23,23,323,97,255,23,255,323,255,323,323,156,23,323,323,323,323,11,11,156,313,290,331,290,287,255,11,23,11,255,255,323,323,230,97,97,323,323,323,255,11,11,255,323
10133732,224,224,224,224,224,75,224,103,103,103,103,103,103,224,103,116,71,116,103,224,300,71,71,300,311,311,224,103,103,103,103,71,141,141,140,71,140,140,103,103,125,103,124,125,125,124,71,290,224,103,103,278,124,124,124,288,288,288,103,103,300,224,300,300,224,300,329,220,125,125,224,224,224,224,224,224,117,117,224,71,224,103,78,130,130,300,124,124,125,71,78,71,125,71,103,71,290,71,71,125,224,174,224,116,117,224,311,103,103,178,300,300,71,100,71,71,103,24,103,103,103,71,125,329,311,100,75,311,103,103,172,71,311,342,342,302,311,311,311,78,24,311,24,24,71,71,103,224,24,24,103,302,103,103,224,290,71,224,224,311,103,103,78,71,71,103,71,103,24,71,71,71,290,103,224,100,143,103,125,152,125,125,103,302,224,125,224,103,224,103,103,100,125,103,103,103,103,71,71,100,311,334,78,334,278,224,71,125,71,224,224,103,103,311,302,302,103,103,103,224,71,71,224,103
10158653,98,98,98,98,98,196,98,158,158,158,158,158,158,98,158,171,140,171,158,98,65,140,140,65,115,115,98,158,158,158,158,140,245,245,244,140,244,244,158,158,215,158,216,215,215,216,140,205,98,158,158,172,216,216,216,158,158,158,158,158,65,98,65,65,98,65,109,212,215,215,98,98,98,98,98,98,170,170,98,140,98,158,52,232,232,65,216,216,215,140,52,140,215,140,158,140,205,140,140,215,98,247,98,171,170,98,115,158,158,171,65,65,140,30,140,140,158,204,158,158,158,140,215,109,115,30,196,111,158,158,9,140,115,207,207,184,115,115,115,52,204,115,204,204,140,140,158,98,204,204,158,184,158,158,98,174,140,98,98,115,158,158,52,140,140,158,140,158,204,140,140,140,205,158,98,30,156,158,215,82,215,215,158,184,98,215,98,158,98,158,158,30,215,158,158,158,158,140,140,30,115,34,52,34,152,98,140,215,140,98,98,158,158,111,184,184,158,158,158,98,140,140,98,158
10160775,266,266,266,266,266,76,266,207,207,207,207,207,207,266,207,142,88,142,207,266,175,88,88,175,170,170,266,207,207,207,207,88,175,175,174,88,174,174,207,207,155,207,154,155,155,154,88,102,266,207,207,21,154,154,154,129,129,129,207,207,175,266,175,175,266,175,78,177,155,155,266,266,266,266,266,266,143,143,266,88,266,207,205,160,160,175,154,154,155,88,205,88,155,88,207,88,102,88,88,155,266,213,266,142,143,266,170,207,207,288,175,175,88,101,88,88,207,177,207,207,207,88,155,78,170,101,76,201,207,207,14,88,170,228,228,136,170,170,170,205,177,170,177,177,88,88,207,266,177,177,207,136,207,207,266,269,88,266,266,170,207,207,205,88,88,207,88,207,177,88,88,88,102,207,266,101,226,207,155,173,155,155,207,136,266,155,266,207,266,207,207,101,155,207,207,207,207,88,88,101,170,100,205,100,267,266,88,155,88,266,266,207,207,201,136,136,207,207,207,266,88,88,266,207
10171618,162,162,162,162,162,116,162,249,249,249,249,249,249,162,249,46,23,46,249,162,240,23,23,240,261,261,162,249,249,249,249,23,47,47,46,23,46,46,249,249,47,249,46,47,47,46,23,317,162,249,249,234,46,46,46,234,234,234,249,249,240,162,240,240,162,240,335,275,47,47,162,162,162,162,162,162,47,47,162,23,162,249,299,46,46,240,46,46,47,23,299,23,47,23,249,23,317,23,23,47,162,69,162,46,47,162,261,249,249,241,240,240,23,123,23,23,249,58,249,249,249,23,47,335,261,123,116,290,249,249,239,23,261,331,331,347,261,261,261,299,58,261,58,58,23,23,249,162,58,58,249,347,249,249,162,248,23,162,162,261,249,249,299,23,23,249,23,249,58,23,23,23,317,249,162,123,285,249,47,59,47,47,249,347,162,47,162,249,162,249,249,123,47,249,249,249,249,23,23,123,261,298,299,298,230,162,23,47,23,162,162,249,249,290,347,347,249,249,249,162,23,23,162,249
10173796,202,202,202,202,202,238,202,91,91,91,91,91,91,202,91,12,6,12,91,202,284,6,6,284,122,122,202,91,91,91,91,6,13,13,12,6,12,12,91,91,13,91,12,13,13,12,6,156,202,91,91,217,12,12,12,268,268,268,91,91,284,202,284,284,202,284,221,196,13,13,202,202,202,202,202,202,13,13,202,6,202,91,303,12,12,284,12,12,13,6,303,6,13,6,91,6,156,6,6,13,202,18,202,12,13,202,122,91,91,158,284,284,6,161,6,6,91,95,91,91,91,6,13,221,122,161,238,143,91,91,317,6,122,217,217,224,122,122,122,303,95,122,95,95,6,6,91,202,95,95,91,224,91,91,202,221,6,202,202,122,91,91,303,6,6,91,6,91,95,6,6,6,156,91,202,161,127,91,13,20,13,13,91,224,202,13,202,91,202,91,91,161,13,91,91,91,91,6,6,161,122,214,303,214,215,202,6,13,6,202,202,91,91,143,224,224,91,91,91,202,6,6,202,91
10193464,247,247,247,247,247,187,247,226,226,226,226,226,226,247,226,48,24,48,226,247,312,24,24,312,336,336,247,226,226,226,226,24,49,49,48,24,48,48,226,226,49,226,48,49,49,48,24,307,247,226,226,294,48,48,48,298,298,298,226,226,312,247,312,312,247,312,348,311,49,49,247,247,247,247,247,247,49,49,247,24,247,226,315,48,48,312,48,48,49,24,315,24,49,24,226,24,307,24,24,49,247,72,247,48,49,247,336,226,226,300,312,312,24,227,24,24,226,65,226,226,226,24,49,348,336,227,187,264,226,226,328,24,336,330,330,287,336,336,336,315,65,336,65,65,24,24,226,247,65,65,226,287,226,226,247,300,24,247,247,336,226,226,315,24,24,226,24,226,65,24,24,24,307,226,247,227,271,226,49,62,49,49,226,287,247,49,247,226,247,226,226,227,49,226,226,226,226,24,24,227,336,329,315,329,294,247,24,49,24,247,247,226,226,264,287,287,226,226,226,247,24,24,247,226
10193482,191,191,191,191,191,320,191,283,283,283,283,283,283,191,283,24,12,24,283,191,270,12,12,270,325,325,191,283,283,283,283,12,25,25,24,12,24,24,283,283,25,283,24,25,25,24,12,325,191,283,283,258,24,24,24,262,262,262,283,283,270,191,270,270,191,270,291,290,25,25,191,191,191,191,191,191,25,25,191,12,191,283,339,24,24,270,24,24,25,12,339,12,25,12,283,12,325,12,12,25,191,36,191,24,25,191,325,283,283,267,270,270,12,182,12,12,283,91,283,283,283,12,25,291,325,182,320,172,283,283,255,12,325,332,332,288,325,325,325,339,91,325,91,91,12,12,283,191,91,91,283,288,283,283,191,276,12,191,191,325,283,283,339,12,12,283,12,283,91,12,12,12,325,283,191,182,311,283,25,35,25,25,283,288,191,25,191,283,191,283,283,182,25,283,283,283,283,12,12,182,325,273,339,273,249,191,12,25,12,191,191,283,283,172,288,288,283,283,283,191,12,12,191,283
10200651,63,63,63,63,63,96,63,289,289,289,289,289,289,63,289,199,202,199,289,63,25,202,202,25,279,279,63,289,289,289,289,202,286,286,287,202,287,287,289,289,259,289,260,259,259,260,202,87,63,289,289,107,260,260,260,104,104,104,289,289,25,63,25,25,63,25,185,143,259,259,63,63,63,63,63,63,200,200,63,202,63,289,32,169,169,25,260,260,259,202,32,202,259,202,289,202,87,202,202,259,63,268,63,199,200,63,279,289,289,113,25,25,202,189,202,202,289,309,289,289,289,202,259,185,279,189,96,139,289,289,5,202,279,272,272,185,279,279,279,32,309,279,309,309,202,202,289,63,309,309,289,185,289,289,63,118,202,63,63,279,289,289,32,202,202,289,202,289,309,202,202,202,87,289,63,189,306,289,259,259,259,259,289,185,63,259,63,289,63,289,289,189,259,289,289,289,289,202,202,189,279,13,32,13,106,63,202,259,202,63,63,289,289,139,185,185,289,289,289,63,202,202,63,289
