target,sim12,sim21
AIE89081,16.0,13.8
sp|O0014,56.7,56.1
sp|O0032,23.4,23.9
sp|O1475,24.8,23.5
sp|O1492,45.2,44.6
sp|O1496,61.8,48.1
sp|O1511,44.6,45.2
sp|O1514,24.2,19.3
sp|O1526,56.4,56.7
sp|O6028,32.0,23.1
sp|O6067,30.2,29.9
sp|O7511,43.1,42.1
sp|O7558,54.3,52.2
sp|O7567,52.2,54.3
sp|O7591,63.9,62.3
sp|O7596,16.1,5.1
sp|O9480,59.0,60.4
sp|O9480.1,28.6,15.2
sp|O9581,32.9,12.2
sp|O9601,30.1,23.0
sp|P0051,43.1,45.0
sp|P0053,39.9,43.1
sp|P0404,31.7,37.5
sp|P0462,37.9,36.6
sp|P0462.1,34.3,36.2
sp|P0512,68.2,65.7
sp|P0577,72.5,72.6
sp|P0621,37.3,36.9
sp|P0623,60.8,62.9
sp|P0624,69.6,70.4
sp|P0649,49.0,50.2
sp|P0733,26.8,27.0
sp|P0733.1,27.1,25.7
sp|P0794,25.5,17.9
sp|P0794.1,73.7,72.7
sp|P0794.2,67.3,69.1
sp|P0806,42.3,40.2
sp|P0858,24.9,17.6
sp|P0863,69.1,67.3
sp|P0892,13.8,6.4
sp|P0961,27.3,26.9
sp|P0976,66.1,67.1
sp|P1072,27.0,26.8
sp|P1130,59.2,47.8
sp|P1136,62.2,62.2
sp|P1293,72.7,73.7
sp|P1461,34.9,30.9
sp|P1461.1,40.2,42.3
sp|P1505,37.5,31.7
sp|P1573,58.4,55.7
sp|P1623,26.9,27.3
sp|P1659,26.2,25.7
sp|P1725,72.6,72.5
sp|P1761,38.3,39.0
sp|P1794,29.2,29.6
sp|P1913,23.6,19.9
sp|P2180,62.2,62.2
sp|P2245,46.4,46.6
sp|P2260,54.6,55.6
sp|P2344,33.8,35.2
sp|P2345,23.6,24.2
sp|P2472,32.6,28.6
sp|P2494,68.2,69.8
sp|P2736,79.7,75.7
sp|P2744,53.5,54.8
sp|P2848,75.7,79.7
sp|P2931,46.4,46.7
sp|P2932,54.0,54.1
sp|P2932.1,63.9,60.5
sp|P2937,26.2,29.3
sp|P2959,24.2,23.5
sp|P3053,24.2,24.8
sp|P3174,53.8,54.0
sp|P3175,58.9,58.6
sp|P3398,25.0,12.1
sp|P3591,30.8,30.6
sp|P3596,30.6,30.8
sp|P3688,27.8,22.0
sp|P4124,29.7,30.0
sp|P4174,33.3,30.9
sp|P4233,23.9,23.4
sp|P4268,40.8,48.8
sp|P4268.1,50.0,49.1
sp|P4268.2,41.2,43.2
sp|P4268.3,45.0,43.1
sp|P4325,30.7,29.5
sp|P4340,41.0,40.0
sp|P4340.1,40.0,41.0
sp|P4598,41.1,35.6
sp|P4872,31.8,39.8
sp|P4913,60.7,58.0
sp|P4976,34.8,44.5
sp|P4976.1,44.5,34.8
sp|P4984,69.5,60.5
sp|P4984.1,60.5,69.5
sp|P5145,58.9,61.4
sp|P5181,40.0,36.7
sp|P5181.1,39.0,38.3
sp|P5181.2,73.9,73.2
sp|P5195,30.4,26.5
sp|P5233,29.9,30.2
sp|P5335,28.2,18.9
sp|P5335.1,28.3,9.9
sp|P5377,56.7,56.4
sp|P5464,62.4,63.2
sp|P5475,60.5,63.9
sp|P5476,54.1,54.0
sp|P5476.1,46.1,46.6
sp|P5705,31.6,26.2
sp|P7836,68.0,69.2
sp|P9WI8,23.8,16.1
sp|Q0052,69.8,68.2
sp|Q0053,37.3,33.4
sp|Q0053.1,48.5,50.7
sp|Q0275,23.8,21.4
sp|Q0276,25.4,15.6
sp|Q0475,30.7,26.6
sp|Q0491,24.2,17.4
sp|Q0618,44.8,35.8
sp|Q0641,24.2,23.8
sp|Q0791,28.5,18.3
sp|Q0888,49.1,50.0
sp|Q1285,26.2,16.1
sp|Q1286,24.8,22.2
sp|Q1304,61.1,61.6
sp|Q1313,63.2,62.4
sp|Q1315,71.9,69.2
sp|Q1317,69.2,71.9
sp|Q1318,61.6,61.1
sp|Q1323,37.4,27.8
sp|Q1346,42.1,43.1
sp|Q1347,23.8,28.5
sp|Q1355,60.3,57.7
sp|Q1362,43.1,35.5
sp|Q1388,39.3,42.8
sp|Q1416,31.6,32.1
sp|Q1428,24.8,14.5
sp|Q1468,27.0,22.7
sp|Q1470,30.4,21.0
sp|Q1513,60.4,59.0
sp|Q1530,43.1,39.9
sp|Q1534,76.5,76.7
sp|Q1541,76.7,76.5
sp|Q1575,52.6,53.0
